DEPARTAMENTO,DIA
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ANTIOQUIA,MIERCOLES
ARAUCA,MIERCOLES
ATLANTICO,MIERCOLES
ATLANTICO,MIERCOLES
ATLANTICO,MIERCOLES
ATLANTICO,MIERCOLES
BOYACA,MIERCOLES
BOYACA,MIERCOLES
CALDAS,MIERCOLES
CALDAS,MIERCOLES
CALDAS,MIERCOLES
CALDAS,MIERCOLES
CALDAS,MIERCOLES
CALDAS,MIERCOLES
CAQUETA,MIERCOLES
CAQUETA,MIERCOLES
CAQUETA,MIERCOLES
CAQUETA,MIERCOLES
CAQUETA,MIERCOLES
CAUCA,MIERCOLES
CESAR,MIERCOLES
CESAR,MIERCOLES
CESAR,MIERCOLES
CHOCO,MIERCOLES
CHOCO,MIERCOLES
CORDOBA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
