MUNICIPIO,ARMA
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
CHIA,ARMA BLANCA / CORTOPUNZANTE
GACHANCIPA,SIN EMPLEO DE ARMAS
SOACHA,ARMA BLANCA / CORTOPUNZANTE
INIRIDA (CT),SIN EMPLEO DE ARMAS
RIOHACHA (CT),ARMA DE FUEGO
NEIVA (CT),SIN EMPLEO DE ARMAS
NEIVA (CT),SIN EMPLEO DE ARMAS
NEIVA (CT),ARMA DE FUEGO
PITALITO,ARMA BLANCA / CORTOPUNZANTE
PITALITO,ARMA DE FUEGO
SANTA MARTA (CT),ARMA DE FUEGO
SANTA MARTA (CT),ARMA BLANCA / CORTOPUNZANTE
SANTA MARTA (CT),ARMA BLANCA / CORTOPUNZANTE
SANTA MARTA (CT),SIN EMPLEO DE ARMAS
SANTA MARTA (CT),ARMA DE FUEGO
SANTA MARTA (CT),ARMA DE FUEGO
GRANADA,SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),ARMA DE FUEGO
VILLAVICENCIO (CT),ARMA DE FUEGO
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
IPIALES,SIN EMPLEO DE ARMAS
IPIALES,ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),CONTUNDENTES
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
CUCUTA (CT),ARMA BLANCA / CORTOPUNZANTE
CUCUTA (CT),SIN EMPLEO DE ARMAS
CUCUTA (CT),ARMA DE FUEGO
CUCUTA (CT),ARMA DE FUEGO
CUCUTA (CT),CONTUNDENTES
CUCUTA (CT),ARMA DE FUEGO
CUCUTA (CT),ARMA DE FUEGO
ARMENIA (CT),CONTUNDENTES
ARMENIA (CT),CONTUNDENTES
CALARCA,ARMA BLANCA / CORTOPUNZANTE
DOSQUEBRADAS,SIN EMPLEO DE ARMAS
PEREIRA (CT),SIN EMPLEO DE ARMAS
PEREIRA (CT),CONTUNDENTES
PEREIRA (CT),ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),ARMA BLANCA / CORTOPUNZANTE
SANTA ROSA DE CABAL,ARMA BLANCA / CORTOPUNZANTE
SAN ANDRES (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
FLORIDABLANCA,SIN EMPLEO DE ARMAS
FLORIDABLANCA,ARMA BLANCA / CORTOPUNZANTE
COROZAL,ARMA DE FUEGO
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),SIN EMPLEO DE ARMAS
LERIDA,SIN EMPLEO DE ARMAS
CALI (CT),ARMA DE FUEGO
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA DE FUEGO
CALI (CT),CONTUNDENTES
CALI (CT),CONTUNDENTES
FLORIDA,ARMA DE FUEGO
BELLO,ARMA BLANCA / CORTOPUNZANTE
BELLO,ARMA DE FUEGO
BELLO,ARMA BLANCA / CORTOPUNZANTE
BELLO,ARMA DE FUEGO
EL CARMEN DE VIBORAL,CONTUNDENTES
ENVIGADO,ARMA BLANCA / CORTOPUNZANTE
GIRARDOTA,ARMA DE FUEGO
ITAGUI,ARMA DE FUEGO
ITAGUI,CONTUNDENTES
LA ESTRELLA,SIN EMPLEO DE ARMAS
MARINILLA,ARMA DE FUEGO
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),CONTUNDENTES
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),CONTUNDENTES
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),CONTUNDENTES
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),CONTUNDENTES
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),CONTUNDENTES
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
SABANETA,ARMA BLANCA / CORTOPUNZANTE
SANTAFE DE ANTIOQUIA,ARMA DE FUEGO
SANTAFE DE ANTIOQUIA,ARMA DE FUEGO
SANTAFE DE ANTIOQUIA,ARMA DE FUEGO
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),ARMA BLANCA / CORTOPUNZANTE
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),ARMA BLANCA / CORTOPUNZANTE
SABANALARGA,ARMA DE FUEGO
CARTAGENA (CT),ARMA DE FUEGO
DUITAMA,SIN EMPLEO DE ARMAS
SOGAMOSO,SIN EMPLEO DE ARMAS
TUNJA (CT),SIN EMPLEO DE ARMAS
CHINCHINA,ARMA BLANCA / CORTOPUNZANTE
MANIZALES (CT),ARMA DE FUEGO
FLORENCIA (CT),SIN EMPLEO DE ARMAS
FLORENCIA (CT),ARMA BLANCA / CORTOPUNZANTE
FLORENCIA (CT),SIN EMPLEO DE ARMAS
MONTERREY,SIN EMPLEO DE ARMAS
YOPAL (CT),ARMA BLANCA / CORTOPUNZANTE
YOPAL (CT),SIN EMPLEO DE ARMAS
MERCADERES,ARMA DE FUEGO
POPAYAN (CT),CONTUNDENTES
POPAYAN (CT),ARMA BLANCA / CORTOPUNZANTE
POPAYAN (CT),CONTUNDENTES
POPAYAN (CT),ARMA BLANCA / CORTOPUNZANTE
POPAYAN (CT),SIN EMPLEO DE ARMAS
SANTANDER DE QUILICHAO,SIN EMPLEO DE ARMAS
SANTANDER DE QUILICHAO,SIN EMPLEO DE ARMAS
VALLEDUPAR (CT),ARMA DE FUEGO
VALLEDUPAR (CT),ARMA DE FUEGO
CERETE,ARMA DE FUEGO
MONTERIA (CT),SIN EMPLEO DE ARMAS
MONTERIA (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
GIRARDOT,SIN EMPLEO DE ARMAS
MAICAO,ARMA DE FUEGO
MAICAO,ARMA DE FUEGO
RIOHACHA (CT),ARMA DE FUEGO
NEIVA (CT),SIN EMPLEO DE ARMAS
CIENAGA,ARMA DE FUEGO
SANTA MARTA (CT),ARMA DE FUEGO
SANTA MARTA (CT),ARMA DE FUEGO
SANTA MARTA (CT),ARMA BLANCA / CORTOPUNZANTE
SANTA MARTA (CT),ARMA DE FUEGO
SANTA MARTA (CT),SIN EMPLEO DE ARMAS
SANTA MARTA (CT),CONTUNDENTES
SANTA MARTA (CT),ARMA DE FUEGO
SANTA MARTA (CT),ARMA BLANCA / CORTOPUNZANTE
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),CONTUNDENTES
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),ARMA BLANCA / CORTOPUNZANTE
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),ARMA BLANCA / CORTOPUNZANTE
VILLAVICENCIO (CT),ARMA BLANCA / CORTOPUNZANTE
VILLAVICENCIO (CT),CONTUNDENTES
IPIALES,SIN EMPLEO DE ARMAS
PASTO (CT),CONTUNDENTES
PASTO (CT),ARMA DE FUEGO
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),CONTUNDENTES
PASTO (CT),CONTUNDENTES
PASTO (CT),CONTUNDENTES
CUCUTA (CT),SIN EMPLEO DE ARMAS
CUCUTA (CT),CONTUNDENTES
CUCUTA (CT),CONTUNDENTES
DOSQUEBRADAS,CONTUNDENTES
DOSQUEBRADAS,CONTUNDENTES
DOSQUEBRADAS,ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),ARMA DE FUEGO
PEREIRA (CT),SIN EMPLEO DE ARMAS
BARRANCABERMEJA,ARMA DE FUEGO
BARRANCABERMEJA,ARMA DE FUEGO
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),CONTUNDENTES
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ESCOPOLAMINA
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
FLORIDABLANCA,SIN EMPLEO DE ARMAS
FLORIDABLANCA,ARMA BLANCA / CORTOPUNZANTE
FLORIDABLANCA,ARMA BLANCA / CORTOPUNZANTE
FLORIDABLANCA,ARMA DE FUEGO
FLORIDABLANCA,ARMA BLANCA / CORTOPUNZANTE
GIRON,ARMA BLANCA / CORTOPUNZANTE
PIEDECUESTA,ARMA BLANCA / CORTOPUNZANTE
PIEDECUESTA,ARMA BLANCA / CORTOPUNZANTE
COVENHAS,SIN EMPLEO DE ARMAS
SINCELEJO (CT),ARMA BLANCA / CORTOPUNZANTE
SINCELEJO (CT),ARMA DE FUEGO
SINCELEJO (CT),ARMA DE FUEGO
COYAIMA,SIN EMPLEO DE ARMAS
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
POPAYAN (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),SIN EMPLEO DE ARMAS
BUENAVENTURA,ARMA BLANCA / CORTOPUNZANTE
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA DE FUEGO
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),CONTUNDENTES
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),CONTUNDENTES
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),CONTUNDENTES
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CARTAGO,ARMA DE FUEGO
GUADALAJARA DE BUGA,ARMA DE FUEGO
PALMIRA,SIN EMPLEO DE ARMAS
TULUA,ARMA DE FUEGO
ENVIGADO,ARMA DE FUEGO
ENVIGADO,SIN EMPLEO DE ARMAS
GUARNE,ARMA BLANCA / CORTOPUNZANTE
MARINILLA,SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),CONTUNDENTES
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ESCOPOLAMINA
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),ARMA BLANCA / CORTOPUNZANTE
BARRANQUILLA (CT),ARMA BLANCA / CORTOPUNZANTE
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),ARMA DE FUEGO
CARTAGENA (CT),ARMA DE FUEGO
CHIQUINQUIRA,SIN EMPLEO DE ARMAS
CHIQUINQUIRA,SIN EMPLEO DE ARMAS
CHIQUINQUIRA,ARMA BLANCA / CORTOPUNZANTE
MUZO,ARMA DE FUEGO
TUNJA (CT),ARMA BLANCA / CORTOPUNZANTE
TUNJA (CT),SIN EMPLEO DE ARMAS
MANIZALES (CT),ARMA DE FUEGO
MANIZALES (CT),ARMA DE FUEGO
MANIZALES (CT),ARMA DE FUEGO
MANIZALES (CT),SIN EMPLEO DE ARMAS
MANIZALES (CT),CONTUNDENTES
MANIZALES (CT),ARMA BLANCA / CORTOPUNZANTE
VILLAMARIA,ARMA BLANCA / CORTOPUNZANTE
FLORENCIA (CT),SIN EMPLEO DE ARMAS
FLORENCIA (CT),SIN EMPLEO DE ARMAS
YOPAL (CT),ARMA BLANCA / CORTOPUNZANTE
YOPAL (CT),CONTUNDENTES
POPAYAN (CT),ARMA BLANCA / CORTOPUNZANTE
POPAYAN (CT),ARMA BLANCA / CORTOPUNZANTE
SANTANDER DE QUILICHAO,ARMA DE FUEGO
VILLA RICA,ARMA DE FUEGO
VILLA RICA,ARMA DE FUEGO
AGUACHICA,SIN EMPLEO DE ARMAS
VALLEDUPAR (CT),SIN EMPLEO DE ARMAS
VALLEDUPAR (CT),SIN EMPLEO DE ARMAS
LORICA,SIN EMPLEO DE ARMAS
LORICA,SIN EMPLEO DE ARMAS
LORICA,SIN EMPLEO DE ARMAS
MONTERIA (CT),ARMA DE FUEGO
MONTERIA (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
NEIVA (CT),ARMA BLANCA / CORTOPUNZANTE
NEIVA (CT),SIN EMPLEO DE ARMAS
NEIVA (CT),ARMA DE FUEGO
NEIVA (CT),ARMA DE FUEGO
NEIVA (CT),ARMA DE FUEGO
NEIVA (CT),CONTUNDENTES
PITALITO,SIN EMPLEO DE ARMAS
SANTA MARTA (CT),SIN EMPLEO DE ARMAS
SANTA MARTA (CT),ESCOPOLAMINA
SANTA MARTA (CT),SIN EMPLEO DE ARMAS
SANTA MARTA (CT),ARMA BLANCA / CORTOPUNZANTE
SANTA MARTA (CT),ARMA BLANCA / CORTOPUNZANTE
ACACIAS,ARMA BLANCA / CORTOPUNZANTE
VILLAVICENCIO (CT),CONTUNDENTES
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),CONTUNDENTES
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
BARBACOAS,ARMA DE FUEGO
IPIALES,ARMA DE FUEGO
LA UNION,SIN EMPLEO DE ARMAS
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),CONTUNDENTES
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),SIN EMPLEO DE ARMAS
PASTO (CT),CONTUNDENTES
PASTO (CT),CONTUNDENTES
PASTO (CT),CONTUNDENTES
PASTO (CT),CONTUNDENTES
PASTO (CT),CONTUNDENTES
PASTO (CT),CONTUNDENTES
TANGUA,SIN EMPLEO DE ARMAS
CUCUTA (CT),ARMA DE FUEGO
CUCUTA (CT),ARMA DE FUEGO
CUCUTA (CT),ARMA DE FUEGO
CUCUTA (CT),ARMA DE FUEGO
CUCUTA (CT),ARMA DE FUEGO
CUCUTA (CT),SIN EMPLEO DE ARMAS
CUCUTA (CT),SIN EMPLEO DE ARMAS
LA PLAYA,ARMA DE FUEGO
LOS PATIOS,ARMA DE FUEGO
ARMENIA (CT),ARMA BLANCA / CORTOPUNZANTE
ARMENIA (CT),CONTUNDENTES
ARMENIA (CT),CONTUNDENTES
DOSQUEBRADAS,ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),SIN EMPLEO DE ARMAS
PEREIRA (CT),ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),CONTUNDENTES
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA DE FUEGO
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ESCOPOLAMINA
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA DE FUEGO
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
FLORIDABLANCA,ARMA BLANCA / CORTOPUNZANTE
GIRON,SIN EMPLEO DE ARMAS
GIRON,ARMA BLANCA / CORTOPUNZANTE
LEBRIJA,ARMA DE FUEGO
SANTIAGO DE TOLU,ARMA DE FUEGO
CHAPARRAL,CONTUNDENTES
ESPINAL,ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),CONTUNDENTES
IBAGUE (CT),CONTUNDENTES
IBAGUE (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA DE FUEGO
CALI (CT),ESCOPOLAMINA
CALI (CT),ESCOPOLAMINA
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
