MUNICIPIO,MARCA
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),OTRA
VILLAVICENCIO (CT),AVVIO
VILLAVICENCIO (CT),SAMSUNG
IPIALES,HUAWEI
IPIALES,LENOVO
IPIALES,SAMSUNG
IPIALES,APPLE
IPIALES,HUAWEI
IPIALES,-
IPIALES,MOTOROLA
IPIALES,SAMSUNG
IPIALES,SAMSUNG
PASTO (CT),HUAWEI
PASTO (CT),SAMSUNG
PASTO (CT),MOTOROLA
PASTO (CT),APPLE
PASTO (CT),HUAWEI
PASTO (CT),SAMSUNG
PASTO (CT),APPLE
CUCUTA (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
MOCOA (CT),SAMSUNG
PUERTO ASIS,SAMSUNG
ARMENIA (CT),SAMSUNG
ARMENIA (CT),SAMSUNG
ARMENIA (CT),ALCATEL
ARMENIA (CT),ALCATEL
ARMENIA (CT),BLU
CALARCA,SAMSUNG
DOSQUEBRADAS,ALCATEL
LA VIRGINIA,HUAWEI
PEREIRA (CT),LENOVO
PEREIRA (CT),ZTE
PEREIRA (CT),-
PEREIRA (CT),HUAWEI
PEREIRA (CT),MOTOROLA
SANTA ROSA DE CABAL,SAMSUNG
BARRANCABERMEJA,ALCATEL
BUCARAMANGA (CT),MOTOROLA
BUCARAMANGA (CT),LENOVO
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),APPLE
ESPINAL,SAMSUNG
ESPINAL,ASUS
GUAMO,LENOVO
IBAGUE (CT),SAMSUNG
IBAGUE (CT),HUAWEI
IBAGUE (CT),SAMSUNG
IBAGUE (CT),HUAWEI
IBAGUE (CT),SAMSUNG
IBAGUE (CT),ALCATEL
IBAGUE (CT),SAMSUNG
IBAGUE (CT),HUAWEI
LERIDA,SAMSUNG
CALI (CT),LENOVO
CALI (CT),MOTOROLA
CALI (CT),LENOVO
CALI (CT),MOTOROLA
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),HUAWEI
CALI (CT),HUAWEI
CALI (CT),APPLE
CALI (CT),SAMSUNG
CALI (CT),HUAWEI
CALI (CT),MOTOROLA
CALI (CT),HUAWEI
CALI (CT),NOKIA
CANDELARIA,OTRA
PALMIRA,SAMSUNG
TULUA,MOTOROLA
TULUA,NOKIA
YUMBO,NOKIA
YUMBO,NOKIA
YUMBO,SAMSUNG
LETICIA (CT),BLU
LETICIA (CT),SAMSUNG
ABEJORRAL,AVVIO
BELLO,SAMSUNG
ITAGUI,HUAWEI
MARINILLA,SAMSUNG
MARINILLA,NOKIA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),LG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SONY
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SONY
MEDELLIN (CT),LG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),APPLE
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
RIONEGRO,HUAWEI
RIONEGRO,MOTOROLA
RIONEGRO,LG
ARAUCA (CT),HUAWEI
BARRANQUILLA (CT),NOKIA
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
SOGAMOSO,BLU
TIBASOSA,MOTOROLA
MANIZALES (CT),SAMSUNG
MANIZALES (CT),SAMSUNG
MANIZALES (CT),ALCATEL
MANIZALES (CT),ZTE
MANIZALES (CT),SAMSUNG
MANIZALES (CT),SAMSUNG
FLORENCIA (CT),OTRA
FLORENCIA (CT),HUAWEI
FLORENCIA (CT),SAMSUNG
FLORENCIA (CT),HUAWEI
FLORENCIA (CT),HUAWEI
SANTANDER DE QUILICHAO,SAMSUNG
AGUACHICA,HUAWEI
VALLEDUPAR (CT),LG
VALLEDUPAR (CT),APPLE
QUIBDO (CT),ALCATEL
QUIBDO (CT),AZUMI
TIERRALTA,SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),APPLE
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),SONY
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),AVVIO
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
NILO,-
MAICAO,LENOVO
MAICAO,SAMSUNG
MAICAO,LENOVO
MAICAO,ZTE
NEIVA (CT),HUAWEI
NEIVA (CT),OTRA
NEIVA (CT),SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),AVVIO
VILLAVICENCIO (CT),LG
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),ALCATEL
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),SAMSUNG
IPIALES,SAMSUNG
IPIALES,SAMSUNG
IPIALES,SAMSUNG
IPIALES,SAMSUNG
IPIALES,SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),ZTE
PASTO (CT),APPLE
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),LENOVO
PASTO (CT),HUAWEI
PASTO (CT),SAMSUNG
PASTO (CT),HUAWEI
PASTO (CT),LENOVO
PASTO (CT),APPLE
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),LG
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
SAN ANDRES DE TUMACO,SAMSUNG
TUQUERRES,SAMSUNG
CUCUTA (CT),NOKIA
CUCUTA (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
OCANHA,MOTOROLA
SAN CAYETANO,HUAWEI
MOCOA (CT),SAMSUNG
MOCOA (CT),SAMSUNG
MOCOA (CT),SAMSUNG
SANTIAGO,SONY
ARMENIA (CT),HUAWEI
ARMENIA (CT),OTRA
CALARCA,MOTOROLA
CALARCA,ALCATEL
DOSQUEBRADAS,APPLE
PEREIRA (CT),SAMSUNG
PEREIRA (CT),SAMSUNG
BARRANCABERMEJA,SAMSUNG
BARRANCABERMEJA,SAMSUNG
BARRANCABERMEJA,SAMSUNG
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),APPLE
BUCARAMANGA (CT),NOKIA
BUCARAMANGA (CT),LENOVO
CALI (CT),SAMSUNG
BUCARAMANGA (CT),HUAWEI
FLORIDABLANCA,-
FLORIDABLANCA,HUAWEI
GIRON,SAMSUNG
PIEDECUESTA,OTRA
SANTIAGO DE TOLU,HUAWEI
SINCELEJO (CT),SAMSUNG
IBAGUE (CT),HUAWEI
IBAGUE (CT),SAMSUNG
IBAGUE (CT),BLU
IBAGUE (CT),APPLE
IBAGUE (CT),APPLE
IBAGUE (CT),HUAWEI
IBAGUE (CT),-
MELGAR,HUAWEI
CALI (CT),SAMSUNG
CALI (CT),OTRA
CALI (CT),MOTOROLA
CALI (CT),SAMSUNG
CALI (CT),APPLE
CALI (CT),SAMSUNG
CALI (CT),AVVIO
CALI (CT),HUAWEI
CALI (CT),HUAWEI
PALMIRA,SAMSUNG
PALMIRA,HUAWEI
PALMIRA,SAMSUNG
PUERTO CARRENHO (CT),SAMSUNG
LETICIA (CT),HUAWEI
ABEJORRAL,SAMSUNG
APARTADO,SAMSUNG
BELLO,SAMSUNG
BELLO,HUAWEI
BELLO,APPLE
CHIGORODO,ALCATEL
ENVIGADO,LANIX
ENVIGADO,MOTOROLA
ITAGUI,SAMSUNG
ITAGUI,SAMSUNG
ITAGUI,SAMSUNG
LA ESTRELLA,HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),NOKIA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
BARRANQUILLA (CT),MOTOROLA
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),HUAWEI
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),ALCATEL
BARRANQUILLA (CT),SAMSUNG
CHIQUINQUIRA,SAMSUNG
DUITAMA,APPLE
DUITAMA,SAMSUNG
DUITAMA,SAMSUNG
TUNJA (CT),HUAWEI
TUNJA (CT),HUAWEI
LA DORADA,HUAWEI
MANIZALES (CT),ASUS
MANIZALES (CT),SAMSUNG
MANIZALES (CT),SAMSUNG
MANIZALES (CT),HUAWEI
MANIZALES (CT),MOTOROLA
MANIZALES (CT),LG
MANIZALES (CT),SAMSUNG
MANIZALES (CT),HUAWEI
MANIZALES (CT),HUAWEI
MANIZALES (CT),SAMSUNG
FLORENCIA (CT),SONY
FLORENCIA (CT),APPLE
FLORENCIA (CT),NOKIA
FLORENCIA (CT),APPLE
AGUAZUL,SAMSUNG
YOPAL (CT),SAMSUNG
YOPAL (CT),SAMSUNG
YOPAL (CT),SAMSUNG
POPAYAN (CT),MOTOROLA
