MUNICIPIO,MARCA
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),AVVIO
BOGOTA D.C. (CT),AVVIO
BOGOTA D.C. (CT),LG
BOGOTA D.C. (CT),HUAWEI
CHIA,-
GACHANCIPA,HUAWEI
SOACHA,-
INIRIDA (CT),SAMSUNG
RIOHACHA (CT),SAMSUNG
NEIVA (CT),SAMSUNG
NEIVA (CT),SAMSUNG
NEIVA (CT),MOTOROLA
PITALITO,AZUMI
PITALITO,HUAWEI
SANTA MARTA (CT),SONY
SANTA MARTA (CT),SAMSUNG
SANTA MARTA (CT),APPLE
SANTA MARTA (CT),SAMSUNG
SANTA MARTA (CT),HUAWEI
SANTA MARTA (CT),ALCATEL
GRANADA,SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),AVVIO
IPIALES,SAMSUNG
IPIALES,SAMSUNG
PASTO (CT),MOTOROLA
PASTO (CT),SAMSUNG
PASTO (CT),AVVIO
PASTO (CT),HUAWEI
CUCUTA (CT),ALCATEL
CUCUTA (CT),ALCATEL
CUCUTA (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
CUCUTA (CT),OTRA
ARMENIA (CT),SAMSUNG
ARMENIA (CT),NOKIA
CALARCA,HUAWEI
DOSQUEBRADAS,APPLE
PEREIRA (CT),HUAWEI
PEREIRA (CT),-
PEREIRA (CT),LANIX
PEREIRA (CT),ZTE
SANTA ROSA DE CABAL,APPLE
SAN ANDRES (CT),APPLE
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),MOTOROLA
FLORIDABLANCA,SAMSUNG
FLORIDABLANCA,MOTOROLA
COROZAL,SAMSUNG
IBAGUE (CT),HUAWEI
IBAGUE (CT),MOTOROLA
IBAGUE (CT),SAMSUNG
IBAGUE (CT),SAMSUNG
IBAGUE (CT),-
IBAGUE (CT),SAMSUNG
IBAGUE (CT),AVVIO
LERIDA,ALCATEL
CALI (CT),SAMSUNG
CALI (CT),HUAWEI
CALI (CT),OTRA
CALI (CT),AVVIO
CALI (CT),ALCATEL
CALI (CT),APPLE
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),MOTOROLA
CALI (CT),MOTOROLA
CALI (CT),ZTE
FLORIDA,SAMSUNG
BELLO,LENOVO
BELLO,OTRA
BELLO,SAMSUNG
BELLO,SAMSUNG
EL CARMEN DE VIBORAL,SAMSUNG
ENVIGADO,MOTOROLA
GIRARDOTA,APPLE
ITAGUI,MOTOROLA
ITAGUI,MOTOROLA
LA ESTRELLA,MOTOROLA
MARINILLA,MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),APPLE
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),NOKIA
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),LENOVO
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),APPLE
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),APPLE
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
SABANETA,SAMSUNG
SANTAFE DE ANTIOQUIA,SAMSUNG
SANTAFE DE ANTIOQUIA,HUAWEI
SANTAFE DE ANTIOQUIA,SAMSUNG
BARRANQUILLA (CT),-
BARRANQUILLA (CT),APPLE
BARRANQUILLA (CT),MOTOROLA
BARRANQUILLA (CT),HUAWEI
BARRANQUILLA (CT),HUAWEI
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),MOTOROLA
BARRANQUILLA (CT),MOTOROLA
SABANALARGA,NOKIA
CARTAGENA (CT),APPLE
DUITAMA,ALCATEL
SOGAMOSO,LANIX
TUNJA (CT),HUAWEI
CHINCHINA,SAMSUNG
MANIZALES (CT),APPLE
FLORENCIA (CT),ALCATEL
FLORENCIA (CT),HUAWEI
FLORENCIA (CT),APPLE
MONTERREY,SAMSUNG
YOPAL (CT),SAMSUNG
YOPAL (CT),SAMSUNG
MERCADERES,SAMSUNG
POPAYAN (CT),SAMSUNG
POPAYAN (CT),SAMSUNG
POPAYAN (CT),SAMSUNG
POPAYAN (CT),ALCATEL
POPAYAN (CT),ALCATEL
SANTANDER DE QUILICHAO,NOKIA
SANTANDER DE QUILICHAO,LG
VALLEDUPAR (CT),SAMSUNG
VALLEDUPAR (CT),HUAWEI
CERETE,SAMSUNG
MONTERIA (CT),MOTOROLA
MONTERIA (CT),AZUMI
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),LG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SONY
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SONY
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
GIRARDOT,MOTOROLA
MAICAO,HUAWEI
MAICAO,HUAWEI
RIOHACHA (CT),APPLE
NEIVA (CT),SAMSUNG
CIENAGA,SAMSUNG
SANTA MARTA (CT),SAMSUNG
SANTA MARTA (CT),SAMSUNG
SANTA MARTA (CT),APPLE
SANTA MARTA (CT),SAMSUNG
SANTA MARTA (CT),MOTOROLA
SANTA MARTA (CT),HUAWEI
SANTA MARTA (CT),APPLE
SANTA MARTA (CT),SAMSUNG
VILLAVICENCIO (CT),APPLE
VILLAVICENCIO (CT),APPLE
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),MOTOROLA
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),OTRA
IPIALES,SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),HUAWEI
PASTO (CT),LG
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),HUAWEI
CUCUTA (CT),SAMSUNG
CUCUTA (CT),ALCATEL
CUCUTA (CT),NOKIA
DOSQUEBRADAS,SAMSUNG
DOSQUEBRADAS,SAMSUNG
DOSQUEBRADAS,APPLE
PEREIRA (CT),SAMSUNG
PEREIRA (CT),HUAWEI
BARRANCABERMEJA,SAMSUNG
BARRANCABERMEJA,ZTE
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),-
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),MOTOROLA
BUCARAMANGA (CT),LG
BUCARAMANGA (CT),APPLE
BUCARAMANGA (CT),LENOVO
BUCARAMANGA (CT),SAMSUNG
FLORIDABLANCA,HUAWEI
FLORIDABLANCA,MOTOROLA
FLORIDABLANCA,APPLE
FLORIDABLANCA,MOTOROLA
FLORIDABLANCA,SAMSUNG
GIRON,SAMSUNG
PIEDECUESTA,SAMSUNG
PIEDECUESTA,SAMSUNG
COVENHAS,MOTOROLA
SINCELEJO (CT),HUAWEI
SINCELEJO (CT),MOTOROLA
SINCELEJO (CT),LG
COYAIMA,AZUMI
IBAGUE (CT),HUAWEI
IBAGUE (CT),HUAWEI
IBAGUE (CT),-
IBAGUE (CT),LENOVO
POPAYAN (CT),SAMSUNG
IBAGUE (CT),ASUS
IBAGUE (CT),-
IBAGUE (CT),SAMSUNG
BUENAVENTURA,HUAWEI
CALI (CT),HUAWEI
CALI (CT),MOTOROLA
CALI (CT),HUAWEI
CALI (CT),HUAWEI
CALI (CT),ALCATEL
CALI (CT),APPLE
CALI (CT),APPLE
CALI (CT),SAMSUNG
CALI (CT),NOKIA
CALI (CT),SONY
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),MOTOROLA
CALI (CT),MOTOROLA
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),ALCATEL
CALI (CT),MOTOROLA
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),AVVIO
CALI (CT),SAMSUNG
CALI (CT),HUAWEI
CALI (CT),ALCATEL
CALI (CT),APPLE
CALI (CT),HUAWEI
CARTAGO,SAMSUNG
GUADALAJARA DE BUGA,ALCATEL
PALMIRA,ALCATEL
TULUA,HUAWEI
ENVIGADO,SAMSUNG
ENVIGADO,SAMSUNG
GUARNE,LG
MARINILLA,SAMSUNG
MEDELLIN (CT),NOKIA
MEDELLIN (CT),-
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),APPLE
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),APPLE
MEDELLIN (CT),APPLE
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),ZTE
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),LENOVO
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),HUAWEI
BARRANQUILLA (CT),LENOVO
BARRANQUILLA (CT),MOTOROLA
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),MOTOROLA
BARRANQUILLA (CT),HUAWEI
BARRANQUILLA (CT),HUAWEI
CARTAGENA (CT),SAMSUNG
CHIQUINQUIRA,SAMSUNG
CHIQUINQUIRA,SAMSUNG
CHIQUINQUIRA,HUAWEI
MUZO,SAMSUNG
TUNJA (CT),HUAWEI
TUNJA (CT),SAMSUNG
MANIZALES (CT),HUAWEI
MANIZALES (CT),HUAWEI
MANIZALES (CT),HUAWEI
MANIZALES (CT),APPLE
MANIZALES (CT),HUAWEI
MANIZALES (CT),HUAWEI
VILLAMARIA,HUAWEI
FLORENCIA (CT),SAMSUNG
FLORENCIA (CT),ALCATEL
YOPAL (CT),APPLE
YOPAL (CT),HUAWEI
POPAYAN (CT),NOKIA
POPAYAN (CT),SAMSUNG
SANTANDER DE QUILICHAO,SAMSUNG
VILLA RICA,ALCATEL
VILLA RICA,HUAWEI
AGUACHICA,SAMSUNG
VALLEDUPAR (CT),MOTOROLA
VALLEDUPAR (CT),SAMSUNG
LORICA,MOTOROLA
LORICA,SAMSUNG
LORICA,HUAWEI
MONTERIA (CT),APPLE
MONTERIA (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),APPLE
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),APPLE
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),APPLE
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),LENOVO
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),AVVIO
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),ZTE
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
NEIVA (CT),LG
NEIVA (CT),SAMSUNG
NEIVA (CT),LG
NEIVA (CT),HUAWEI
NEIVA (CT),SAMSUNG
NEIVA (CT),MOTOROLA
PITALITO,NOKIA
SANTA MARTA (CT),BLU
SANTA MARTA (CT),ALCATEL
SANTA MARTA (CT),SAMSUNG
SANTA MARTA (CT),APPLE
SANTA MARTA (CT),APPLE
ACACIAS,SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),OTRA
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),ALCATEL
BARBACOAS,MOTOROLA
IPIALES,MOTOROLA
LA UNION,SAMSUNG
PASTO (CT),MOTOROLA
PASTO (CT),HUAWEI
PASTO (CT),HUAWEI
PASTO (CT),HUAWEI
PASTO (CT),HUAWEI
PASTO (CT),HUAWEI
PASTO (CT),SAMSUNG
PASTO (CT),SONY
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),APPLE
PASTO (CT),SAMSUNG
TANGUA,MOTOROLA
CUCUTA (CT),SAMSUNG
CUCUTA (CT),HUAWEI
CUCUTA (CT),HUAWEI
CUCUTA (CT),MOTOROLA
CUCUTA (CT),SAMSUNG
CUCUTA (CT),HUAWEI
CUCUTA (CT),HUAWEI
LA PLAYA,HUAWEI
LOS PATIOS,SAMSUNG
ARMENIA (CT),LANIX
ARMENIA (CT),AVVIO
ARMENIA (CT),SAMSUNG
DOSQUEBRADAS,AZUMI
PEREIRA (CT),APPLE
PEREIRA (CT),SAMSUNG
PEREIRA (CT),SAMSUNG
BUCARAMANGA (CT),-
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),MOTOROLA
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),APPLE
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),APPLE
BUCARAMANGA (CT),MOTOROLA
FLORIDABLANCA,APPLE
GIRON,MOTOROLA
GIRON,HUAWEI
LEBRIJA,MOTOROLA
SANTIAGO DE TOLU,HUAWEI
CHAPARRAL,AVVIO
ESPINAL,OTRA
IBAGUE (CT),-
IBAGUE (CT),MOTOROLA
IBAGUE (CT),SAMSUNG
IBAGUE (CT),HUAWEI
IBAGUE (CT),AVVIO
IBAGUE (CT),AVVIO
IBAGUE (CT),LENOVO
CALI (CT),SAMSUNG
CALI (CT),LG
CALI (CT),NOKIA
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),LG
CALI (CT),SAMSUNG
CALI (CT),LG
CALI (CT),SONY
CALI (CT),ASUS
CALI (CT),HUAWEI
CALI (CT),ALCATEL
CALI (CT),SAMSUNG
CALI (CT),HUAWEI
EL CERRITO,MOTOROLA
GUADALAJARA DE BUGA,APPLE
JAMUNDI,MOTOROLA
PALMIRA,HUAWEI
BARBOSA,AZUMI
BELLO,SAMSUNG
BELLO,MOTOROLA
BELLO,MOTOROLA
ITAGUI,ALCATEL
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),APPLE
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),APPLE
MEDELLIN (CT),APPLE
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),LENOVO
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),LENOVO
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),AVVIO
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),NOKIA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SONY
SANTA BARBARA,SAMSUNG
BARRANQUILLA (CT),SONY
BARRANQUILLA (CT),-
BARRANQUILLA (CT),-
SABANALARGA,ZTE
SOLEDAD,SAMSUNG
SOGAMOSO,SAMSUNG
TUNJA (CT),SAMSUNG
TUNJA (CT),APPLE
TUNJA (CT),HUAWEI
MANIZALES (CT),MOTOROLA
EL PAUJIL,SAMSUNG
FLORENCIA (CT),APPLE
FLORENCIA (CT),HUAWEI
YOPAL (CT),SAMSUNG
YOPAL (CT),HUAWEI
YOPAL (CT),SAMSUNG
YOPAL (CT),SAMSUNG
POPAYAN (CT),MOTOROLA
POPAYAN (CT),APPLE
POPAYAN (CT),OTRA
BOSCONIA,HUAWEI
VALLEDUPAR (CT),HUAWEI
QUIBDO (CT),SONY
CHINU,APPLE
SAN PELAYO,SAMSUNG
TIERRALTA,-
BOGOTA D.C. (CT),APPLE
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),LENOVO
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),SONY
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),APPLE
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),BLU
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
CHIA,MOTOROLA
GIRARDOT,SAMSUNG
BARRANCAS,SAMSUNG
RIOHACHA (CT),SAMSUNG
NEIVA (CT),SAMSUNG
NEIVA (CT),LG
NEIVA (CT),SONY
NEIVA (CT),SAMSUNG
NEIVA (CT),MOTOROLA
SANTA MARTA (CT),MOTOROLA
SANTA MARTA (CT),HUAWEI
SANTA MARTA (CT),MOTOROLA
GRANADA,SAMSUNG
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),APPLE
VILLAVICENCIO (CT),MOTOROLA
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),LENOVO
VILLAVICENCIO (CT),LG
PASTO (CT),MOTOROLA
PASTO (CT),MOTOROLA
CUCUTA (CT),MOTOROLA
CUCUTA (CT),ALCATEL
CUCUTA (CT),LANIX
ARMENIA (CT),OTRA
DOSQUEBRADAS,HUAWEI
PEREIRA (CT),SAMSUNG
PEREIRA (CT),HUAWEI
PEREIRA (CT),SAMSUNG
BARRANCABERMEJA,ALCATEL
BARRANCABERMEJA,SONY
BARRANCABERMEJA,SAMSUNG
BARRANCABERMEJA,BLU
BUCARAMANGA (CT),ALCATEL
BUCARAMANGA (CT),MOTOROLA
BUCARAMANGA (CT),APPLE
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),APPLE
FLORIDABLANCA,MOTOROLA
FLORIDABLANCA,HUAWEI
FLORIDABLANCA,SAMSUNG
FLORIDABLANCA,LG
GIRON,HUAWEI
GIRON,SAMSUNG
PIEDECUESTA,SAMSUNG
IBAGUE (CT),-
IBAGUE (CT),SAMSUNG
IBAGUE (CT),NOKIA
IBAGUE (CT),SAMSUNG
IBAGUE (CT),SAMSUNG
IBAGUE (CT),ZTE
IBAGUE (CT),-
IBAGUE (CT),HUAWEI
MELGAR,LG
MELGAR,ALCATEL
CALI (CT),ALCATEL
CALI (CT),LG
CALI (CT),LENOVO
CALI (CT),MOTOROLA
CALI (CT),HUAWEI
CALI (CT),MOTOROLA
CALI (CT),SAMSUNG
CALI (CT),HUAWEI
CALI (CT),SAMSUNG
CALI (CT),HUAWEI
CALI (CT),SAMSUNG
CALI (CT),APPLE
CALI (CT),APPLE
CALI (CT),NOKIA
CALI (CT),HUAWEI
CALI (CT),MOTOROLA
CALI (CT),APPLE
CALI (CT),NOKIA
CALI (CT),SAMSUNG
CALI (CT),APPLE
CALI (CT),LG
CALI (CT),AZUMI
PALMIRA,SAMSUNG
TULUA,SAMSUNG
YUMBO,MOTOROLA
BARBOSA,LENOVO
BELLO,SAMSUNG
BELLO,MOTOROLA
BELLO,SAMSUNG
BELLO,HUAWEI
COPACABANA,SAMSUNG
COPACABANA,NOKIA
ENVIGADO,SAMSUNG
ENVIGADO,SAMSUNG
ITAGUI,SAMSUNG
ITAGUI,NOKIA
ITAGUI,OTRA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),APPLE
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),LENOVO
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),LG
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),LG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),HUAWEI
PUERTO BERRIO,LG
RIONEGRO,SAMSUNG
RIONEGRO,LG
RIONEGRO,SAMSUNG
SABANETA,APPLE
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SONY
CARTAGENA (CT),-
DUITAMA,SAMSUNG
SOGAMOSO,SAMSUNG
SOGAMOSO,HUAWEI
TUNJA (CT),SAMSUNG
TUNJA (CT),SAMSUNG
MANIZALES (CT),SAMSUNG
FLORENCIA (CT),HUAWEI
FLORENCIA (CT),HUAWEI
FLORENCIA (CT),SAMSUNG
FLORENCIA (CT),SAMSUNG
FLORENCIA (CT),ALCATEL
POPAYAN (CT),HUAWEI
POPAYAN (CT),HUAWEI
POPAYAN (CT),SAMSUNG
POPAYAN (CT),SAMSUNG
POPAYAN (CT),OTRA
SANTANDER DE QUILICHAO,SAMSUNG
VALLEDUPAR (CT),SAMSUNG
VALLEDUPAR (CT),APPLE
QUIBDO (CT),SAMSUNG
QUIBDO (CT),HUAWEI
QUIBDO (CT),SAMSUNG
CERETE,SAMSUNG
CERETE,HUAWEI
MONTERIA (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),LENOVO
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),LENOVO
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),LG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),LG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),LG
