BARRIO,SEXO
SECTOR PLAZA DE MERCADO ELPAPAYO,FEMENINO
CGTO CHOCHO,MASCULINO
ESPANHA,FEMENINO
ESPANHA,FEMENINO
LA GRATA,FEMENINO
CENTRO,MASCULINO
LA VARIANTE,FEMENINO
ESTACION,FEMENINO
VILLA DEL SOL,MASCULINO
CENTRO,FEMENINO
EL SALADO,MASCULINO
NUEVO COMBEIMA,MASCULINO
AMBALA,FEMENINO
ALTAMAR,MASCULINO
SAN JOAQUIN E17,MASCULINO
DIAMANTE E13,FEMENINO
SAN BENITO E11,MASCULINO
EL POBLADO I E13,MASCULINO
LILI E17,MASCULINO
LA HACIENDA E17,MASCULINO
SAN VICENTE E2,MASCULINO
SAN FERNANDO VIEJO E19,MASCULINO
EL POBLADO II E13,MASCULINO
SAN PEDRO E3,MASCULINO
ANGEL DEL HOGAR E7,FEMENINO
LOS LIBERTADORES E3,MASCULINO
EL RETIRO E15,FEMENINO
CGTO PANCE E22,MASCULINO
TERRON COLORADO E1,FEMENINO
MARROQUIN I E14,FEMENINO
CALIMIO DESEPAZ E21,FEMENINO
LOS NARANJOS I E14,MASCULINO
EL RODEO E12,MASCULINO
CALIMA E4,MASCULINO
PRADOS DEL NORTE E2,MASCULINO
SAN PEDRO E3,MASCULINO
METROPOLITANO DEL NORTE E5,FEMENINO
CIUDAD CAPRI E17,FEMENINO
URB. CIUDAD JARDIN E22,MASCULINO
ALFONSO LOPEZ III E7,MASCULINO
ALFONSO LOPEZ III E7,MASCULINO
URB. TEQUENDAMA E19,FEMENINO
SAN VICENTE E2,FEMENINO
CUARTO LEGUA - GUADALUPE E19,FEMENINO
EL GRAN LIMONAR E17,FEMENINO
CGTO VILLAGORGONA,MASCULINO
CGTO VILLAGORGONA,MASCULINO
EL CENTRO,MASCULINO
EL PRINCIPE,FEMENINO
SANTA ELENA,FEMENINO
CIUDADELA DEL NORTE,FEMENINO
EL PARAISO,FEMENINO
LOS BALSOS,FEMENINO
ALCALA,FEMENINO
ASTURIAS,MASCULINO
SAN FERNANDO,MASCULINO
DITAIRES,MASCULINO
BARRIO COLOMBIA C-14,MASCULINO
LA FLORESTA C-12,FEMENINO
LOS NARANJOS C-14,FEMENINO
SAN BENITO C-10,FEMENINO
GERONA  C-9,FEMENINO
MIRAVALLE C-16,FEMENINO
MANILA C-14,MASCULINO
LA CANDELARIA C-10,MASCULINO
LA CANDELARIA C-10,MASCULINO
SURAMERICANA C-11,FEMENINO
LA CANDELARIA C-10,FEMENINO
LA CANDELARIA C-10,MASCULINO
SAN BERNARDO C-16,MASCULINO
LA CANDELARIA C-10,MASCULINO
VILLANUEVA C-10,MASCULINO
PARQUE NORTE C-4,FEMENINO
LA CANDELARIA C-10,MASCULINO
LA FLORESTA C-12,MASCULINO
PRADO C-10,MASCULINO
LAURELES C-11,MASCULINO
SAN PEDRO  C-4,MASCULINO
EL POBLADO C-14,MASCULINO
LA CANDELARIA C-10,MASCULINO
LA CANDELARIA C-10,FEMENINO
SAN DIEGO C-10,MASCULINO
OLEODUCTO C-5,FEMENINO
AEROPUERTO,MASCULINO
EL RECREO,MASCULINO
SIMON BOLIVAR,FEMENINO
LA PLAYA,FEMENINO
VILLA BLANCA,MASCULINO
NUEVO MILENIO,MASCULINO
URB. PUERTA DE ORO,MASCULINO
VILLA ESTADIO I,MASCULINO
PASEO DE BOLIVAR,MASCULINO
BOSQUE INDUSTRIAL,MASCULINO
LAS FERIAS,FEMENINO
BARRIO CENTRO,MASCULINO
EL BOSQUE,MASCULINO
EL BOSQUE,MASCULINO
VILLAMONICA,FEMENINO
LA VEGA,FEMENINO
VILLA DEL PRADO,FEMENINO
JUNIN,FEMENINO
VILLA MIRIAN,FEMENINO
24 DE MAYO,FEMENINO
LA PRADERA,FEMENINO
COLINA REAL,MASCULINO
EDMUNDO LÒPEZ,FEMENINO
COSTA RICA E-11,MASCULINO
LOS ANDES E-12,MASCULINO
SAMPER MENDOZA E-14,MASCULINO
SANTA BARBARA E-1,FEMENINO
SAMPER MENDOZA E-14,FEMENINO
PROVENZA E-11,FEMENINO
URB. ZONA INDUSTRIAL E-16,FEMENINO
BRITALIA E-11,FEMENINO
LUSITANIA E-8,FEMENINO
COLOMBIA E-12,MASCULINO
SAN RAFAEL INDUSTRIAL E-16,FEMENINO
ALAMEDA E-3,FEMENINO
NUEVO TIMIZA E-8,FEMENINO
CIUDAD KENNEDY SUR   E-8,FEMENINO
SANTA BARBARA E-1,MASCULINO
TIBABUYES E-11,FEMENINO
SAN JOSE DE BAVARIA E-11,MASCULINO
LAS NIEVES E-3,FEMENINO
NORMANDIA E-10,MASCULINO
ALQUERIA LA FRAGUA E-8,MASCULINO
CHICALA E-7,FEMENINO
EL PARAISO E-2,FEMENINO
LAS NIEVES E-3,MASCULINO
GALERIAS E-13,MASCULINO
LA FLORIDA E-10,MASCULINO
RESTREPO E-15,FEMENINO
MORAVIA  C-4,MASCULINO
OLAYA E-18,FEMENINO
SAN DIEGO E-3,MASCULINO
EL CAMPIN E-13,MASCULINO
URB. MAZUREN I SECTOR E-11,MASCULINO
URB. SANTA RITA I SECTOR E-16,MASCULINO
URB. NUEVA ZELANDIA E-11,MASCULINO
LA VERACRUZ E-3,FEMENINO
MOLINOS DEL SUR E-18,FEMENINO
EL LAUREL E-10,MASCULINO
SERAFINA E-4,MASCULINO
VILLA SONIA E-7,MASCULINO
CHICO NORTE II SECTOR E-1,FEMENINO
SOCIEGO E-4,FEMENINO
HACIENDA LOS MOLINOS E-18,FEMENINO
GRANADA NORTE E-11,MASCULINO
MODELIA E-9,FEMENINO
VEINTE DE JULIO E-4,MASCULINO
URB. SANTA PAULA E-1,MASCULINO
VILLA GLORIA I E-11,FEMENINO
CHICO I E-2,FEMENINO
CHAPINERO ALTO E-2,MASCULINO
GALERIAS E-13,MASCULINO
LAS MARIAS,-
LAS  MERCEDES,FEMENINO
CENTENARIO,FEMENINO
SAN MARTIN,FEMENINO
BELLA VISTA,MASCULINO
LA PAZ,FEMENINO
OLIMPICO,FEMENINO
7 DE AGOSTO,MASCULINO
BASTILLA,FEMENINO
ALBORADA,FEMENINO
VAINILLA,MASCULINO
BRISAS DEL GUATIQUIA,MASCULINO
PORVENIR,MASCULINO
VISCAYA,FEMENINO
POPULAR,FEMENINO
VILLA JULIA,FEMENINO
PORVENIR,MASCULINO
PORVENIR,FEMENINO
LA LAGUNA,MASCULINO
REFUGIO LOS PINOS,FEMENINO
CENTRO,MASCULINO
PARQUE BOLIVAR,MASCULINO
CENTRO,FEMENINO
QUINTAS DE SAN PEDRO,MASCULINO
TERMINAL,FEMENINO
VDA MADRONHERO,FEMENINO
BARRIO EL BOSQUE,FEMENINO
PARQUE SUCRE,FEMENINO
VILLA HERMOSA,MASCULINO
CENTRO,-
VALENCIA,MASCULINO
VDA.ALTO DEL RIO,FEMENINO
LA NUEVA TEBAIDA,FEMENINO
SECTOR LA GALERIA,FEMENINO
FRAYLES,MASCULINO
NUEVO PLAN,MASCULINO
ALTOS DE CORALES,MASCULINO
SECTOR PARQUE EL LAGO,FEMENINO
SECTOR GALERIA CENTRAL,FEMENINO
PROVENZA,FEMENINO
LA CEIBA,MASCULINO
VERSALLES I,MASCULINO
CIUDADELA VILLAMIL,FEMENINO
VDA. LAS AMARILLAS,MASCULINO
CENTRO P/TA,MASCULINO
SAN FRANCISCO,FEMENINO
URIBE URIBE,FEMENINO
URIBE URIBE,FEMENINO
PARAISO PUERTA ROJA,MASCULINO
ESTACION,FEMENINO
MARTINICA,FEMENINO
VIA ROVIRA,MASCULINO
AVENIDA,FEMENINO
MIROLINDO,MASCULINO
EL CARMEN,FEMENINO
EL LIMONAR,FEMENINO
SIMON BOLIVAR,MASCULINO
MACARENA,FEMENINO
CGTO LA VORAGINE E22,FEMENINO
SANTA ROSA E3,FEMENINO
VERSALLES E2,FEMENINO
GRANADA E2,MASCULINO
PRADOS DEL NORTE E2,MASCULINO
VERSALLES E2,FEMENINO
LOS PORTALES - NUEVO REY E17,MASCULINO
EL LIDO E19,MASCULINO
URB. CIUDAD JARDIN E22,FEMENINO
VILLACOLOMBIA E8,MASCULINO
CANEY E17,FEMENINO
ARANJUEZ E9,MASCULINO
BELALCAZAR E25,FEMENINO
LAS VEGAS,MASCULINO
CIUDADELA DEL NORTE,FEMENINO
NIQUIA QUITASOL,FEMENINO
CASA VERDE,MASCULINO
ACEVEDO,MASCULINO
LA PAZ,FEMENINO
PILSEN,MASCULINO
PARQUE PRINCIPAL,MASCULINO
CONQUISTADORES C-11,MASCULINO
LAS VEGAS,FEMENINO
BOMBONA 1 C-10,FEMENINO
EL POBLADO C-14,FEMENINO
BARRIO COLOMBIA C-14,MASCULINO
BOMBONA 1 C-10,FEMENINO
LA CANDELARIA C-10,MASCULINO
ESTADIO C-11,MASCULINO
BOSTON C-10,FEMENINO
SAN DIEGO C-10,MASCULINO
LAURELES C-11,MASCULINO
LA CANDELARIA C-10,MASCULINO
BOLIVARIANA C-11,FEMENINO
SAN DIEGO C-10,MASCULINO
CAMPO VALDES 2 C-3,FEMENINO
LA ALPUJARRA C-10,FEMENINO
EL POBLADO C-14,MASCULINO
LA MOTA C-16,MASCULINO
LA AGUACATALA C-14,MASCULINO
LAURELES C-11,MASCULINO
SAN JAVIER 1 C-13,FEMENINO
SAN JAVIER 1 C-13,FEMENINO
LA CASTELLANA C-11,FEMENINO
MANRIQUE 2  C-3,FEMENINO
CERRO NUTIBARA C-16,MASCULINO
SAN PEDRO  C-4,MASCULINO
VILLANUEVA C-10,MASCULINO
PRADO C-10,MASCULINO
EL POBLADO C-14,FEMENINO
CASTILLA C-5,MASCULINO
LA CANDELARIA C-10,FEMENINO
BELEN C-16,FEMENINO
SURAMERICANA C-11,MASCULINO
LA CANDELARIA C-10,FEMENINO
SIMON BOLIVAR,FEMENINO
SIMON BOLIVAR,MASCULINO
7 DE ABRIL,FEMENINO
LA CHINITA,MASCULINO
LOS ROBLES,MASCULINO
SECTOR EL TENDAL,MASCULINO
PARQUE DAVID GUARIN,MASCULINO
BARRIO CENTRO,FEMENINO
VDA. LOMA REDONDA,MASCULINO
BARRIO SAN IGNACIO,FEMENINO
CENTRO,FEMENINO
BARRIO LA ESMERALDA,MASCULINO
EL BOSQUE,MASCULINO
LA ENEA,FEMENINO
CENTRO,FEMENINO
EL BOSQUE,MASCULINO
EL BOSQUE,MASCULINO
LAS PALMAS,MASCULINO
LIMONAR,MASCULINO
EL UVO,MASCULINO
GARUPAL III,MASCULINO
CGTO LOS TREJOS,MASCULINO
FURATENA,-
RINCON DEL CHICO E-1,MASCULINO
LA ANDREA E-5,FEMENINO
TIMIZA CELULA A LOTE RA-2 E-8,MASCULINO
VERSALLES E-9,FEMENINO
CORDOBA E-4,MASCULINO
ROMA  E-8,FEMENINO
CHAPINERO NORTE E-2,FEMENINO
MODELIA E-9,FEMENINO
CHAPINERO NORTE E-2,MASCULINO
TEUSAQUILLO E-13,FEMENINO
GRANADA NORTE E-11,FEMENINO
PORTALES DEL NORTE E-11,FEMENINO
QUINTA RAMOS E-4,FEMENINO
URB. LAS LOMAS E-4,MASCULINO
USMINIA DESARROLLO E-5,MASCULINO
LA ESMERALDA E-13,MASCULINO
CHICO NAVARRA E-1,MASCULINO
EL RETIRO E-2,FEMENINO
LA ESTRADA E-10,MASCULINO
LOS CEDRITOS E-1,FEMENINO
EL PINAR E-11,MASCULINO
NUEVA ESCOCIA E-11,MASCULINO
EL MUELLE  E-10,MASCULINO
SANTA ROSA E-11,FEMENINO
SOLEDAD NORTE E-10,FEMENINO
LAS AGUAS E-17,FEMENINO
SOCIEGO E-4,MASCULINO
SOCIEGO E-4,MASCULINO
SAN JOAQUIN DEL VATICANO E-19,FEMENINO
GRAN COLOMBIANO E-8,MASCULINO
VISTA HERMOSA E-19,FEMENINO
LAGOS DE SUBA E-11,FEMENINO
EL PALMAR E-10,MASCULINO
FRANCISCO JOSE DE CALDASS   E-8,FEMENINO
SUBA CENTRO E-11,FEMENINO
URB. LA ALQUERIA E-16,MASCULINO
SANTA MATILDE I SECTOR E-16,FEMENINO
EL ACUEDUCTO,FEMENINO
LAS TUNAS,-
URB. PORTAL DE COMFAMILIAR,-
EDUARDO SANTOS,FEMENINO
LA GAITANA,FEMENINO
MANZANARES,FEMENINO
SUCRE,FEMENINO
TRINIDAD,FEMENINO
GAIRA CENTRO,FEMENINO
CANTILITO 1-2-3,MASCULINO
CENTRO,MASCULINO
SANTA CRUZ,MASCULINO
CALABAZO,MASCULINO
CENTRO,MASCULINO
VEREDA TRES ESTRELLAS,MASCULINO
SAN FRANCISCO,FEMENINO
CENTRO,MASCULINO
CENTRO,MASCULINO
CENTAURO,MASCULINO
CENTAURO,MASCULINO
CAUDAL ORIENTAL,MASCULINO
SANTA INES,MASCULINO
SANTA MONICA,MASCULINO
CGTO CABRERA,MASCULINO
VARIANTE SECTOR EL TUNEL,FEMENINO
MORASURCO,MASCULINO
AIRE LIBRE,MASCULINO
GUALCALOMA,MASCULINO
CENTRO,FEMENINO
BARRIO LLERAS RESTREPO,MASCULINO
BARRIO QUINTA BOSCH,FEMENINO
BARRIO LAS AMERICAS,FEMENINO
"LA ADIELA I,II,III,IV",MASCULINO
CENTRO,FEMENINO
LOS ABORIGENES,MASCULINO
CAMPESTRE A,FEMENINO
TURIN,FEMENINO
VDA. TRES PUERTAS,MASCULINO
LOS ALMENDROS,FEMENINO
MEJIA ROBLEDO,MASCULINO
CENTRO (A) PEREIRA,FEMENINO
SAN VICENTE,MASCULINO
LA ISLA (V/SANTANA),FEMENINO
SAN ANTONIO I,FEMENINO
SAMARIA I,FEMENINO
BARRIO ATLANTICO,FEMENINO
SECTOR CENTRO,MASCULINO
NUEVO SOTOMAYOR,MASCULINO
PAN DE AZUCAR,MASCULINO
VDA. RUITOQUE ALTO,MASCULINO
VILLA LUZ,FEMENINO
PUERTO MADERO,FEMENINO
CENTRO P/TA,FEMENINO
CENTRO P/TA,MASCULINO
VILLA CINDY,FEMENINO
LOS MANDARINOS,MASCULINO
MAGISTERIO,FEMENINO
JORDAN III ETAPA,FEMENINO
LOS PARRALES,FEMENINO
SAN VICENTE E2,MASCULINO
SAN VICENTE E2,MASCULINO
JORGE ELIECER GAITAN E6,MASCULINO
JUNIN E9,MASCULINO
SAN JOAQUIN E17,FEMENINO
MENGA E2,MASCULINO
MIRAFLORES E19,MASCULINO
CHAMPAGNAT E19,FEMENINO
SAN FERNANDO NUEVO E19,FEMENINO
URB. MILITAR E19,FEMENINO
CANEY E17,MASCULINO
SIETE DE AGOSTO E7,MASCULINO
ANGEL DEL HOGAR E7,FEMENINO
RODRIGO LARA BONILLA E13,MASCULINO
CALIMIO DESEPAZ E21,MASCULINO
JUNIN E9,MASCULINO
CENTRAL,MASCULINO
MUNICIPAL (26-1),MASCULINO
LAS AMERICAS E25,FEMENINO
VDA. POTRERITO,MASCULINO
LA BRIZUELA,FEMENINO
CENTRO,MASCULINO
GUAYABAL C-15,FEMENINO
LA CANDELARIA C-10,MASCULINO
LA CANDELARIA C-10,MASCULINO
SAN DIEGO C-10,MASCULINO
CRISTO REY C-15,MASCULINO
LOS MANGOS C-8,MASCULINO
FLORIDA NUEVA C-11,MASCULINO
ESTACION VILLA C-10,MASCULINO
BARRIO COLOMBIA C-14,MASCULINO
SEVILLA  C-4,FEMENINO
VILLANUEVA C-10,FEMENINO
VILLANUEVA C-10,FEMENINO
SEVILLA  C-4,MASCULINO
LA ALPUJARRA C-10,FEMENINO
VIA SANTA ELENA  C-9,MASCULINO
EL POBLADO C-14,MASCULINO
BOLIVARIANA C-11,MASCULINO
ANTONIO NARINHO C-13,FEMENINO
LAURELES C-11,MASCULINO
GUAYABAL C-15,FEMENINO
LA PILARICA C-7,MASCULINO
EL POBLADO C-14,MASCULINO
BELEN C-16,FEMENINO
LA CANDELARIA C-10,MASCULINO
CRISTO REY C-15,MASCULINO
PATIO BONITO C-14,FEMENINO
MANILA C-14,MASCULINO
SAN BENITO C-10,FEMENINO
MONTECLARO C-7,MASCULINO
EL CARMELO,MASCULINO
VIRGEN DEL CARMEN,FEMENINO
7 DE AGOSTO,FEMENINO
EL CARMEN,MASCULINO
CHIQUINQUIRA,MASCULINO
EL VALLE,MASCULINO
LOS ROBLES,FEMENINO
EL PARQUE,MASCULINO
LAS GAVIOTAS,MASCULINO
SAN ISIDRO,FEMENINO
ZARAGOCILLA,MASCULINO
LAS PALMAS,MASCULINO
SOLANO,MASCULINO
10 DE ENERO,MASCULINO
CHAPINERO,MASCULINO
CHAPINERO,FEMENINO
LA ESTRELLA,-
LA SULTANA,MASCULINO
CENTRO,MASCULINO
JUAN XXIII,MASCULINO
NOGAL,MASCULINO
BELALCAZAR,-
VDA VILLA NUEVA,MASCULINO
NINHO JESUS DE PRAGA,FEMENINO
VDA LOS ROBLES,FEMENINO
PANAMERICANO,FEMENINO
CENTRO,MASCULINO
SAN JOAQUIN,FEMENINO
URB. CLUB HOUSE,MASCULINO
LAS GAVIOTAS,MASCULINO
SARABANDA,MASCULINO
NIZA NORTE E-11,MASCULINO
LOS HAYUELOS E-9,MASCULINO
AEROPUERTO BODEGAS,MASCULINO
EL MOTORISTA E-7,MASCULINO
VILLAS DEL PROGRESO E-19,MASCULINO
VILLAS DEL MADRIGAL E-10,FEMENINO
MARTIRES E-14,FEMENINO
EL TUNAL II E-6,FEMENINO
URB. NUEVA MARSELLA I SECTOR E-8,MASCULINO
SOCIEGO NORTE II SECTOR E-18,FEMENINO
URB MIRANDELA E-11,FEMENINO
BELLA SUIZA E-1,MASCULINO
BELLA SUIZA E-1,MASCULINO
CHAPINERO NORTE E-2,MASCULINO
LAS NIEVES E-3,FEMENINO
SAN PABLO E-7,MASCULINO
ARGELIA E-7,MASCULINO
SANTA BARBARA CENTRAL E-1,MASCULINO
LAS FERIAS E-10,FEMENINO
SANTA INES E-3,MASCULINO
SAN DIEGO E-3,FEMENINO
URB. PUENTE ARANDA E-16,FEMENINO
INGLES E-18,MASCULINO
LOS CEDRITOS E-1,MASCULINO
VISION DE COLOMBIA E-8,MASCULINO
TURINGIA E-11,MASCULINO
BELLA SUIZA E-1,MASCULINO
EL RETIRO E-2,FEMENINO
BELALCAZAR E-13,MASCULINO
BOSA CENTRO E-7,MASCULINO
SAN ANTONIO E-15,MASCULINO
EL RETIRO E-2,FEMENINO
VILLA LUZ E-10,MASCULINO
POLO CLUB E-12,FEMENINO
LAS ORQUIDEAS E-1,MASCULINO
VILLA MAYOR E-15,FEMENINO
LA MARIA E-19,FEMENINO
SAGRADO CORAZON E-3,MASCULINO
VENECIA E-6,FEMENINO
SAN ANTONIO E-1,FEMENINO
TECHO  E-8,MASCULINO
LOS CEDRITOS E-1,MASCULINO
SAN DIEGO E-3,MASCULINO
BELLA SUIZA E-1,MASCULINO
SAN FRANCISCO E-19,FEMENINO
CANDELARIA LA NUEVA I SECTOR E-19,FEMENINO
SAN CRISTOBAL E-1,FEMENINO
CENTRO,MASCULINO
CENTRO,MASCULINO
LOMA FRESCA,MASCULINO
BOSQUE,MASCULINO
DIVINO NINHO,MASCULINO
DIVINO NINHO,MASCULINO
TIMANCO,FEMENINO
LOS GUADUALES,MASCULINO
CALIXTO LEYVA,FEMENINO
CANDIDO LEGUIZAMO,FEMENINO
PRIMERO DE MAYO,MASCULINO
SALAMANCA,MASCULINO
MANZANARES,FEMENINO
CENTRO,FEMENINO
LA FLORIDA,FEMENINO
ANTONIO V/CIO,FEMENINO
CENTRO,MASCULINO
CENTRO,MASCULINO
VILLA JULIA,MASCULINO
PASTRANA,FEMENINO
EL RETIRO,FEMENINO
SAN ANTONIO,MASCULINO
VEREDA LAS MERCEDES,MASCULINO
SAN BENITO,FEMENINO
PUENES,MASCULINO
PUENES,MASCULINO
MERCEDARIO,MASCULINO
VALLE DE ATRIZ,FEMENINO
AV. LAS AMERICAS,MASCULINO
PARQUE BOLIVAR,FEMENINO
BARRIO CENABASTOS,MASCULINO
BARRIO SAN MIGUEL,MASCULINO
BARIO LA RIVIERA,MASCULINO
EL RECREO,MASCULINO
SECTOR SUPER INTER PLAZA,FEMENINO
EL BERLIN,MASCULINO
VILLA LILIANA,FEMENINO
VDA.LA BELLA,MASCULINO
CACIQUE,FEMENINO
CACIQUE,FEMENINO
LA GRACIELA,MASCULINO
PRIMERO DE FEBRERO 1,FEMENINO
CENTRO (A) PEREIRA,-
CENTRO (A) PEREIRA,-
CENTRO (A) PEREIRA,-
LA PAZ CENTRO,MASCULINO
EL PARNASO,MASCULINO
LA FLORESTA,FEMENINO
PALMIRA,FEMENINO
SANTA ISABEL,FEMENINO
BALCONES DEL SUR,FEMENINO
SOTOMAYOR,FEMENINO
EL PRADO,MASCULINO
LA AURORA,FEMENINO
LA VICTORIA,MASCULINO
CENTRO,MASCULINO
ALVAREZ,FEMENINO
QUINTAS DEL CAMPESTRE,FEMENINO
LAGOS I,FEMENINO
JUNIN,FEMENINO
12 DE OCTUBRE,FEMENINO
SECTOR MOTEL EL CRUCERO,MASCULINO
PORVENIR,MASCULINO
LUCITANIA,MASCULINO
BALTAZAR,MASCULINO
JARDIN SANTANDER,FEMENINO
BELARCAZAR,MASCULINO
COMUNEROS,FEMENINO
VILLA DEL SOL,FEMENINO
TERRAZAS DEL TEJAR,FEMENINO
CENTRO,FEMENINO
MUELLE TURISTICO,MASCULINO
CALIMA E4,FEMENINO
CANEY E17,FEMENINO
PARCELACIONES PANCE E22,MASCULINO
SAN PASCUAL E3,FEMENINO
SAN FERNANDO VIEJO E19,MASCULINO
LOS LIDERES E21,FEMENINO
ALFONSO LOPEZ II E7,MASCULINO
LA GRAN COLOMBIA E11,MASCULINO
EL POBLADO II E13,FEMENINO
JOSE M. MARROQUIN II E14,FEMENINO
SECTOR PUENTE DEL COMERCIO E6,MASCULINO
SECTOR PUENTE DEL COMERCIO E6,MASCULINO
LOS CAMBULOS E19,MASCULINO
UNICENTRO CALI E17,FEMENINO
LAS AMERICAS E8,MASCULINO
OBRERO E9,MASCULINO
PARCELACIONES PANCE E22,MASCULINO
SANTA RITA E2,MASCULINO
ATANASIO GIRARDOT E8,FEMENINO
CALIMA E4,MASCULINO
ALFONSO LOPEZ III E7,MASCULINO
CGTO MONTEBELLO E1,MASCULINO
SECTOR ALTOS NORMANDIA - BATACLAN E2,MASCULINO
LOS ANDES E5,FEMENINO
CENTRO,FEMENINO
IV CENTENARIO,FEMENINO
BIZERTA,FEMENINO
LA CONCORDIA,FEMENINO
TOMAS URIBE,MASCULINO
CIUDADELA DEL NORTE,FEMENINO
LA SELVA,MASCULINO
EL TRAPICHE,MASCULINO
BALADARES,FEMENINO
CIUDAD NIQUIA,FEMENINO
ALTOS DE NIQUIA,FEMENINO
BELLAVISTA,MASCULINO
PARQUE PRINCIPAL,FEMENINO
LOMA DEL ESCOBERO,MASCULINO
VDA. LAS CUCHILLAS,FEMENINO
PARQUE PRINCIPAL,FEMENINO
SANTA MARIA # 1,MASCULINO
SANTA MARIA # 3,MASCULINO
LA CANDELARIA C-10,MASCULINO
GUAYAQUIL C-10,FEMENINO
CENTRO ADMINISTRATIVO C-10,FEMENINO
SAN JOAQUIN C-11,MASCULINO
SAN GERMAN C-7,FEMENINO
SANTA LUCIA C-12,FEMENINO
PRADO C-10,FEMENINO
ESTACION VILLA C-10,MASCULINO
SURAMERICANA C-11,MASCULINO
LA CANDELARIA C-10,-
PRADO C-10,MASCULINO
EL POBLADO C-14,MASCULINO
CAMPO VALDES 2 C-3,MASCULINO
CONQUISTADORES C-11,FEMENINO
LAURELES C-11,MASCULINO
LA CANDELARIA C-10,MASCULINO
ASTORGA C-14,MASCULINO
MANILA C-14,MASCULINO
CRISTO REY C-15,MASCULINO
SEVILLA  C-4,FEMENINO
LA ALPUJARRA C-10,MASCULINO
CAMPO AMOR C-15,FEMENINO
LA ALPUJARRA C-10,MASCULINO
CANTOR,MASCULINO
EL ESPINAL,FEMENINO
6 DE OCTUBRE,MASCULINO
SAN ISIDRO,MASCULINO
EL ROSARIO,MASCULINO
POR FIN,FEMENINO
BOSTON,MASCULINO
MIRAMAR,MASCULINO
LA ROSITA,MASCULINO
LA PRINCESA,MASCULINO
PASEO DE BOLIVAR,MASCULINO
SAN JOSE,FEMENINO
CENTRO,MASCULINO
BARRIO PARAISO,FEMENINO
BARRIO CANAPRO,MASCULINO
BARRIOS LOS OLIVOS,FEMENINO
LA ENEA,MASCULINO
EL BOSQUE,FEMENINO
CENTRO,FEMENINO
CENTRO,MASCULINO
CENTRO,MASCULINO
CENTRO,MASCULINO
CENTRO,MASCULINO
LA RAMBLA,FEMENINO
LA RAMBLA,FEMENINO
CENTRO,MASCULINO
BELLO HORIZONTE,FEMENINO
VILLA ROCIO,MASCULINO
SITIO O VDA LOS FAROLES,MASCULINO
SANTA LIBRADA,MASCULINO
CENTRO,MASCULINO
LA CRUZ,FEMENINO
LA CRUZ,FEMENINO
LA FLORIDA,-
SAN CLEMENTE,FEMENINO
SAN CLEMENTE,FEMENINO
EL CENTRO,FEMENINO
CASASUAN,MASCULINO
PATIO BONITO I E-8,MASCULINO
PATIO BONITO I E-8,MASCULINO
LUNA PARK I SECTOR E-15,FEMENINO
NICOLAS DE FEDERMAN E-13,FEMENINO
SAN CRISTOBAL E-1,MASCULINO
LA GAITANA E-11,MASCULINO
RESTREPO E-15,MASCULINO
VILLA ALSACIA E-8,FEMENINO
CHAPINERO NORTE E-2,FEMENINO
EL PINAR E-11,MASCULINO
URB. SANTANDER E-15,MASCULINO
URB. PALENQUE E-8,FEMENINO
CENTENARIO E-9,MASCULINO
VILLA LUZ E-10,FEMENINO
SANTANDER E-9,MASCULINO
VEINTE DE JULIO E-4,MASCULINO
QUINTA CAMACHO E-2,MASCULINO
CHAPINERO CENTRAL E-2,MASCULINO
CHAPINERO ALTO E-2,FEMENINO
EL SALITRE LUIS MARIA FERNANDEZ E-10,FEMENINO
CHAPINERO ALTO E-2,FEMENINO
QUIROGA IHS ETAPA E-18,MASCULINO
7 DE AGOSTO E-12,MASCULINO
CIUDAD KENNEDY CENTRAL E-8,FEMENINO
VENECIA E-6,FEMENINO
AURES II E-11,MASCULINO
NUEVO MUZO II SECTOR I ETAPA E-6,MASCULINO
SANTANDER,FEMENINO
SAN MARTIN,FEMENINO
ABAJO,FEMENINO
ABAJO,FEMENINO
ABAJO,MASCULINO
EL CAFETAL,MASCULINO
EL CAFETAL,MASCULINO
EL CAFETAL,MASCULINO
LAS MARGARITAS,MASCULINO
MANZANARES,MASCULINO
VILLA NUBIA,FEMENINO
MANSIONES DEL NORTE,FEMENINO
CANDIDO LEGUIZAMO,FEMENINO
LA ORQUIDEA,MASCULINO
VEREDA GUACACALLO,FEMENINO
VEREDA MATEO RICO,MASCULINO
SAN CARLOS,MASCULINO
RODADERO TRADICIONAL,FEMENINO
CENTRO HISTORICO,FEMENINO
MARIA EUGENIA,MASCULINO
OASIS,FEMENINO
BASTIDAS,MASCULINO
LA ESPERANZA IV ETAPA,FEMENINO
EL RETIRO,FEMENINO
7 DE AGOSTO,MASCULINO
VILLA BOLIVAR,MASCULINO
LA COLINA,MASCULINO
URBANIZACION SAN LUIS,FEMENINO
CENTRO,FEMENINO
LA AURORA,MASCULINO
LA CAROLINA,MASCULINO
FIGUEROA,MASCULINO
BARRIO LA CABRERA,MASCULINO
BARRIO LATINO,MASCULINO
BARRIO NUEVO HORIZONTE,FEMENINO
BARRIO CEIBA,MASCULINO
BARRIO SAN LUIS,FEMENINO
EL MODELO,FEMENINO
EL MODELO,FEMENINO
VDA.LA BELLA,MASCULINO
LA BADEA,MASCULINO
CENTRO (A) PEREIRA,MASCULINO
LA ISLA DE CUBA,MASCULINO
CENTRO (A) PEREIRA,MASCULINO
