BARRIO,SEXO
LA MILAGROSA  C-9,FEMENINO
HECTOR ABAD GOMEZ C-5,MASCULINO
CRISTO REY C-15,MASCULINO
BARRIO COLOMBIA C-14,FEMENINO
LA CANDELARIA C-10,FEMENINO
LA CANDELARIA C-10,FEMENINO
LAURELES C-11,MASCULINO
LOS ANGELES C-10,FEMENINO
EL POBLADO C-14,MASCULINO
BOYACA C-5,FEMENINO
LA CANDELARIA C-10,MASCULINO
CARIBE C-5,MASCULINO
ESTACION VILLA C-10,MASCULINO
ESTACION VILLA C-10,FEMENINO
AMANECERES,MASCULINO
CAMPO ALEGRE,MASCULINO
LLANOGRANDE,FEMENINO
RINCON DE SAN ANTONIO,FEMENINO
RIO ABAJO,FEMENINO
CERAMICA,MASCULINO
SAN MIGUEL,MASCULINO
SAN MIGUEL,MASCULINO
CARRIZAL,MASCULINO
VILLAS DE LA CORDIALIDAD,MASCULINO
VILLAS DE LA CORDIALIDAD,MASCULINO
BOSTON,FEMENINO
EL SANTUARIO,FEMENINO
REBOLO,FEMENINO
PASADENA,FEMENINO
BOSTON,FEMENINO
SAN JOSE,MASCULINO
CENTRO,MASCULINO
BARRIO SANTA BARBARA,FEMENINO
CENTRO,MASCULINO
BARRIO LOS AGUSTINOS,FEMENINO
BARRIO CHIPRE,MASCULINO
CIUDADELA HABITACIONAL SIGLO XXI,FEMENINO
LA LIBERTAD,MASCULINO
ALGARROBO,FEMENINO
ALGARROBO,FEMENINO
ALGARROBO,FEMENINO
ALGARROBO,FEMENINO
ALGARROBO,FEMENINO
CENTRO,MASCULINO
LA FRAGUA,FEMENINO
LA FRAGUA,FEMENINO
POSTOBON,FEMENINO
SOLIDARIDAD,MASCULINO
ALAMEDA,FEMENINO
VILLA DOCENTE,-
CHAMPAGNHA,MASCULINO
RETIRO BAJO,MASCULINO
EL CENTRO,MASCULINO
VEREDA BESITO VOLADO,MASCULINO
VIA MONTERIA -PLANETA RICA,FEMENINO
URB. LA COLINA CAMPESTRE I SECTOR E-11,FEMENINO
CHAPINERO NORTE E-2,FEMENINO
CHAPINERO NORTE E-2,FEMENINO
CHAPINERO NORTE E-2,FEMENINO
ALQUERIA LA FRAGUA E-8,FEMENINO
NICOLAS DE FEDERMAN E-13,FEMENINO
GUSTAVO RESTREPO E-18,FEMENINO
VENECIA E-6,FEMENINO
CHICO NORTE II SECTOR E-1,FEMENINO
SAN ANTONIO E-15,FEMENINO
EL RINCON E-11,FEMENINO
LOS CEDRITOS E-1,MASCULINO
VILLA MAYOR E-15,FEMENINO
CENTRO,FEMENINO
31 DE OCTUBRE,MASCULINO
31 DE OCTUBRE,MASCULINO
EL CENTRO,FEMENINO
QUIRINAL,FEMENINO
LAS  MERCEDES,MASCULINO
CENTRO,FEMENINO
VEREDA MATEO RICO,FEMENINO
CENTRO HISTORICO,FEMENINO
CENTRO HISTORICO,MASCULINO
CENTRO,FEMENINO
MONTECARLO,FEMENINO
BRISAS DEL GUATIQUIA,MASCULINO
CENTRO,MASCULINO
LA ESPERANZA,FEMENINO
VILLA MELIDA,MASCULINO
CANAAN,FEMENINO
LA ESMERALDA,FEMENINO
CENTRO,MASCULINO
CENTRO,MASCULINO
PIAMONTE,FEMENINO
CENTRO,MASCULINO
CENTRO,FEMENINO
MONTECARLO,MASCULINO
GAVIOTAS,FEMENINO
CENTRO,MASCULINO
VEREDA APIAY,MASCULINO
20 DE JULIO,MASCULINO
CENTRO,MASCULINO
SAN FELIPE,FEMENINO
CENTRO,FEMENINO
20 DE JULIO,FEMENINO
20 DE JULIO,MASCULINO
CENTRO,MASCULINO
OBRERO,MASCULINO
SANTANDER,MASCULINO
CENTRO,FEMENINO
EMILIO BOTERO,FEMENINO
SAN ANDRES,FEMENINO
CENTRO,FEMENINO
CENTRO,MASCULINO
PANORAMICO I ETAPA,FEMENINO
CENTRO,MASCULINO
BARRIO CALLEJON,MASCULINO
BARRIO BELLAVISTA,MASCULINO
SUBESTACION SAN JUAN DE VILLALOBOS,MASCULINO
EL CENTRO,MASCULINO
NUEVA ARMENIA,FEMENINO
ACACIAS,MASCULINO
BOSQUES DE PINARES,MASCULINO
CENTRO,FEMENINO
BUENOS AIRES,MASCULINO
SAGUANES,MASCULINO
SAN DIEGO,FEMENINO
BAYRON GAVIRIA,FEMENINO
TURIN,FEMENINO
VDA. EL MANZANO,FEMENINO
SANTA TERESITA,FEMENINO
SECTOR PARQUE EL LAGO,FEMENINO
ALFONSO LOPEZ,FEMENINO
B. SAN FRANCISCO,MASCULINO
GALAN GOMEZ,FEMENINO
NARINHO,MASCULINO
NARINHO,MASCULINO
CENTRO,FEMENINO
CLAVERIANO,MASCULINO
RONDON,MASCULINO
ASOBETANIA,MASCULINO
VILLA ANGELICA,MASCULINO
KENEDY,MASCULINO
CENTRO,MASCULINO
JARDIN II ETAPA,FEMENINO
JORDAN MUTIFAMILIARES,MASCULINO
ONZAGA,FEMENINO
LA MANSION,FEMENINO
KENEDY,MASCULINO
MACARENA ALTA,FEMENINO
EL JORDAN,MASCULINO
LOS LAGOS E13,FEMENINO
MORICHAL DE COMFANDI E15,MASCULINO
