BARRIO,MOVILAGRESOR
SAN FERNANDO NUEVO E19,A PIE
EL INGENIO E17,A PIE
UNID. A GALINDO PLAZA TOROS E19,A PIE
UNID. A GALINDO PLAZA TOROS E19,A PIE
LAS DELICIAS E4,A PIE
ALAMEDA E9,A PIE
LILI E17,VEHICULO
EL RETIRO E15,A PIE
CORR. SANJON HONDO,A PIE
RICAUTE,MOTOCICLETA
LIBERTADORES,A PIE
EL PRINCIPE,A PIE
SAN RAFAEL,A PIE
LA MILAGROSA,A PIE
NIQUIA CAMACOL,MOTOCICLETA
ALTOS DE NIQUIA,A PIE
MACHADO,A PIE
JUAN XXIII,A PIE
AUTOPISTA MEDELLIN-BOGOTA,TRANSPORTE PUBLICO
SAN FRANCISCO,A PIE
ANCON,A PIE
PRADO C-10,MOTOCICLETA
LA CANDELARIA C-10,A PIE
CARIBE C-5,A PIE
GIRARDOT C-5,MOTOCICLETA
CASTILLA C-5,A PIE
CONQUISTADORES C-11,A PIE
CARIBE C-5,A PIE
GUAYAQUIL C-10,A PIE
SAN LORENZO  S.A.P.,A PIE
ALFONSO LOPEZ C-5,MOTOCICLETA
VDA. BELLAVISTA S.C.,A PIE
BOSTON C-10,A PIE
EL CHAGUALO C-10,MOTOCICLETA
BOLIVARIANA C-11,A PIE
GIRARDOT C-5,MOTOCICLETA
PRADO C-10,TRANSPORTE PUBLICO
ESTADIO C-11,A PIE
BARRIO CRISTOBAL C-12,MOTOCICLETA
EL PORVENIR,A PIE
EL PORVENIR,A PIE
VIRGEN DEL CARMEN,A PIE
CIUDAD JARDIN,A PIE
LAS MALVINAS,TRANSPORTE PUBLICO
BUENA ESPERANZA,A PIE
LAS PALMAS,A PIE
CENTRO,MOTOCICLETA
NARINHO,MOTOCICLETA
SECTOR LA HOYO,A PIE
BARRIO EL CURUBAL,A PIE
BARRIO EL CURUBAL,A PIE
BARRIO EL CURUBAL,A PIE
BARRIO EL CURUBAL,A PIE
BARRIO EL CURUBAL,A PIE
BARRIO EL CURUBAL,A PIE
BARRIO EL CURUBAL,A PIE
BARRIO EL CURUBAL,A PIE
BARRIO LOS CRISTALES,A PIE
CRISTO REY,A PIE
CRISTO REY,A PIE
BETANIA,A PIE
CIRCACIA,MOTOCICLETA
SAN FRANCISCO,A PIE
BURECHITO,MOTOCICLETA
VILLA LUCIA,MOTOCICLETA
LA FLORESTA,A PIE
INV. NUEVO MILENIO,A PIE
LA UNION,A PIE
LICEO,A PIE
ALFONSO LOPEZ,A PIE
CENTRO,MOTOCICLETA
12 DE OCTUBRE,MOTOCICLETA
CENTRO,A PIE
7 DE AGOSTO,A PIE
DANGON,MOTOCICLETA
COSTA DE ORO,MOTOCICLETA
VOTO NACIONAL E-14,A PIE
SANTA ISABEL E-14,MOTOCICLETA
SANTA ISABEL SUR E-14,MOTOCICLETA
PIO X KENNEDY E-8,TRANSPORTE PUBLICO
CARVAJAL E-8,A PIE
CEDRO SALAZAR E-1,MOTOCICLETA
CARVAJAL E-8,A PIE
CHAPINERO CENTRAL E-2,A PIE
EL RODEO E-4,A PIE
LA CALLEJA E-1,TRANSPORTE PUBLICO
PORTALES DEL NORTE E-11,MOTOCICLETA
CHAPINERO CENTRAL E-2,A PIE
CIUDAD BOGOTA E-19,A PIE
URB. MIRANDELA E-11,A PIE
NUEVO HORIZONTE E-1,TRANSPORTE PUBLICO
SAN VICTORINO E-3,A PIE
BANDERAS E-8,A PIE
BELLA SUIZA E-1,A PIE
CHICO I E-2,A PIE
SAN JOSE SPRING E-11,A PIE
CENTRO ADMINISTRATIVO E-17,A PIE
CHICO NORTE I E-2,A PIE
LAURELES LA ESTACION E-7,TRANSPORTE PUBLICO
VILLA MAYOR E-15,A PIE
LAS NIEVES E-3,A PIE
LOS NARANJOS E-7,BICICLETA
SANTIAGO DE LAS ATALAYAS E-7,A PIE
CHAPINERO CENTRAL E-2,A PIE
CHAPINERO ALTO E-2,A PIE
CASTILLA LA NUEVA E-8,A PIE
QUIROGA IHS ETAPA E-18,A PIE
VILLA HERMOSA E-11,A PIE
SANTA MATILDE I SECTOR E-16,A PIE
BELLA VISTA SUR E-4,A PIE
LUCERO BAJO E-19,A PIE
LOMA FRESCA,MOTOCICLETA
CIUDADELA EL DIVI DIVI,A PIE
JORGE PEREZ,MOTOCICLETA
LOS CAMBULOS,A PIE
EL PROGRESO,MOTOCICLETA
PRIMERO DE MAYO,MOTOCICLETA
PRIMERO DE MAYO,MOTOCICLETA
PRIMERO DE MAYO,MOTOCICLETA
GUALANDAY ETAPA I,A PIE
PORVENIR,BICICLETA
CIUDAD LABOYOS,A PIE
MADELENA,MOTOCICLETA
OLIVO,MOTOCICLETA
OLIVO,MOTOCICLETA
OLIVO,MOTOCICLETA
SAN FRANCISCO,A PIE
TAGANGA,A PIE
SIMON BOLIVAR,A PIE
TORRES DE SAN JUAN,A PIE
JORDAN,TRANSPORTE PUBLICO
EL DARIEN,A PIE
VILLA JULIA,A PIE
CALLE EL SOL,A PIE
SENDOYA,MOTOCICLETA
AVENIDA COLOMBIA NORMANDIA,MOTOCICLETA
CENTRO,A PIE
VILLA FLOR I,MOTOCICLETA
ESTADIO LIBERTAD,MOTOCICLETA
BARRIO SAN LUIS,A PIE
BARIO LA RIVIERA,A PIE
BARRIO ZULIMA,A PIE
BARRIO GUAIMARAL,A PIE
BARRIO SIETE DE AGOSTO,A PIE
BARRIO CUNDINAMARCA,A PIE
BARRIO SAN IGNACIO,A PIE
BARRIO SANTANDER,A PIE
BARRIO SANTANDER,A PIE
LA FLORESTA,A PIE
COOPERATIVO,MOTOCICLETA
LA PRADERA,A PIE
EL PROGRESO,MOTOCICLETA
CORREGIMIENTO SAN CLEMENTE,A PIE
SECTOR PLAZA DE BOLIVAR,A PIE
SAN JOAQUIN,A PIE
CUBA V-8,A PIE
SECTOR PUENTES DE LA 9A CON 12,A PIE
MONSERRATE,A PIE
PARQUE OLAYA HERRERA,A PIE
INTERMEDIO (V/SANTANA),A PIE
AMERICA,A PIE
BARRIO LA PAZ,MOTOCICLETA
PERRY HILL,A PIE
MARIA EUGENIA,A PIE
MIRADORES DEL CACIQUE,A PIE
MIRAFLORES,A PIE
REGADERO NORTE,VEHICULO
LA AURORA,A PIE
LA JUVENTUD,A PIE
LA SALLE,MOTOCICLETA
TERRAZAS,A PIE
LA VICTORIA,A PIE
EL RECREO,A PIE
CARACOLI,A PIE
EL PARAISO,A PIE
VILLA  MADY,A PIE
LA ESPERANZA,A PIE
PABLO VI,MOTOCICLETA
LIBERTADOR,A PIE
ESTACION,A PIE
LAS FERIAS,A PIE
AMBALA,A PIE
JARDIN I ETAPA,A PIE
VRDA. LA MATA,A PIE
EVARISTO GARCIA E4,TRANSPORTE PUBLICO
CUARTO LEGUA - GUADALUPE E19,MOTOCICLETA
SUCRE E9,A PIE
CHIPICHAPE E2,A PIE
VALLE GRANDE E21,A PIE
SIETE DE AGOSTO E7,A PIE
LOS LAGOS E13,MOTOCICLETA
SAN VICENTE E2,MOTOCICLETA
SUCRE E9,A PIE
VERSALLES E2,A PIE
LAUREANO GOMEZ E15,A PIE
LILI E17,A PIE
SAN FERNANDO VIEJO E19,MOTOCICLETA
PRADOS DEL NORTE E2,A PIE
ANTONIO NARINHO E16,BICICLETA
PRADOS DE ORIENTE E11,A PIE
VILLACOLOMBIA E8,A PIE
LA RIVERA I E6,A PIE
LAS DELICIAS E4,A PIE
BELALCAZAR E9,A PIE
VERSALLES E2,TRANSPORTE PUBLICO
URB. TEQUENDAMA E19,MOTOCICLETA
BUENOS AIRES E18,A PIE
SAN PASCUAL E3,A PIE
SAN PEDRO CLAVER E11,A PIE
SANTA MONICA RESIDENCIAL E2,A PIE
SAN ANTONIO,A PIE
VIA LA UNION - VERSALLES,VEHICULO
VIA LA UNION - VERSALLES,VEHICULO
CIUDAD DEL CAMPO,A PIE
LORETO,A PIE
SIMON BOLIVAR,A PIE
CIUDAD NIQUIA,A PIE
LA CABANHA,A PIE
MARIA CANO,A PIE
ALCALA,A PIE
EL PORTAL,A PIE
LA CANCHA,A PIE
PLAYA RICA,A PIE
MORAVIA  C-4,TRANSPORTE PUBLICO
LOS BALSOS 1 C-14,A PIE
LA CANDELARIA C-10,TRANSPORTE PUBLICO
LA CANDELARIA C-10,A PIE
SURAMERICANA C-11,A PIE
SURAMERICANA C-11,A PIE
EL CHAGUALO C-10,A PIE
EL NOGAL. LOS ALMENDROS C-16,MOTOCICLETA
LA CANDELARIA C-10,A PIE
ESTACION VILLA C-10,A PIE
BARRIO CAYCEDO C-9,A PIE
MORAVIA  C-4,A PIE
NARANJAL C-11,A PIE
PRADO C-10,A PIE
LA MOTA C-16,A PIE
EL CHAGUALO C-10,A PIE
BOSTON C-10,A PIE
LA AGUACATALA C-14,A PIE
LA CANDELARIA C-10,A PIE
LAURELES C-11,TRANSPORTE PUBLICO
ROSALES C-16,MOTOCICLETA
EL CARMELO I,A PIE
SIMON BOLIVAR,TRANSPORTE PUBLICO
MEZOLANDIA,A PIE
COSTA HERMOSA,A PIE
BARRIO PRADOS DEL SUR,A PIE
BARRIO CENTRO,A PIE
SUCRE,A PIE
BARRIO CENTRO,A PIE
BARRIO LA NIEVES,A PIE
SAN SEBASTIAN,A PIE
CENTRO,A PIE
EL CENTRO,MOTOCICLETA
PROVIVIENDA,A PIE
PANDIGUANDO,A PIE
PRADOS DEL NORTE,A PIE
LUIS A ROBLES,MOTOCICLETA
CIUDADELA 450 ANHOS,A PIE
MIS ESFUERZOS,A PIE
P-5,A PIE
EL DORADO,A PIE
CIUDAD SALITRE II E-13,A PIE
LA VERACRUZ E-3,A PIE
LA EUROPA E-10,MOTOCICLETA
SUCRE E-2,A PIE
SANTA TERESITA E-13,A PIE
LA ESPANHOLA E-10,A PIE
AURES II E-11,A PIE
BOSQUE POPULAR E-10,A PIE
BOSQUE POPULAR E-10,A PIE
LA MAGDALENA E-13,A PIE
BRASILIA I SECTOR E-8,TRANSPORTE PUBLICO
CIUDAD KENNEDY CENTRAL E-8,A PIE
URB. CARIMAGUA I SECTOR E-8,A PIE
CIUDAD KENNEDY CENTRAL E-8,A PIE
NORMANDIA II SECTOR E-10,A PIE
CIUDAD KENNEDY SUR   E-8,A PIE
VEINTE DE JULIO E-4,TRANSPORTE PUBLICO
PABLO VI E-13,A PIE
ALFONSO LOPEZ E-5,A PIE
EL TROPEZON E-7,BICICLETA
PALOQUEMAO E-14,TRANSPORTE PUBLICO
TEUSAQUILLO E-13,A PIE
TEUSAQUILLO E-13,A PIE
SALAMANCA E-9,A PIE
BARRIOS UNIDOS E-12,MOTOCICLETA
BELLA SUIZA E-1,TRANSPORTE PUBLICO
CARVAJAL E-8,A PIE
PALERMO E-13,TRANSPORTE PUBLICO
EL TROPEZON E-7,A PIE
PATIO BONITO I E-8,MOTOCICLETA
LA COLMENA E-4,A PIE
SAN LUIS 20 DE JULIO E-4,A PIE
VISION DE COLOMBIA E-8,TRANSPORTE PUBLICO
CHAPINERO ALTO E-2,A PIE
BOLIVIA E-10,A PIE
GRAN GRANADA E-10,A PIE
SAN ISIDRO E-4,A PIE
JOSE JOAQUIN VARGAS E-12,MOTOCICLETA
SANTA TERESITA E-13,A PIE
PARQUE NACIONAL E-3,A PIE
RICAURTE E-14,A PIE
BACHUE E-10,A PIE
SAN JOSE SUR E-18,A PIE
URB. MADELENA I Y II SECTOR E-19,A PIE
LA FISCALA E-5,A PIE
CHAPINERO CENTRAL E-2,MOTOCICLETA
PATIO BONITO I E-8,TRANSPORTE PUBLICO
SAN DIEGO E-3,A PIE
PUENTE LARGO E-11,A PIE
MARLY E-2,TRANSPORTE PUBLICO
SANTA FE E-14,A PIE
CHAPINERO CENTRAL E-2,A PIE
QUINTA CAMACHO E-2,A PIE
NUEVA GRANADA II SECTOR E-7,A PIE
GALAN E-16,A PIE
UNICENTRO E-1,A PIE
LA CHUCUA NORTE E-11,MOTOCICLETA
ALHAMBRA SECTOR NORTE E-11,A PIE
POLO CLUB E-12,TRANSPORTE PUBLICO
PIAMONTE E-7,A PIE
LOURDES E-2,A PIE
LOS GIRASOLES,A PIE
MAGDALENA,A PIE
VILLA JARDIN,MOTOCICLETA
SEVILLA,A PIE
CENTRO,MOTOCICLETA
MONSERRATE,MOTOCICLETA
CENTRO,A PIE
TUQUILA,MOTOCICLETA
LA GAITANA,MOTOCICLETA
CALAMO,A PIE
PARAISO,MOTOCICLETA
CENTRO (C-1),MOTOCICLETA
CENTRO (C-1),MOTOCICLETA
URB. ALAMEDA (C-3),A PIE
CISNE,A PIE
VILLA BELLA,MOTOCICLETA
LA INDEPENDENCIA,A PIE
ANTONIO V/CIO,A PIE
JORDAN,A PIE
ESTERO,A PIE
ESTERO,A PIE
MANANTIAL,A PIE
GAVIOTAS,A PIE
SAN CARLOS,A PIE
CENTRO,MOTOCICLETA
BARZAL ALTO,A PIE
LAS MERCEDES,MOTOCICLETA
LORENZO,MOTOCICLETA
FATIMA,MOTOCICLETA
FATIMA,MOTOCICLETA
BARRIO CARORA,A PIE
CANCHAS SITETICAS CAMP NOU,A PIE
VDA. GAITAN,A PIE
SECTOR PARQUE LA LIBERTAD,A PIE
SECTOR PUENTES DE LA 9A CON 12,A PIE
P.INDUSTRIAL A,MOTOCICLETA
MAYORCA,A PIE
EL CENTRO,A PIE
LA UNIVERSIDAD,TRANSPORTE PUBLICO
MEJORAS PUBLICAS,A PIE
TOLEDO PLATA,A PIE
SANTA ANA,A PIE
ESCOFLOR,A PIE
VDA. VERICUTE,A PIE
CANHAVERAL PLAZA,A PIE
ELOY VALENZUELA,A PIE
VDA. EL VOLADOR,MOTOCICLETA
11 DE NOVIEMBRE,MOTOCICLETA
DIVINO  SALVADOR,A PIE
URB. CENTRAL,MOTOCICLETA
LA PAZ,MOTOCICLETA
INTERLAKEN,A PIE
MODELIA,A PIE
RESERVAS DEL JARDIN,A PIE
LA ESPERANZA,A PIE
MOJICA E15,MOTOCICLETA
REPUBLICA ISRAEL E16,MOTOCICLETA
EL PENHON E3,MOTOCICLETA
SILOE E20,A PIE
VILLA DEL SUR E11,MOTOCICLETA
CALIMA E4,A PIE
MOJICA E15,TRANSPORTE PUBLICO
LILI E17,A PIE
LAS DELICIAS E4,MOTOCICLETA
PASO DEL COMERCIO E6,MOTOCICLETA
BUENOS AIRES E18,A PIE
SAN NICOLAS E3,MOTOCICLETA
VILLACOLOMBIA E8,A PIE
VILLACOLOMBIA E8,A PIE
CENTRO,A PIE
VIA JAMUNDI/POTRERITO/RIO CLARO E24,MOTOCICLETA
FATIMA,A PIE
SAN CAYETANO,MOTOCICLETA
CIUDAD DEL CAMPO,A PIE
VERSALLES,A PIE
ALFONSO LOPEZ,A PIE
DOCE DE OCTUBRE,MOTOCICLETA
URIBE E25,A PIE
GAITAN,MOTOCICLETA
CENTRAL,A PIE
SALENTO,A PIE
SANTANDER,A PIE
ZONA CENTRO,A PIE
BOMBONA 1 C-10,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
SURAMERICANA C-11,TRANSPORTE PUBLICO
NUEVA VILLA DE ABURRA C-16,MOTOCICLETA
ROBLEDO C-7,A PIE
EL POBLADO C-14,A PIE
CENTRO ADMINISTRATIVO C-10,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
MANRIQUE 2  C-3,A PIE
JESUS NAZARENO C-10,A PIE
SANTO DOMINGO  2 C-1,A PIE
LA CANDELARIA C-10,A PIE
LAURELES C-11,A PIE
ALEJANDRO ECHAVARRIA  C-9,MOTOCICLETA
LAS PALMAS C-10,A PIE
TRICENTENARIO C-5,TRANSPORTE PUBLICO
LA CANDELARIA C-10,A PIE
SANTO DOMINGO DE GUZMAN,MOTOCICLETA
BARLOVENTO,A PIE
OLAYA,A PIE
EL TABOR,A PIE
ZONA RURAL,A PIE
BARRIO SANTA CECILIA,A PIE
BARRIO CENTRO,A PIE
BARRIO LOS AGUSTINOS,A PIE
LOS ALAMOS,MOTOCICLETA
BARRIO CAMPOHERMOSO,A PIE
FUNDADORES,A PIE
SECTOR UNIVERSIDAD DE MANIZALES,A PIE
LOS ALPES,MOTOCICLETA
LA PRIMAVERA,A PIE
JUAN XXIII,A PIE
LA CABUYA,A PIE
EL TRIUNFO,A PIE
CASIMENA,A PIE
DALEL BARON,MOTOCICLETA
BELLO HORIZONTE,A PIE
BOYACA,MOTOCICLETA
SAN JOAQUIN,A PIE
TOBIAS DAZA,A PIE
SAN JOAQUIN,MOTOCICLETA
SANTA HELENA,A PIE
EL DORADO,MOTOCICLETA
EL CENTRO,MOTOCICLETA
EL COROZITO,A PIE
SAN DIEGO E-3,A PIE
SAN VICTORINO E-14,A PIE
VERAGUAS E-14,TRANSPORTE PUBLICO
TIMIZA CELULA A LOTE RA-2 E-8,A PIE
SIMON BOLIVAR E-12,A PIE
ISLA DEL SOL E-6,A PIE
TORCOROMA E-1,A PIE
VILLA MAYOR E-18,A PIE
QUIROGA IHS ETAPA E-18,MOTOCICLETA
SANTA BARBARA CENTRAL E-1,A PIE
LAS NIEVES E-3,A PIE
VILLA MARIA I E-11,A PIE
PATIO BONITO I E-8,A PIE
FONTIBON CENTRO E-9,TRANSPORTE PUBLICO
LA TOSCANA E-11,BICICLETA
CHICO II E-2,A PIE
LAS COLINAS E-18,A PIE
CASABLANCA I     E-8,MOTOCICLETA
FATIMA,A PIE
CIUDADELA COLSUBSIDIO E-10,TRANSPORTE PUBLICO
EL ESPARTILLAL E-2,TRANSPORTE PUBLICO
MORATO E-11,A PIE
HORIZONTES E-1,TRANSPORTE PUBLICO
LA ESPERANZA E-7,A PIE
PUENTE LARGO E-11,A PIE
CHAPINERO ALTO E-2,A PIE
CENTRO USME E-5,A PIE
CHAPINERO CENTRAL E-2,A PIE
CHAPINERO CENTRAL E-2,A PIE
SAN BERNARDINO E-7,A PIE
LA PRIMAVERA NORTE E-16,A PIE
EL LISTON E-14,A PIE
LIJACA E-1,A PIE
VILLA MAYOR E-15,A PIE
SANTIAGO DE LAS ATALAYAS E-7,A PIE
BOCHICA E-16,A PIE
RESTREPO E-15,A PIE
SAN CRISTOBAL E-4,A PIE
TINTALITO E-8,A PIE
CAMPO MADRID,A PIE
ALCALA  E-11,TRANSPORTE PUBLICO
DIANA TURBAY E-18,A PIE
LAS MARGARITAS E-8,A PIE
"LA SOLEDAD, SAN JOSE NORTE E-10",A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,MOTOCICLETA
SANTA LIBRADA,A PIE
CENTRO,A PIE
CIUDADELA 29 DE JULIO,MOTOCICLETA
VISTA HERMOSA,MOTOCICLETA
CIUDADELA 29 DE JULIO,MOTOCICLETA
BARZAL ALTO,A PIE
MARACOS,A PIE
CANAAN,A PIE
CENTENARIO,A PIE
PANAM,A PIE
PANAM,A PIE
MOCONDINO,MOTOCICLETA
EL PILAR,A PIE
CHAMBU I,MOTOCICLETA
SENDOYA,A PIE
NAVARRETE,MOTOCICLETA
EL EJIDO,MOTOCICLETA
BARRIO TOLEDO PLATA,MOTOCICLETA
BRISAS DEL MIRADOR,A PIE
BARRIO PRADOS DEL ESTE,A PIE
BARRIO QUINTA ORIENTAL,MOTOCICLETA
BARRIO SEVILLA,A PIE
BARRIO CEIBA,A PIE
BRISAS DEL BARRIO MIRADOR,A PIE
URBANIZACION TRAPICHES,MOTOCICLETA
MIRAFLOREZ,A PIE
COROCITO,A PIE
KENNEDY,A PIE
SECTOR PARQUE LA LIBERTAD,A PIE
SECTOR PARQUE LA LIBERTAD,A PIE
SECTOR CENTRO,A PIE
EL TRAPICHE,A PIE
EL PARNASO,A PIE
SAN FRANCISCO,A PIE
LA VICTORIA,MOTOCICLETA
SOTOMAYOR,A PIE
SOTOMAYOR,A PIE
SAN ALONSO,A PIE
SAN ALONSO,MOTOCICLETA
CENTRO,A PIE
SAN FRANCISCO,A PIE
LA INMACULADA,A PIE
LA RONDA I,A PIE
VERSALLES I,A PIE
CIUDADELA NUEVO GIRON,A PIE
PORTAL CAMPESTRE,A PIE
CENTRO,A PIE
LA BASTILLA,MOTOCICLETA
ESTACION,A PIE
JORDAN IX ETAPA,A PIE
TULIO VARON,A PIE
NUEVA TEQUENDAMA E19,MOTOCICLETA
SAN NICOLAS E3,A PIE
EL LIMONAR E17,A PIE
URB. COLSEGUROS E19,MOTOCICLETA
OMAR TORRIJOS E13,MOTOCICLETA
ALFONSO LOPEZ I E7,A PIE
TERRON COLORADO E1,A PIE
TIERRA BLANCA E20,A PIE
SAN PEDRO E3,A PIE
SAN PEDRO CLAVER E11,A PIE
CENTENARIO E2,MOTOCICLETA
PAMPA LINDA E19,A PIE
SEC LOS MANGOS E19,MOTOCICLETA
JORGE ELIECER GAITAN E6,MOTOCICLETA
SANTA ELENA E10,A PIE
LLANO VERDE E15,A PIE
EL JARDIN E11,VEHICULO
EL JARDIN E11,VEHICULO
MARIA AUXILIADORA (23-3),A PIE
BOLIVAR,MOTOCICLETA
SAN VICENTE,A PIE
PORTAL DE JORDAN E24,A PIE
JUAN PABLO SEGUNDO,MOTOCICLETA
SANTA TERESITA,A PIE
VILLA CLAUDIA,A PIE
VIA PALMASECA - ROZO - CERRITO,MOTOCICLETA
VIA CENCAR - AEREOPUERTO,A PIE
EL PALMAR,A PIE
EL PALMAR,A PIE
LAS VEGAS,MOTOCICLETA
ZONA CENTRO,A PIE
SAN CAYETANO,A PIE
LA DALIA,A PIE
LA CANDELARIA C-10,A PIE
CAMPO AMOR C-15,A PIE
CAMPO VALDES 1  C-4,MOTOCICLETA
PATIO BONITO C-14,A PIE
GUAYAQUIL C-10,A PIE
CERRO EL VOLADOR C-7,A PIE
LA CANDELARIA C-10,A PIE
EL RINCON C-16,A PIE
ESTADIO C-11,A PIE
LA CANDELARIA C-10,A PIE
PERPETUO SOCORRO C-10,A PIE
PRADO C-10,A PIE
SEVILLA  C-4,A PIE
EL CHAGUALO C-10,A PIE
SAN ISIDRO,MOTOCICLETA
BRUSELAS,MOTOCICLETA
PARQUE DAVID GUARIN,A PIE
URBANIZACION LA MONTANHA,A PIE
BARRIO EL POLO,BICICLETA
MANZANARES,A PIE
UNIVERSITARIO,BICICLETA
URIBE URIBE,A PIE
BARRIO LA NIEVES,A PIE
BARRIO GALERIAS,A PIE
ALTA SUIZA,MOTOCICLETA
CENTRO,MOTOCICLETA
EL PROGRESO,A PIE
EL PROGRESO,A PIE
PROVIVIENDA,MOTOCICLETA
LOS ALAMOS,A PIE
VARIANTE NORTE,A PIE
VALENCIA,A PIE
CENTRO,MOTOCICLETA
SAN JOSE,A PIE
SAN JOSE,A PIE
CENTRO,A PIE
LOS CORTIJOS,A PIE
CASIMIRO MASTRE,MOTOCICLETA
CASIMIRO MASTRE,MOTOCICLETA
5 DE NOVIEMBRE,MOTOCICLETA
LOS CACIQUES,MOTOCICLETA
LAS FLORES,A PIE
LOS ANGELES,MOTOCICLETA
LOS ANGELES,MOTOCICLETA
PANZENU,MOTOCICLETA
COLON,A PIE
EL POA E-11,TRANSPORTE PUBLICO
LA CALLEJA E-1,A PIE
POLO OCCIDENTAL E-12,A PIE
MARTIRES E-14,MOTOCICLETA
LAGO GAITAN E-2,TRANSPORTE PUBLICO
BOSQUES DE SAN JORGE E-11,A PIE
LAS NIEVES E-3,A PIE
PATIO BONITO I E-8,MOTOCICLETA
URB. CLARET EL CARMEN E-6,A PIE
URB. LA FRAGUITA E-15,MOTOCICLETA
LA CASTELLANA E-12,A PIE
ALMACEN 3 ELEFANTES MODELIA E-9,A PIE
PATIO BONITO I E-8,A PIE
SANTA BARBARA CENTRAL E-1,MOTOCICLETA
TEUSAQUILLO E-13,A PIE
OLARTE E-7,A PIE
BILBAO E-11,A PIE
QUIROGA IHS ETAPA E-18,VEHICULO
BOYACA REAL E-10,MOTOCICLETA
MEDITERRANEO E-1,A PIE
LOS MOLINOS DEL SUR E-18,A PIE
EL POA E-11,A PIE
LAS VILLAS I SECTOR E-11,TRANSPORTE PUBLICO
UNIDAD RESIDENCIAL AYACUCHO E-8,A PIE
EL POA E-11,TRANSPORTE PUBLICO
MARLY E-2,A PIE
SALAZAR GOMEZ E-16,MOTOCICLETA
LA SOLEDAD E-13,A PIE
BELLAVISTA E-8,BICICLETA
SUCRE E-2,A PIE
CENTRO ADMINISTRATIVO E-17,A PIE
CHAPINERO CENTRAL E-2,MOTOCICLETA
NORMANDIA E-10,MOTOCICLETA
SANTA BARBARA E-1,A PIE
CHAPINERO ALTO E-2,A PIE
LUNA PARK I SECTOR E-15,A PIE
GRAN COLOMBIANO E-8,MOTOCICLETA
MODELIA E-9,A PIE
BONANZA E-10,TRANSPORTE PUBLICO
URB. PUENTE ARANDA E-16,TRANSPORTE PUBLICO
SAN VICTORINO E-14,A PIE
NIZA NORTE E-11,A PIE
EL VERGEL CHICO E-9,A PIE
URB. EL BATAN E-11,BICICLETA
URB. CARLOS ALBAN HOLGUIN E-7,MOTOCICLETA
BUENOS AIRES,MOTOCICLETA
LAS VILLAS,A PIE
VEREDA JERUSALEN,A PIE
CENTRO,A PIE
ALTICO,A PIE
PORVENIR,BICICLETA
SOLARTE,MOTOCICLETA
VILLA DEL RIO I     (C-1),A PIE
SACAPITA,A PIE
EL PORVENIR,MOTOCICLETA
URB. EL MILAGROSO,MOTOCICLETA
LOS COCOS,BICICLETA
LA ESPERANZA,A PIE
CENTRO,A PIE
SIMON BOLIVAR,A PIE
LEON XIII,A PIE
CENTRO,A PIE
CGTO. DE OBONUCO,MOTOCICLETA
POTRERILLO,A PIE
AV. ESTUDIANTES,A PIE
AV. SANTANDER,A PIE
NAVARRETE,A PIE
TEJAR,A PIE
BARRIO CENTRO,A PIE
BARRIO CARLOS PIZARRO,TRANSPORTE PUBLICO
BARRIO CENTRO,A PIE
BARRIO BRISAS DEL LLANO,A PIE
GUADUALES DE LA VILLA,A PIE
"QUINDOS I, II Y III",TRANSPORTE PUBLICO
ACACIAS,A PIE
LAS COLINAS,A PIE
SAN MARCOS,A PIE
SECTOR AVENIDA CIRCUNVALAR,A PIE
BUENOS AIRES,MOTOCICLETA
SECTOR PARQUE LA LIBERTAD,A PIE
CABECERA DEL LLANO,A PIE
CENTRO,A PIE
LA PEDREGOSA,MOTOCICLETA
CABECERA DEL LLANO,A PIE
CAFE MADRID,TRANSPORTE PUBLICO
SAN ALONSO,MOTOCICLETA
URB. HEROES,A PIE
TERRAZAS,VEHICULO
LA GLORIA,A PIE
BELLAVISTA P/TA,A PIE
GAITAN,A PIE
LA POLA,A PIE
JORDAN II ETAPA,A PIE
PIJAO,A PIE
SANTA HELENA,A PIE
JORDAN VII ETAPA,A PIE
KENEDY,A PIE
POPULAR,A PIE
GALARZA,A PIE
LOS CAMBULOS,A PIE
INDEPENDENCIA,A PIE
EL LIMONAR E17,MOTOCICLETA
SAN PEDRO E3,A PIE
CIUDAD TALANGA E21,A PIE
MANUELA BELTRAN E14,A PIE
SAN FERNANDO NUEVO E19,A PIE
TORRES DE CONFANDI E5,A PIE
CALYPSO E13,A PIE
CALYPSO E13,A PIE
LAS QUINTAS DE DON SIMON E17,MOTOCICLETA
CHAMPAGNAT E19,MOTOCICLETA
URB. CIUDAD JARDIN E22,A PIE
PRADOS DEL NORTE E2,MOTOCICLETA
ALFONSO B. ARAGON E14,A PIE
LAS ACACIAS E10,A PIE
CENTRO (LETICIA),-
NAVARRA,A PIE
LA CABANHA,A PIE
LAS ACACIAS C-11,A PIE
EL POBLADO C-14,A PIE
NARANJAL C-11,TRANSPORTE PUBLICO
LA PINHUELA  C-4,A PIE
SEVILLA  C-4,TRANSPORTE PUBLICO
PARQUE NORTE C-4,A PIE
PATIO BONITO C-14,A PIE
