BARRIO,MOVILAGRESOR
CALLEJON TIPLE ARRIBA (23-S-4-1),MOTOCICLETA
CANDELARIA (23-1 23-2),MOTOCICLETA
CENTRAL (23-S-2-1),A PIE
JORGE ELIECER GAITAN,A PIE
LA PRADERA I E24,A PIE
ZAMORANO,A PIE
CENTRAL,A PIE
CENTRAL,A PIE
VILLA CLAUDIA,A PIE
VDA. POTRERITO,TRANSPORTE PUBLICO
ZONA CENTRO,MOTOCICLETA
ASOVIVIENDA,MOTOCICLETA
PALMIRA,A PIE
VILLANUEVA,MOTOCICLETA
TERRA NOVA,A PIE
VDA. LA MARIA,A PIE
SAN PIO,MOTOCICLETA
VILLA PAULA,A PIE
CENTRO,A PIE
LA CANDELARIA C-10,A PIE
VILLANUEVA C-10,A PIE
LA CANDELARIA C-10,A PIE
ZONA CENTRO,A PIE
GERONA  C-9,A PIE
LA MILAGROSA  C-9,A PIE
HECTOR ABAD GOMEZ C-5,MOTOCICLETA
CRISTO REY C-15,A PIE
BARRIO COLOMBIA C-14,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
LAURELES C-11,A PIE
LOS ANGELES C-10,A PIE
EL POBLADO C-14,A PIE
BOYACA C-5,MOTOCICLETA
LA CANDELARIA C-10,A PIE
CARIBE C-5,MOTOCICLETA
ESTACION VILLA C-10,A PIE
ESTACION VILLA C-10,A PIE
AMANECERES,A PIE
CAMPO ALEGRE,TRANSPORTE PUBLICO
LLANOGRANDE,A PIE
RINCON DE SAN ANTONIO,A PIE
RIO ABAJO,A PIE
CERAMICA,A PIE
SAN MIGUEL,A PIE
SAN MIGUEL,A PIE
CARRIZAL,A PIE
VILLAS DE LA CORDIALIDAD,TRANSPORTE PUBLICO
VILLAS DE LA CORDIALIDAD,TRANSPORTE PUBLICO
BOSTON,A PIE
EL SANTUARIO,MOTOCICLETA
REBOLO,A PIE
PASADENA,A PIE
BOSTON,VEHICULO
SAN JOSE,A PIE
CENTRO,A PIE
BARRIO SANTA BARBARA,A PIE
CENTRO,A PIE
BARRIO LOS AGUSTINOS,A PIE
BARRIO CHIPRE,A PIE
CIUDADELA HABITACIONAL SIGLO XXI,MOTOCICLETA
LA LIBERTAD,MOTOCICLETA
ALGARROBO,A PIE
ALGARROBO,A PIE
ALGARROBO,A PIE
ALGARROBO,A PIE
ALGARROBO,A PIE
CENTRO,MOTOCICLETA
LA FRAGUA,A PIE
LA FRAGUA,A PIE
POSTOBON,A PIE
SOLIDARIDAD,A PIE
ALAMEDA,A PIE
VILLA DOCENTE,MOTOCICLETA
CHAMPAGNHA,A PIE
RETIRO BAJO,MOTOCICLETA
EL CENTRO,A PIE
VEREDA BESITO VOLADO,A PIE
VIA MONTERIA -PLANETA RICA,A PIE
URB. LA COLINA CAMPESTRE I SECTOR E-11,TRANSPORTE PUBLICO
CHAPINERO NORTE E-2,TRANSPORTE PUBLICO
CHAPINERO NORTE E-2,A PIE
CHAPINERO NORTE E-2,A PIE
ALQUERIA LA FRAGUA E-8,A PIE
NICOLAS DE FEDERMAN E-13,A PIE
GUSTAVO RESTREPO E-18,A PIE
VENECIA E-6,TRANSPORTE PUBLICO
CHICO NORTE II SECTOR E-1,MOTOCICLETA
SAN ANTONIO E-15,A PIE
EL RINCON E-11,MOTOCICLETA
LOS CEDRITOS E-1,TRANSPORTE PUBLICO
VILLA MAYOR E-15,MOTOCICLETA
CENTRO,MOTOCICLETA
31 DE OCTUBRE,MOTOCICLETA
31 DE OCTUBRE,MOTOCICLETA
EL CENTRO,MOTOCICLETA
QUIRINAL,A PIE
LAS  MERCEDES,MOTOCICLETA
CENTRO,MOTOCICLETA
VEREDA MATEO RICO,A PIE
CENTRO HISTORICO,A PIE
CENTRO HISTORICO,A PIE
CENTRO,A PIE
MONTECARLO,MOTOCICLETA
BRISAS DEL GUATIQUIA,A PIE
CENTRO,BICICLETA
LA ESPERANZA,A PIE
VILLA MELIDA,A PIE
CANAAN,A PIE
LA ESMERALDA,A PIE
