BARRIO,ARMA
SEVILLA  C-4,ARMA BLANCA / CORTOPUNZANTE
GUAYABAL C-15,ARMA DE FUEGO
GRANADA C-16,ARMA BLANCA / CORTOPUNZANTE
VILLANUEVA C-10,ARMA DE FUEGO
SANTA CRUZ  C-2,SIN EMPLEO DE ARMAS
ESTACION VILLA C-10,SIN EMPLEO DE ARMAS
CATALUNHA  C-9,SIN EMPLEO DE ARMAS
SEVILLA  C-4,ARMA DE FUEGO
CARIBE C-5,SIN EMPLEO DE ARMAS
EL CHAGUALO C-10,ARMA BLANCA / CORTOPUNZANTE
CARIBE,SIN EMPLEO DE ARMAS
SECTOR GALERIA,CONTUNDENTES
EL CARMEN,ARMA DE FUEGO
BELLA ARENA,CONTUNDENTES
SANTA CRUZ,SIN EMPLEO DE ARMAS
LA ARBOLEDA,ARMA DE FUEGO
LA CRUZ,SIN EMPLEO DE ARMAS
VDA. TENERIA,ARMA BLANCA / CORTOPUNZANTE
BARRIO LOS SAUCES,ARMA DE FUEGO
BARRIO POPULAR,ARMA DE FUEGO
CENTRO,CONTUNDENTES
CRISTO REY,LLAVE MAESTRA
CRISTO REY,LLAVE MAESTRA
LA ESTRELLA,CONTUNDENTES
URAPANES,ARMA BLANCA / CORTOPUNZANTE
LA AMAZONIA,SIN EMPLEO DE ARMAS
JORGE ELIECER GAITAN,ARMA BLANCA / CORTOPUNZANTE
VIA PALESTRO,SIN EMPLEO DE ARMAS
RAIZAL,CONTUNDENTES
ESPERANZA,ARMA BLANCA / CORTOPUNZANTE
LA ESPERANZA,CONTUNDENTES
MAREIGUA,ARMA DE FUEGO
LAS FLORES,ARMA DE FUEGO
LAS FLORES,ARMA DE FUEGO
EL JARDIN,ARMA BLANCA / CORTOPUNZANTE
LA FLORESTA,ARMA BLANCA / CORTOPUNZANTE
VENECIA E-6,SIN EMPLEO DE ARMAS
SUCRE E-2,SIN EMPLEO DE ARMAS
EL POA E-11,SIN EMPLEO DE ARMAS
LA CATEDRAL E-3,CONTUNDENTES
SANTA FE E-14,ARMA BLANCA / CORTOPUNZANTE
SAN ISIDRO E-4,ARMA BLANCA / CORTOPUNZANTE
LA MACARENA E-3,ESCOPOLAMINA
SUBA CENTRO E-11,ARMA BLANCA / CORTOPUNZANTE
CHICO NAVARRA E-1,SIN EMPLEO DE ARMAS
