BARRIO,ARMA
SAN RAFAEL,CONTUNDENTES
PAEZ,CONTUNDENTES
LAS CRISTALINAS,SIN EMPLEO DE ARMAS
JORGE ELIECER GAITAN,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
URB. TAMACA,ARMA BLANCA / CORTOPUNZANTE
LA ROSALIA,CONTUNDENTES
SANTA CATALINA 2000,CONTUNDENTES
CENTRO,SIN EMPLEO DE ARMAS
CENTRO,ARMA DE FUEGO
LIBANO 2000,ARMA DE FUEGO
CERRO LAS TRES CRUCES,ARMA BLANCA / CORTOPUNZANTE
VISTA HERMOSA,ARMA BLANCA / CORTOPUNZANTE
BRISAS DE TAMACA,ARMA BLANCA / CORTOPUNZANTE
RODADERO SUR,SIN EMPLEO DE ARMAS
COREA,ARMA DE FUEGO
JORDAN,CONTUNDENTES
SANTA HELENA I,ARMA BLANCA / CORTOPUNZANTE
MARACOS,ARMA DE FUEGO
VILLA JULIA,ARMA BLANCA / CORTOPUNZANTE
7 DE AGOSTO,CONTUNDENTES
NINHO DE DIOS,SIN EMPLEO DE ARMAS
VENECIA,CONTUNDENTES
SANTA MONICA,ARMA BLANCA / CORTOPUNZANTE
BARRIO OSPINA PEREZ,ARMA BLANCA / CORTOPUNZANTE
BARRIO LATINO,SIN EMPLEO DE ARMAS
BARRIO CUNDINAMARCA,SIN EMPLEO DE ARMAS
BARRIO LA CONCORDIA,SIN EMPLEO DE ARMAS
BARRIO LA CONCORDIA,SIN EMPLEO DE ARMAS
BARRIO ANTONIA SANTOS,SIN EMPLEO DE ARMAS
CORREGIMIENTO LA GABARRA,ARMA BLANCA / CORTOPUNZANTE
VDA. VILLAGLORIA,ARMA DE FUEGO
VDA. VILLAGLORIA,ARMA DE FUEGO
GUAYAQUIL,CONTUNDENTES
SECTOR CLUBCAMPESTRE,ARMA DE FUEGO
SECTOR CLUBCAMPESTRE,ARMA DE FUEGO
VILLA DIANA,SIN EMPLEO DE ARMAS
GUADALUPE,SIN EMPLEO DE ARMAS
VDA. MORELIA,SIN EMPLEO DE ARMAS
CORALES,ARMA BLANCA / CORTOPUNZANTE
SECTOR PUENTES DE LA 9A CON 12,SIN EMPLEO DE ARMAS
BARRIO ALMENDRO,ARMA BLANCA / CORTOPUNZANTE
BARRIO ALMENDRO,ARMA BLANCA / CORTOPUNZANTE
BARRIO ALMENDRO,ARMA BLANCA / CORTOPUNZANTE
EL CENTRO,SIN EMPLEO DE ARMAS
LA CEIBA,ARMA BLANCA / CORTOPUNZANTE
TERMINAL DE TRANSPORTES,CONTUNDENTES
MILAGRO DE DIOS,CONTUNDENTES
GOMEZ NINHO,CONTUNDENTES
RICAURTE,ARMA DE FUEGO
OLIMPICO E10,ARMA DE FUEGO
URB. JARDINES DEL CAMPESTRE,CONTUNDENTES
VDA. HELECHALES,ARMA BLANCA / CORTOPUNZANTE
VDA. VERICUTE,CONTUNDENTES
PUERTO MADERO,ESCOPOLAMINA
PASEO DEL PUENTE,SIN EMPLEO DE ARMAS
VRDA VUELTAS,CONTUNDENTES
VRDA VUELTAS,CONTUNDENTES
VRDA VUELTAS,CONTUNDENTES
SECTOR LA MALTA-CASA BLANCA,ARMA BLANCA / CORTOPUNZANTE
PALMERAS,ARMA DE FUEGO
VILLA LORENA,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
ESTACION,ARMA BLANCA / CORTOPUNZANTE
CALAMBEO,SIN EMPLEO DE ARMAS
ESTACION,ARMA BLANCA / CORTOPUNZANTE
ESTACION,ARMA BLANCA / CORTOPUNZANTE
EL PAIS,SIN EMPLEO DE ARMAS
GALARZA,ARMA BLANCA / CORTOPUNZANTE
EL LIMONAR,SIN EMPLEO DE ARMAS
IBAGUE 2000,SIN EMPLEO DE ARMAS
VILLA DE LAS PALMAS,SIN EMPLEO DE ARMAS
EL GUABAL E10,ARMA DE FUEGO
U.R. EL COLISEO E19,CONTUNDENTES
CIUDADELA DEL RIO E21,ARMA BLANCA / CORTOPUNZANTE
CIUDADELA DEL RIO E21,ARMA BLANCA / CORTOPUNZANTE
ALAMEDA E9,ARMA DE FUEGO
CALIMA E4,ARMA DE FUEGO
LA FLORA E2,ARMA DE FUEGO
EL POBLADO I E13,ARMA BLANCA / CORTOPUNZANTE
LOS ROBLES E13,ARMA BLANCA / CORTOPUNZANTE
SAN JUAN BOSCO E3,ARMA DE FUEGO
BRETANHA E9,SIN EMPLEO DE ARMAS
LAGO CALIMA,ARMA DE FUEGO
LA REVOLUCION,ARMA BLANCA / CORTOPUNZANTE
INDUSTRIAL,ARMA BLANCA / CORTOPUNZANTE
ASOAGRIN FARFAN,SIN EMPLEO DE ARMAS
PUERTO ISAACS E25,ARMA BLANCA / CORTOPUNZANTE
CIUDADELA,SIN EMPLEO DE ARMAS
CIUDADELA,SIN EMPLEO DE ARMAS
CIUDAD NIQUIA,ARMA BLANCA / CORTOPUNZANTE
CENTRAL,CONTUNDENTES
MANCHESTER,ESCOPOLAMINA
ZAMORA,ARMA DE FUEGO
ZAMORA,ARMA DE FUEGO
CHOCHO MAYO,ARMA DE FUEGO
CHOCHO MAYO,ARMA DE FUEGO
JUAN PABLO II  C-9,SIN EMPLEO DE ARMAS
ORIENTE  C-3,CONTUNDENTES
BELEN C-16,CONTUNDENTES
EL POBLADO C-14,ESCOPOLAMINA
BUENOS AIRES  C-9,ARMA BLANCA / CORTOPUNZANTE
LAS PALMAS C-10,ARMA DE FUEGO
VILLANUEVA C-10,ARMA BLANCA / CORTOPUNZANTE
VILLA LILLIAN C-8,ARMA BLANCA / CORTOPUNZANTE
LAURELES C-11,ARMA BLANCA / CORTOPUNZANTE
NUEVA VILLA DE LA IGUANA C-7,ARMA DE FUEGO
LAURELES C-11,ARMA BLANCA / CORTOPUNZANTE
VILLANUEVA C-10,ARMA BLANCA / CORTOPUNZANTE
NARANJAL C-11,ARMA DE FUEGO
ALFONSO LOPEZ,SIN EMPLEO DE ARMAS
PABLO ANTONIO,SIN EMPLEO DE ARMAS
CENTRO,ARMA DE FUEGO
7 DE ABRIL,ARMA BLANCA / CORTOPUNZANTE
VILLA ESTADIO II,SIN EMPLEO DE ARMAS
LA ARBOLEDA,SIN EMPLEO DE ARMAS
SANTA LUCIA,ARMA DE FUEGO
LA ESPERANZA,SIN EMPLEO DE ARMAS
BARRIO VILLA DEL ROSARIO,ARMA BLANCA / CORTOPUNZANTE
BARRIO VILLA DEL ROSARIO,ARMA BLANCA / CORTOPUNZANTE
EL CARMEN,SIN EMPLEO DE ARMAS
NUEVO HORIZONTE,SIN EMPLEO DE ARMAS
CENTRO,CONTUNDENTES
VDA KILOMETRO 41,ARMA BLANCA / CORTOPUNZANTE
BARRIO LA ESTACION,SIN EMPLEO DE ARMAS
AGUABLANCA,SIN EMPLEO DE ARMAS
TOMAS C. DE MOSQUERA,ARMA BLANCA / CORTOPUNZANTE
VDA EL SENDERO VIA AL HUILA,ESCOPOLAMINA
LA VICTORIA,ARMA BLANCA / CORTOPUNZANTE
PANAMA,SIN EMPLEO DE ARMAS
5 DE ENERO,ARMA DE FUEGO
1º DE MAYO,ARMA DE FUEGO
PONTEVEDRA,ARMA DE FUEGO
LA CANDELARIA,SIN EMPLEO DE ARMAS
VILLA CIELO,CONTUNDENTES
CANTACLARO,ARMA DE FUEGO
CANTACLARO,ARMA DE FUEGO
CANTACLARO,ARMA DE FUEGO
MIRAMAR,ARMA DE FUEGO
MIRAMAR,ARMA DE FUEGO
SAN MARTIN DE LOBA E-4,SIN EMPLEO DE ARMAS
URB. ELTEJAR E-16,ARMA BLANCA / CORTOPUNZANTE
VILLA MARIA I E-11,ARMA BLANCA / CORTOPUNZANTE
ALAMOS SUR E-10,ARMA BLANCA / CORTOPUNZANTE
LAS AGUAS E-17,ARMA BLANCA / CORTOPUNZANTE
EL PATIO III SECTOR E-8,SIN EMPLEO DE ARMAS
EL RINCON E-11,CONTUNDENTES
EL NOGAL E-2,SIN EMPLEO DE ARMAS
SAN PEDRO DE TIBABUYES E-11,ARMA BLANCA / CORTOPUNZANTE
SAN NICOLAS URBANIZACION E-11,SIN EMPLEO DE ARMAS
EL LIBERTADOR E-7,SIN EMPLEO DE ARMAS
CARLOS LLERAS RESTREPO E-9,ARMA BLANCA / CORTOPUNZANTE
SANTA BARBARA E-1,SIN EMPLEO DE ARMAS
SANTA ISABEL E-14,SIN EMPLEO DE ARMAS
VILLA DEL PRADO E-11,ARMA BLANCA / CORTOPUNZANTE
ESCOCIA IX SECTOR E-7,ARMA BLANCA / CORTOPUNZANTE
LA GRANJA E-10,ARMA DE FUEGO
LA URIBE E-1,ARMA BLANCA / CORTOPUNZANTE
SAN LUIS E-13,SIN EMPLEO DE ARMAS
TORCA GONGORA E-1,ARMA DE FUEGO
LOS LAURELES E-7,SIN EMPLEO DE ARMAS
LOURDES E-2,ARMA BLANCA / CORTOPUNZANTE
RINCON DE BRITALIA E-11,ARMA BLANCA / CORTOPUNZANTE
URB. CLARET EL CARMEN E-6,ARMA BLANCA / CORTOPUNZANTE
SAN MIGUEL,ARMA BLANCA / CORTOPUNZANTE
ALFONSO LOPEZ,ARMA BLANCA / CORTOPUNZANTE
LA COSECHA,SIN EMPLEO DE ARMAS
LOS NOGALES,SIN EMPLEO DE ARMAS
ARRIBA,SIN EMPLEO DE ARMAS
LA COLINA,SIN EMPLEO DE ARMAS
VILLA NUBIA,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
CENTRO,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ARMA BLANCA / CORTOPUNZANTE
ANTONIO NARANJO,SIN EMPLEO DE ARMAS
GUAJIRA,ARMA DE FUEGO
RODADERO SUR,ARMA DE FUEGO
RODADERO TRADICIONAL,SIN EMPLEO DE ARMAS
SAN PABLO,ARMA DE FUEGO
RODADERO SUR,SIN EMPLEO DE ARMAS
CENTRO,ARMA BLANCA / CORTOPUNZANTE
LA ESPERANZA VII ETAPA,SIN EMPLEO DE ARMAS
EL EMPORIO,ARMA BLANCA / CORTOPUNZANTE
ASBIDES,CONTUNDENTES
CENTRO,SIN EMPLEO DE ARMAS
CANCHALA,ARMA BLANCA / CORTOPUNZANTE
BETANIA,ARMA BLANCA / CORTOPUNZANTE
BARRIO LA CAPELLANA,SIN EMPLEO DE ARMAS
BARRIO CECI,ARMA BLANCA / CORTOPUNZANTE
CAMPESTRE A,SIN EMPLEO DE ARMAS
LA BADEA,ARMA BLANCA / CORTOPUNZANTE
CAMILO TORRES 1,ARMA DE FUEGO
CAMILO TORRES 1,ARMA DE FUEGO
SECTOR PLAZA DE BOLIVAR,SIN EMPLEO DE ARMAS
SAN JOSE SUR,ARMA BLANCA / CORTOPUNZANTE
EL REMANSO,SIN EMPLEO DE ARMAS
CENTENARIO,ARMA BLANCA / CORTOPUNZANTE
SECTOR GALERIA,ESCOPOLAMINA
BARRIO EL CLIFF,ARMA DE FUEGO
CINCUENTENARIO,ARMA BLANCA / CORTOPUNZANTE
LA FLORESTA,SIN EMPLEO DE ARMAS
ANTONIA SANTOS,SIN EMPLEO DE ARMAS
GARCIA ROVIRA,SIN EMPLEO DE ARMAS
ALARCON,ARMA DE FUEGO
LAGOS I,SIN EMPLEO DE ARMAS
VDA. ACAPULCO,ARMA BLANCA / CORTOPUNZANTE
SAN MIGUEL,ARMA BLANCA / CORTOPUNZANTE
EL RECREO,SIN EMPLEO DE ARMAS
EL SALADO,ARMA BLANCA / CORTOPUNZANTE
MACARENA ALTA,ARMA DE FUEGO
HIPODROMO,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ARMA BLANCA / CORTOPUNZANTE
VRDA. GUACAMAYAS,ARMA DE FUEGO
VRDA. GUACAMAYAS,ARMA DE FUEGO
EL REMANSO E21,ARMA DE FUEGO
SAN FERNANDO NUEVO E19,SIN EMPLEO DE ARMAS
LA HACIENDA E17,SIN EMPLEO DE ARMAS
EL SENA E5,SIN EMPLEO DE ARMAS
LOS CAMBULOS E19,SIN EMPLEO DE ARMAS
LOS CAMBULOS E19,SIN EMPLEO DE ARMAS
PRIMERO DE MAYO E17,CONTUNDENTES
SAN JOAQUIN E17,ARMA BLANCA / CORTOPUNZANTE
CALIMA E4,CONTUNDENTES
UNICENTRO CALI E17,ARMA DE FUEGO
PASO DEL COMERCIO E6,ARMA BLANCA / CORTOPUNZANTE
SILOE E20,ARMA DE FUEGO
BRETANHA E9,ARMA DE FUEGO
BRETANHA E9,ARMA DE FUEGO
SIETE DE AGOSTO E7,ARMA BLANCA / CORTOPUNZANTE
NUEVA FLORESTA E12,ESCOPOLAMINA
LLERAS CAMARGO E20,ARMA DE FUEGO
EL TRONCAL E8,SIN EMPLEO DE ARMAS
EL POBLADO II E13,ARMA BLANCA / CORTOPUNZANTE
PORTAL DE LAS PALMAS,SIN EMPLEO DE ARMAS
PORTAL DE LAS PALMAS,SIN EMPLEO DE ARMAS
SAN JOSE OBRERO,SIN EMPLEO DE ARMAS
VDA LA RAQUELITA,ARMA DE FUEGO
CENTRAL,CONTUNDENTES
CRISTO REY,ARMA DE FUEGO
EL PORTAL,ARMA BLANCA / CORTOPUNZANTE
OBRERO,SIN EMPLEO DE ARMAS
VDA. EL PEDREGAL,ARMA DE FUEGO
ALTOS DEL POBLADO C-14,ARMA DE FUEGO
PRADO C-10,SIN EMPLEO DE ARMAS
CARIBE C-5,ARMA BLANCA / CORTOPUNZANTE
EL POBLADO C-14,SIN EMPLEO DE ARMAS
BARRIO COLON C-10,ARMA DE FUEGO
EL VELODROMO C-11,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LA FLORESTA C-12,SIN EMPLEO DE ARMAS
SAN BENITO C-10,ARMA BLANCA / CORTOPUNZANTE
VEINTE DE JULIO C-13,ARMA BLANCA / CORTOPUNZANTE
JESUS NAZARENO C-10,SIN EMPLEO DE ARMAS
VERSALLES 2 C-3,SIN EMPLEO DE ARMAS
CORDOBA C-7,ARMA DE FUEGO
PRADO C-10,SIN EMPLEO DE ARMAS
LAURELES C-11,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
BOSTON C-10,ARMA DE FUEGO
ESTACION VILLA C-10,CONTUNDENTES
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
VIA SANTA ELENA  C-9,ARMA DE FUEGO
LA ALPUJARRA C-10,SIN EMPLEO DE ARMAS
PRADO C-10,ARMA DE FUEGO
EL POBLADO C-14,SIN EMPLEO DE ARMAS
EL POBLADO C-14,ARMA BLANCA / CORTOPUNZANTE
VILLANUEVA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
QUEBRADA ARRIBA,SIN EMPLEO DE ARMAS
SAN ROQUE,ARMA DE FUEGO
SANTO DOMINGO DE GUZMAN,ARMA DE FUEGO
LA CONCEPCION,ARMA DE FUEGO
PRADO,SIN EMPLEO DE ARMAS
EL ROSARIO,ARMA BLANCA / CORTOPUNZANTE
SALAMANCA,ARMA DE FUEGO
3 DE JULIO,ARMA BLANCA / CORTOPUNZANTE
LA PAZ,ARMA BLANCA / CORTOPUNZANTE
VEINTE DE JULIO,ARMA BLANCA / CORTOPUNZANTE
BARRIO VILLAPILAR,ARMA BLANCA / CORTOPUNZANTE
VILLA CARMENZA,SIN EMPLEO DE ARMAS
TERMINAL,SIN EMPLEO DE ARMAS
ATALAYA,PALANCAS
PABLO SEXTO,ARMA BLANCA / CORTOPUNZANTE
LLERAS,ARMA BLANCA / CORTOPUNZANTE
LIMONAR,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
EL PARAISO,ARMA BLANCA / CORTOPUNZANTE
EL PARAISO,ARMA BLANCA / CORTOPUNZANTE
FRAY JUAQUIN DE ORIJUELA,ARMA DE FUEGO
INSPECAM,ARMA DE FUEGO
SANTA TERESA,ARMA DE FUEGO
MOLINOS DEL SUR E-18,SIN EMPLEO DE ARMAS
MOLINOS DEL SUR E-18,SIN EMPLEO DE ARMAS
URB. MADELENA I Y II SECTOR E-19,ARMA BLANCA / CORTOPUNZANTE
COMPOSTELA I E-5,SIN EMPLEO DE ARMAS
SAN ANTONIO E-15,ARMA BLANCA / CORTOPUNZANTE
ANTONIA SANTOS E-7,ARMA BLANCA / CORTOPUNZANTE
LA CANHIZA SECTOR I E-11,CONTUNDENTES
QUINTA MUTIS E-12,SIN EMPLEO DE ARMAS
PANAMERICANO E-14,SIN EMPLEO DE ARMAS
TUNA ALTA E-11,ARMA BLANCA / CORTOPUNZANTE
CHICO I E-2,SIN EMPLEO DE ARMAS
JAKELIN E-8,ARMA BLANCA / CORTOPUNZANTE
ALCALA  E-11,SIN EMPLEO DE ARMAS
CHAPINERO CENTRAL E-2,SIN EMPLEO DE ARMAS
URB. EL VIRREY E-5,SIN EMPLEO DE ARMAS
VISTA HERMOSA SECTOR EL CAPRI E-19,ARMA DE FUEGO
EL TINTAL E-8,ARMA BLANCA / CORTOPUNZANTE
PRADO VERANIEGO E-11,SIN EMPLEO DE ARMAS
EL ARRAYAN E-19,SIN EMPLEO DE ARMAS
VEINTE DE JULIO E-4,SIN EMPLEO DE ARMAS
BARRANCAS E-1,ARMA BLANCA / CORTOPUNZANTE
BELEN E-17,ARMA BLANCA / CORTOPUNZANTE
SALITRE PLAZA E-9,ARMA DE FUEGO
URB. NUEVA AUTOPISTA E-1,ARMA BLANCA / CORTOPUNZANTE
CHAPINERO ALTO E-2,SIN EMPLEO DE ARMAS
CIUDAD SALITRE II E-13,SIN EMPLEO DE ARMAS
METROPOLIS E-12,ARMA BLANCA / CORTOPUNZANTE
LA URIBE E-1,SIN EMPLEO DE ARMAS
MOLINOS DEL SUR E-18,SIN EMPLEO DE ARMAS
TEQUENDAMA   E-8,ARMA DE FUEGO
BRAVO PAEZ E-18,ARMA BLANCA / CORTOPUNZANTE
LA CONCORDIA E-17,ARMA BLANCA / CORTOPUNZANTE
LA CONCORDIA E-17,ARMA BLANCA / CORTOPUNZANTE
LAS DOS AVENIDAS E-8,SIN EMPLEO DE ARMAS
SAN ANTONIO DE ESCOCIA E-7,SIN EMPLEO DE ARMAS
BRASILIA I SECTOR E-8,SIN EMPLEO DE ARMAS
CENTRO,ARMA DE FUEGO
SANTA ISABEL,ARMA BLANCA / CORTOPUNZANTE
ALAMOS NORTE,ARMA BLANCA / CORTOPUNZANTE
JUAN XXIII,ARMA BLANCA / CORTOPUNZANTE
BARZAL BAJO,ARMA BLANCA / CORTOPUNZANTE
MACUNAIMA,ARMA BLANCA / CORTOPUNZANTE
SESQUICENTENARIO,SIN EMPLEO DE ARMAS
PORFIA,CONTUNDENTES
PARAISO,CONTUNDENTES
VILLA BOLIVAR,ARMA BLANCA / CORTOPUNZANTE
BARZAL ALTO,CONTUNDENTES
JORDAN,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
OBRERO,CONTUNDENTES
CGTO SANTANDER,SIN EMPLEO DE ARMAS
SAN IGNACIO,ARMA BLANCA / CORTOPUNZANTE
EL PILAR,SIN EMPLEO DE ARMAS
VILLAFLOR II,ARMA DE FUEGO
LAS LUNAS,ARMA BLANCA / CORTOPUNZANTE
IDEMA,ARMA BLANCA / CORTOPUNZANTE
LA ESTRELLA,SIN EMPLEO DE ARMAS
TEQUENDAMA,CONTUNDENTES
SANTA BARBARA,ARMA BLANCA / CORTOPUNZANTE
EL PILAR,ARMA BLANCA / CORTOPUNZANTE
20 DE JULIO,CONTUNDENTES
BARRIO LA HERMITA,SIN EMPLEO DE ARMAS
BARRIO CAOBOS,SIN EMPLEO DE ARMAS
BARRIO PUEBLO NUEVO,ARMA DE FUEGO
BARRIO PRADOS I,CONTUNDENTES
BARRIO CECI,SIN EMPLEO DE ARMAS
BARRIO LATINO,SIN EMPLEO DE ARMAS
BARRIO OSPINA PEREZ,SIN EMPLEO DE ARMAS
SECTOR CARCEL PENHAS BLANCAS,ARMA BLANCA / CORTOPUNZANTE
LOS CRISTALES,ARMA BLANCA / CORTOPUNZANTE
CACIQUE,ARMA BLANCA / CORTOPUNZANTE
VDA. BOQUERON,SIN EMPLEO DE ARMAS
SANTA ISABEL 1,SIN EMPLEO DE ARMAS
SAN JORGE,ARMA BLANCA / CORTOPUNZANTE
LA ESPERANZA,ARMA DE FUEGO
SAN CRISTOBAL,SIN EMPLEO DE ARMAS
PORTON DEL TEJAR,SIN EMPLEO DE ARMAS
EL ROSAL,ARMA BLANCA / CORTOPUNZANTE
GIRARDOT,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ARMA BLANCA / CORTOPUNZANTE
BUCARICA,ARMA BLANCA / CORTOPUNZANTE
VILLABEL,ARMA BLANCA / CORTOPUNZANTE
EL BOSQUE,ARMA BLANCA / CORTOPUNZANTE
INV. BRISAS DE RIO FRIO,SIN EMPLEO DE ARMAS
VDA. SAN FRANCISCO,ARMA BLANCA / CORTOPUNZANTE
SAN CARLOS,ARMA BLANCA / CORTOPUNZANTE
MACARENA,SIN EMPLEO DE ARMAS
EL POBLADO,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
LOS MARTIRES,SIN EMPLEO DE ARMAS
JARDIN I ETAPA,SIN EMPLEO DE ARMAS
EL BUNDE,SIN EMPLEO DE ARMAS
CONFATOLIMA,SIN EMPLEO DE ARMAS
GALAN,ARMA DE FUEGO
LOS MANDARINOS,ARMA DE FUEGO
RICAURTE PARTE ALTA,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
EL JORGE,ARMA BLANCA / CORTOPUNZANTE
CALDAS,ARMA DE FUEGO
INDEPENDENCIA,CONTUNDENTES
INVASION LA CARMELITA,SIN EMPLEO DE ARMAS
LA FORTALEZA E11,ARMA DE FUEGO
URB. CIUDAD JARDIN E22,SIN EMPLEO DE ARMAS
MELENDEZ E18,SIN EMPLEO DE ARMAS
LA HACIENDA E17,ARMA BLANCA / CORTOPUNZANTE
OLIMPICO E10,ARMA BLANCA / CORTOPUNZANTE
SECTOR ALTO LOS CHORROS E18,ARMA DE FUEGO
SANTA ELENA E10,ARMA BLANCA / CORTOPUNZANTE
MANUELA BELTRAN E14,ARMA BLANCA / CORTOPUNZANTE
LA MERCED E3,SIN EMPLEO DE ARMAS
JORGE ELIECER GAITAN E6,SIN EMPLEO DE ARMAS
CHAPINERO E8,SIN EMPLEO DE ARMAS
EL JARDIN E11,CONTUNDENTES
ALFONSO B. ARAGON E14,ARMA BLANCA / CORTOPUNZANTE
CANHAVERALES - LOS SAMANES E17,ARMA DE FUEGO
ALFONSO LOPEZ III E7,ARMA DE FUEGO
ALFONSO LOPEZ I E7,ARMA BLANCA / CORTOPUNZANTE
SIETE DE AGOSTO E7,ARMA BLANCA / CORTOPUNZANTE
LA COSECHA,ARMA DE FUEGO
JUAN PABLO SEGUNDO,ARMA DE FUEGO
LA CABANHA,ARMA BLANCA / CORTOPUNZANTE
LA MADERA,CONTUNDENTES
EL CARMELO,ARMA DE FUEGO
PRIMAVERA,ARMA BLANCA / CORTOPUNZANTE
LAS VEGAS,ARMA BLANCA / CORTOPUNZANTE
LOS NARANJOS,ARMA DE FUEGO
PLAYA RICA,ARMA BLANCA / CORTOPUNZANTE
SAN AGUSTIN,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
EL POBLADO C-14,ARMA BLANCA / CORTOPUNZANTE
VERSALLES 1 C-3,ARMA DE FUEGO
LA MILAGROSA  C-9,ARMA BLANCA / CORTOPUNZANTE
FLORIDA NUEVA C-11,ARMA DE FUEGO
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
CARIBE C-5,ARMA DE FUEGO
PERPETUO SOCORRO C-10,CONTUNDENTES
BOSTON C-10,ARMA BLANCA / CORTOPUNZANTE
FLORENCIA C-5,ARMA BLANCA / CORTOPUNZANTE
ASTORGA C-14,SIN EMPLEO DE ARMAS
VILLANUEVA C-10,ARMA BLANCA / CORTOPUNZANTE
PEDREGAL C-6,SIN EMPLEO DE ARMAS
JARDIN BOTANICO  C-4,ARMA DE FUEGO
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
SAN LUIS,ARMA BLANCA / CORTOPUNZANTE
SAN ROQUE,ARMA BLANCA / CORTOPUNZANTE
COLOMBIA,ARMA DE FUEGO
COSTA HERMOSA,SIN EMPLEO DE ARMAS
BAZURTO,ARMA BLANCA / CORTOPUNZANTE
BARRIO RICAUTE,ARMA BLANCA / CORTOPUNZANTE
LAS AMERICAS,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
SECTOR CAMPAMENTO,ARMA BLANCA / CORTOPUNZANTE
VIA MORELIA,SIN EMPLEO DE ARMAS
GAVAN,SIN EMPLEO DE ARMAS
LOS OCOBOS,SIN EMPLEO DE ARMAS
LLANO LINDO,SIN EMPLEO DE ARMAS
LAS AMERICAS,SIN EMPLEO DE ARMAS
RETIRO BAJO,ARMA BLANCA / CORTOPUNZANTE
CAMPAMENTO,ARMA BLANCA / CORTOPUNZANTE
PORVENIR III,SIN EMPLEO DE ARMAS
CUBA,SIN EMPLEO DE ARMAS
URB.LUIS CARLOS GALAN,ARMA DE FUEGO
1º DE MAYO,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ARMA BLANCA / CORTOPUNZANTE
DANGON,ARMA DE FUEGO
NINHO JESUS,CONTUNDENTES
BOITA E-8,ARMA BLANCA / CORTOPUNZANTE
SAN CRISTOBAL NORTE E-1,ARMA BLANCA / CORTOPUNZANTE
TECHO  E-8,ARMA DE FUEGO
TEUSAQUILLO E-13,SIN EMPLEO DE ARMAS
URB. MAZUREN I SECTOR E-11,ARMA BLANCA / CORTOPUNZANTE
FLORALIA E-8,ARMA DE FUEGO
OLARTE E-7,ARMA BLANCA / CORTOPUNZANTE
SANTA INES E-3,SIN EMPLEO DE ARMAS
VILLA NELLY E-8,SIN EMPLEO DE ARMAS
TOBERIN ORIENTAL E-1,ARMA DE FUEGO
SAN JOSE E-9,SIN EMPLEO DE ARMAS
PRADO VERANIEGO E-11,ARMA BLANCA / CORTOPUNZANTE
SAN PABLO E-7,SIN EMPLEO DE ARMAS
PATIO BONITO I E-8,ARMA DE FUEGO
CHICO I E-2,CONTUNDENTES
OLAYA E-18,ARMA BLANCA / CORTOPUNZANTE
7 DE AGOSTO E-12,ARMA BLANCA / CORTOPUNZANTE
AURES II E-11,CONTUNDENTES
URB. MADELENA I Y II SECTOR E-19,ARMA BLANCA / CORTOPUNZANTE
URB. PALENQUE E-8,ARMA BLANCA / CORTOPUNZANTE
LOS CEDRITOS E-1,ARMA BLANCA / CORTOPUNZANTE
ARBORIZADORA ALTA E-19,ARMA BLANCA / CORTOPUNZANTE
GUSTAVO RESTREPO E-18,ARMA BLANCA / CORTOPUNZANTE
VILLA MAGDALA E-1,ARMA DE FUEGO
URB. MONTES I SECTOR E-16,SIN EMPLEO DE ARMAS
LA GLORIA E-4,ARMA BLANCA / CORTOPUNZANTE
NUEVO MUZU I SECTOR E-6,ARMA BLANCA / CORTOPUNZANTE
MODELIA E-9,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
COLINA LINDA E-11,SIN EMPLEO DE ARMAS
RESTREPO E-15,ARMA BLANCA / CORTOPUNZANTE
CASTILLA LA NUEVA E-8,ARMA DE FUEGO
TIMIZA CELULA A LOTE RA-2 E-8,ARMA BLANCA / CORTOPUNZANTE
