SECTOR PLAZA DE BOLIVAR,COLOMBIA
SECTOR AVENIDA DEL RIO,COLOMBIA
LAS GARZAS,COLOMBIA
LA ESPERANZA,COLOMBIA
GARCIA ROVIRA,COLOMBIA
CABECERA DEL LLANO,COLOMBIA
REGADERO NORTE,COLOMBIA
TRANSICION V,COLOMBIA
DIAMANTE II,COLOMBIA
VILLA ROSA,COLOMBIA
PIO XII,COLOMBIA
EL BOSQUE,COLOMBIA
PANORAMA,COLOMBIA
VIA PIEDRAS,COLOMBIA
CENTRO,COLOMBIA
VRDA. DINDALITO,COLOMBIA
EL GRAN LIMONAR E17,COLOMBIA
NORMANDIA E2,COLOMBIA
ALFONSO B. ARAGON E14,COLOMBIA
MARIANO RAMOS E16,COLOMBIA
EL RETIRO E15,COLOMBIA
SANTA ROSA E3,COLOMBIA
SANTA TERESITA E2,COLOMBIA
SAN PEDRO E3,OCEANIA
VALLADO E15,COLOMBIA
SIETE DE AGOSTO E7,COLOMBIA
JORGE ISAACS E4,COLOMBIA
JORGE ISAACS E4,COLOMBIA
SILOE E20,COLOMBIA
MARROQUIN I E14,COLOMBIA
CALLEJON TIPLE ARRIBA (23-S-4-1),COLOMBIA
CANDELARIA (23-1 23-2),COLOMBIA
CENTRAL (23-S-2-1),COLOMBIA
JORGE ELIECER GAITAN,COLOMBIA
LA PRADERA I E24,COLOMBIA
ZAMORANO,COLOMBIA
CENTRAL,COLOMBIA
CENTRAL,COLOMBIA
VILLA CLAUDIA,COLOMBIA
VDA. POTRERITO,COLOMBIA
ZONA CENTRO,COLOMBIA
ASOVIVIENDA,COLOMBIA
PALMIRA,COLOMBIA
VILLANUEVA,COLOMBIA
TERRA NOVA,COLOMBIA
VDA. LA MARIA,COLOMBIA
SAN PIO,COLOMBIA
VILLA PAULA,COLOMBIA
CENTRO,COLOMBIA
LA CANDELARIA C-10,COLOMBIA
VILLANUEVA C-10,COLOMBIA
LA CANDELARIA C-10,COLOMBIA
ZONA CENTRO,COLOMBIA
GERONA  C-9,COLOMBIA
LA MILAGROSA  C-9,COLOMBIA
HECTOR ABAD GOMEZ C-5,COLOMBIA
CRISTO REY C-15,COLOMBIA
BARRIO COLOMBIA C-14,COLOMBIA
LA CANDELARIA C-10,COLOMBIA
LA CANDELARIA C-10,COLOMBIA
LAURELES C-11,COLOMBIA
LOS ANGELES C-10,COLOMBIA
EL POBLADO C-14,EUROPA
BOYACA C-5,COLOMBIA
LA CANDELARIA C-10,COLOMBIA
CARIBE C-5,COLOMBIA
ESTACION VILLA C-10,COLOMBIA
ESTACION VILLA C-10,COLOMBIA
AMANECERES,COLOMBIA
CAMPO ALEGRE,COLOMBIA
LLANOGRANDE,COLOMBIA
RINCON DE SAN ANTONIO,COLOMBIA
RIO ABAJO,COLOMBIA
CERAMICA,COLOMBIA
SAN MIGUEL,COLOMBIA
SAN MIGUEL,COLOMBIA
CARRIZAL,COLOMBIA
VILLAS DE LA CORDIALIDAD,COLOMBIA
VILLAS DE LA CORDIALIDAD,COLOMBIA
BOSTON,COLOMBIA
EL SANTUARIO,COLOMBIA
REBOLO,COLOMBIA
PASADENA,COLOMBIA
BOSTON,COLOMBIA
SAN JOSE,COLOMBIA
CENTRO,COLOMBIA
BARRIO SANTA BARBARA,COLOMBIA
CENTRO,COLOMBIA
BARRIO LOS AGUSTINOS,COLOMBIA
BARRIO CHIPRE,COLOMBIA
CIUDADELA HABITACIONAL SIGLO XXI,COLOMBIA
LA LIBERTAD,COLOMBIA
ALGARROBO,COLOMBIA
ALGARROBO,COLOMBIA
ALGARROBO,COLOMBIA
ALGARROBO,COLOMBIA
ALGARROBO,COLOMBIA
CENTRO,COLOMBIA
LA FRAGUA,COLOMBIA
LA FRAGUA,COLOMBIA
POSTOBON,COLOMBIA
SOLIDARIDAD,COLOMBIA
ALAMEDA,COLOMBIA
VILLA DOCENTE,-
CHAMPAGNHA,EUROPA
RETIRO BAJO,COLOMBIA
EL CENTRO,COLOMBIA
VEREDA BESITO VOLADO,COLOMBIA
VIA MONTERIA -PLANETA RICA,COLOMBIA
URB. LA COLINA CAMPESTRE I SECTOR E-11,COLOMBIA
CHAPINERO NORTE E-2,EUROPA
CHAPINERO NORTE E-2,COLOMBIA
CHAPINERO NORTE E-2,COLOMBIA
ALQUERIA LA FRAGUA E-8,COLOMBIA
NICOLAS DE FEDERMAN E-13,COLOMBIA
GUSTAVO RESTREPO E-18,COLOMBIA
VENECIA E-6,COLOMBIA
CHICO NORTE II SECTOR E-1,COLOMBIA
SAN ANTONIO E-15,COLOMBIA
EL RINCON E-11,COLOMBIA
LOS CEDRITOS E-1,COLOMBIA
VILLA MAYOR E-15,COLOMBIA
CENTRO,COLOMBIA
31 DE OCTUBRE,COLOMBIA
31 DE OCTUBRE,COLOMBIA
EL CENTRO,COLOMBIA
QUIRINAL,COLOMBIA
LAS  MERCEDES,COLOMBIA
CENTRO,COLOMBIA
VEREDA MATEO RICO,COLOMBIA
CENTRO HISTORICO,COLOMBIA
CENTRO HISTORICO,COLOMBIA
CENTRO,COLOMBIA
MONTECARLO,COLOMBIA
BRISAS DEL GUATIQUIA,COLOMBIA
CENTRO,COLOMBIA
LA ESPERANZA,COLOMBIA
VILLA MELIDA,COLOMBIA
CANAAN,COLOMBIA
LA ESMERALDA,COLOMBIA
CENTRO,COLOMBIA
CENTRO,COLOMBIA
PIAMONTE,COLOMBIA
CENTRO,COLOMBIA
CENTRO,COLOMBIA
MONTECARLO,COLOMBIA
GAVIOTAS,COLOMBIA
CENTRO,COLOMBIA
