BARRIO,EDAD
SILOE E20,ADULTOMAYOR
MARROQUIN I E14,ADULTO
CALLEJON TIPLE ARRIBA (23-S-4-1),ADULTO
CANDELARIA (23-1 23-2),ADULTO
CENTRAL (23-S-2-1),ADULTO
JORGE ELIECER GAITAN,ADULTOJOVEN
LA PRADERA I E24,ADULTOMAYOR
ZAMORANO,ADULTOJOVEN
CENTRAL,ADULTOMAYOR
CENTRAL,ADULTO
VILLA CLAUDIA,ADULTOMAYOR
VDA. POTRERITO,ADULTO
ZONA CENTRO,ADULTOMAYOR
ASOVIVIENDA,ADULTO
PALMIRA,ADULTOJOVEN
VILLANUEVA,ADULTO
TERRA NOVA,ANCIANO
VDA. LA MARIA,ADULTOMAYOR
SAN PIO,ADULTOJOVEN
VILLA PAULA,ADULTO
CENTRO,ADULTOJOVEN
LA CANDELARIA C-10,ADULTO
VILLANUEVA C-10,ADULTOJOVEN
LA CANDELARIA C-10,ADULTO
ZONA CENTRO,ANCIANO
GERONA  C-9,ADULTOMAYOR
LA MILAGROSA  C-9,ANCIANO
HECTOR ABAD GOMEZ C-5,ADULTOJOVEN
CRISTO REY C-15,ADULTOJOVEN
BARRIO COLOMBIA C-14,ADULTO
LA CANDELARIA C-10,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOJOVEN
LAURELES C-11,ADULTOJOVEN
LOS ANGELES C-10,ADULTOMAYOR
EL POBLADO C-14,ADULTOJOVEN
BOYACA C-5,ADULTO
LA CANDELARIA C-10,ADULTO
CARIBE C-5,ADULTO
ESTACION VILLA C-10,ADULTOMAYOR
ESTACION VILLA C-10,ADULTO
AMANECERES,ADULTO
CAMPO ALEGRE,ANCIANO
LLANOGRANDE,ADULTOMAYOR
RINCON DE SAN ANTONIO,ADULTOMAYOR
RIO ABAJO,ADULTO
CERAMICA,ADULTO
SAN MIGUEL,ADULTOMAYOR
SAN MIGUEL,ADULTOMAYOR
CARRIZAL,ADULTOMAYOR
VILLAS DE LA CORDIALIDAD,ADULTOJOVEN
VILLAS DE LA CORDIALIDAD,ADULTOJOVEN
BOSTON,ADULTOJOVEN
EL SANTUARIO,ADULTOJOVEN
REBOLO,ADULTO
PASADENA,ADULTOJOVEN
BOSTON,ADULTO
SAN JOSE,ADULTOJOVEN
CENTRO,ADULTOJOVEN
BARRIO SANTA BARBARA,ADULTOJOVEN
CENTRO,ADULTO
BARRIO LOS AGUSTINOS,ADULTOMAYOR
BARRIO CHIPRE,ADULTO
CIUDADELA HABITACIONAL SIGLO XXI,ADULTOJOVEN
LA LIBERTAD,ADULTOJOVEN
ALGARROBO,ADULTO
ALGARROBO,ADULTO
ALGARROBO,ADULTO
ALGARROBO,ADULTO
