BARRIO,EDAD
LOS CEDRITOS E-1,ADULTOMAYOR
EL PINAR E-11,ADULTO
NUEVA ESCOCIA E-11,ANCIANO
EL MUELLE  E-10,OTRA
SANTA ROSA E-11,ADULTO
SOLEDAD NORTE E-10,ADULTO
LAS AGUAS E-17,ADULTOJOVEN
SOCIEGO E-4,ADULTOJOVEN
SOCIEGO E-4,ADULTOJOVEN
SAN JOAQUIN DEL VATICANO E-19,ADULTOJOVEN
GRAN COLOMBIANO E-8,ADOLESCENTE
VISTA HERMOSA E-19,ADULTO
LAGOS DE SUBA E-11,ADULTO
EL PALMAR E-10,ADULTOJOVEN
FRANCISCO JOSE DE CALDASS   E-8,ADULTOJOVEN
SUBA CENTRO E-11,ADULTOJOVEN
URB. LA ALQUERIA E-16,ADULTOJOVEN
SANTA MATILDE I SECTOR E-16,ADULTOJOVEN
EL ACUEDUCTO,ADULTOJOVEN
LAS TUNAS,OTRA
URB. PORTAL DE COMFAMILIAR,OTRA
EDUARDO SANTOS,ADULTOJOVEN
LA GAITANA,ADULTO
MANZANARES,ADULTO
SUCRE,ADULTOJOVEN
TRINIDAD,ADULTO
GAIRA CENTRO,ADULTOJOVEN
CANTILITO 1-2-3,ADULTO
CENTRO,ADULTOJOVEN
SANTA CRUZ,ADULTO
CALABAZO,ADULTOJOVEN
CENTRO,ADULTO
VEREDA TRES ESTRELLAS,ADULTOMAYOR
SAN FRANCISCO,ADULTOMAYOR
CENTRO,ADULTOJOVEN
CENTRO,ANCIANO
CENTAURO,ADULTOJOVEN
CENTAURO,ADULTOJOVEN
CAUDAL ORIENTAL,ADULTOJOVEN
SANTA INES,ADULTOJOVEN
SANTA MONICA,ADULTOMAYOR
CGTO CABRERA,ANCIANO
VARIANTE SECTOR EL TUNEL,ADULTOJOVEN
MORASURCO,ADOLESCENTE
AIRE LIBRE,ADULTOJOVEN
GUALCALOMA,ADULTOJOVEN
CENTRO,ADULTO
BARRIO LLERAS RESTREPO,ADULTOJOVEN
BARRIO QUINTA BOSCH,ADULTOJOVEN
BARRIO LAS AMERICAS,ADOLESCENTE
"LA ADIELA I,II,III,IV",ADULTOMAYOR
CENTRO,ADULTOJOVEN
LOS ABORIGENES,ADULTOJOVEN
CAMPESTRE A,ADULTO
TURIN,ADULTOJOVEN
VDA. TRES PUERTAS,ADULTO
LOS ALMENDROS,ADULTOJOVEN
MEJIA ROBLEDO,ADULTOJOVEN
CENTRO (A) PEREIRA,ADULTOJOVEN
SAN VICENTE,ADULTOJOVEN
LA ISLA (V/SANTANA),ADULTOMAYOR
SAN ANTONIO I,ADULTOMAYOR
SAMARIA I,ADULTOJOVEN
BARRIO ATLANTICO,ADULTO
SECTOR CENTRO,ADULTOJOVEN
NUEVO SOTOMAYOR,ADULTOJOVEN
PAN DE AZUCAR,ADULTOJOVEN
VDA. RUITOQUE ALTO,ADULTOJOVEN
VILLA LUZ,ADULTOJOVEN
PUERTO MADERO,ADULTO
CENTRO P/TA,ADULTOJOVEN
CENTRO P/TA,ADULTOJOVEN
VILLA CINDY,ADULTO
LOS MANDARINOS,ADULTO
MAGISTERIO,ADULTO
JORDAN III ETAPA,ADULTOJOVEN
LOS PARRALES,ADULTOMAYOR
SAN VICENTE E2,ADULTOMAYOR
SAN VICENTE E2,ADULTOJOVEN
JORGE ELIECER GAITAN E6,ADULTO
JUNIN E9,ADULTOJOVEN
SAN JOAQUIN E17,ADULTOMAYOR
MENGA E2,ADULTOJOVEN
MIRAFLORES E19,ADULTO
CHAMPAGNAT E19,ADULTOMAYOR
SAN FERNANDO NUEVO E19,ADULTOJOVEN
URB. MILITAR E19,ADULTO
CANEY E17,ADULTOJOVEN
SIETE DE AGOSTO E7,ADULTO
ANGEL DEL HOGAR E7,ADULTO
RODRIGO LARA BONILLA E13,ADULTOJOVEN
CALIMIO DESEPAZ E21,ADULTOMAYOR
JUNIN E9,ADULTOMAYOR
CENTRAL,ADULTO
MUNICIPAL (26-1),ADULTOMAYOR
LAS AMERICAS E25,ADULTO
VDA. POTRERITO,ADULTO
LA BRIZUELA,ADULTOJOVEN
CENTRO,ADULTO
GUAYABAL C-15,ADULTO
LA CANDELARIA C-10,ADULTO
LA CANDELARIA C-10,ADULTOJOVEN
SAN DIEGO C-10,ADULTOJOVEN
CRISTO REY C-15,ADULTO
LOS MANGOS C-8,ADULTOJOVEN
FLORIDA NUEVA C-11,ADULTO
ESTACION VILLA C-10,ADULTO
BARRIO COLOMBIA C-14,ADULTO
SEVILLA  C-4,ADULTO
VILLANUEVA C-10,ADULTOJOVEN
VILLANUEVA C-10,ADULTO
SEVILLA  C-4,ADULTOMAYOR
LA ALPUJARRA C-10,ADULTOJOVEN
VIA SANTA ELENA  C-9,ANCIANO
EL POBLADO C-14,ADULTO
BOLIVARIANA C-11,ADULTOJOVEN
ANTONIO NARINHO C-13,ADULTO
LAURELES C-11,ADULTOJOVEN
GUAYABAL C-15,ADULTOJOVEN
LA PILARICA C-7,ADULTOJOVEN
EL POBLADO C-14,ADULTOJOVEN
BELEN C-16,ADULTO
LA CANDELARIA C-10,ANCIANO
CRISTO REY C-15,ADULTOJOVEN
PATIO BONITO C-14,ADULTOJOVEN
MANILA C-14,ADULTOMAYOR
SAN BENITO C-10,ADULTOJOVEN
MONTECLARO C-7,ADULTO
EL CARMELO,ADULTO
VIRGEN DEL CARMEN,ADULTOMAYOR
7 DE AGOSTO,ADULTOJOVEN
EL CARMEN,ADULTOJOVEN
CHIQUINQUIRA,ADULTOJOVEN
EL VALLE,ADULTO
LOS ROBLES,ADULTOJOVEN
EL PARQUE,ADULTO
LAS GAVIOTAS,ADULTOJOVEN
SAN ISIDRO,ADULTOMAYOR
ZARAGOCILLA,ADULTOJOVEN
LAS PALMAS,ADULTO
SOLANO,NINHO
10 DE ENERO,ANCIANO
CHAPINERO,ADULTOJOVEN
CHAPINERO,ADULTOJOVEN
LA ESTRELLA,OTRA
LA SULTANA,ADULTOJOVEN
CENTRO,ADULTOMAYOR
JUAN XXIII,ADULTOJOVEN
NOGAL,ADULTOMAYOR
BELALCAZAR,OTRA
VDA VILLA NUEVA,ADULTOJOVEN
NINHO JESUS DE PRAGA,ADULTOMAYOR
VDA LOS ROBLES,ADULTOJOVEN
PANAMERICANO,ADULTO
CENTRO,ADULTO
SAN JOAQUIN,ADULTOMAYOR
URB. CLUB HOUSE,ADULTOJOVEN
LAS GAVIOTAS,ADULTOJOVEN
SARABANDA,ADULTOJOVEN
NIZA NORTE E-11,ADULTO
LOS HAYUELOS E-9,ADULTOJOVEN
AEROPUERTO BODEGAS,ADULTOMAYOR
EL MOTORISTA E-7,ANCIANO
VILLAS DEL PROGRESO E-19,ADOLESCENTE
VILLAS DEL MADRIGAL E-10,ADULTOMAYOR
MARTIRES E-14,ADULTOJOVEN
EL TUNAL II E-6,ADULTOJOVEN
URB. NUEVA MARSELLA I SECTOR E-8,ADULTO
SOCIEGO NORTE II SECTOR E-18,ADULTOJOVEN
URB MIRANDELA E-11,ADULTOJOVEN
BELLA SUIZA E-1,ADULTOJOVEN
BELLA SUIZA E-1,ADULTOJOVEN
CHAPINERO NORTE E-2,ADULTOMAYOR
LAS NIEVES E-3,ADULTOJOVEN
SAN PABLO E-7,ADULTOMAYOR
ARGELIA E-7,ADULTO
SANTA BARBARA CENTRAL E-1,ADULTO
LAS FERIAS E-10,ADULTOMAYOR
SANTA INES E-3,ADULTOJOVEN
SAN DIEGO E-3,ADULTO
URB. PUENTE ARANDA E-16,ADULTOJOVEN
INGLES E-18,ADULTO
LOS CEDRITOS E-1,ANCIANO
VISION DE COLOMBIA E-8,ADULTO
TURINGIA E-11,ADULTOJOVEN
BELLA SUIZA E-1,ADULTO
EL RETIRO E-2,ADULTOJOVEN
BELALCAZAR E-13,ADULTOJOVEN
BOSA CENTRO E-7,ADULTOJOVEN
SAN ANTONIO E-15,ADULTO
EL RETIRO E-2,ADULTOJOVEN
VILLA LUZ E-10,ADULTO
POLO CLUB E-12,ADULTOJOVEN
LAS ORQUIDEAS E-1,ADULTOJOVEN
VILLA MAYOR E-15,ADULTO
LA MARIA E-19,ADULTOJOVEN
SAGRADO CORAZON E-3,ADULTO
VENECIA E-6,ADULTO
SAN ANTONIO E-1,ADULTO
TECHO  E-8,ADULTOJOVEN
LOS CEDRITOS E-1,ADULTO
SAN DIEGO E-3,ADULTOJOVEN
BELLA SUIZA E-1,ADULTO
SAN FRANCISCO E-19,ADULTOJOVEN
CANDELARIA LA NUEVA I SECTOR E-19,ADULTOJOVEN
SAN CRISTOBAL E-1,ADULTOMAYOR
CENTRO,ADULTOJOVEN
CENTRO,ADULTOJOVEN
LOMA FRESCA,ADULTO
BOSQUE,ADULTOJOVEN
DIVINO NINHO,ADULTOJOVEN
DIVINO NINHO,ADULTOJOVEN
TIMANCO,ADULTO
LOS GUADUALES,ADULTOJOVEN
CALIXTO LEYVA,ADULTOJOVEN
CANDIDO LEGUIZAMO,ADULTOMAYOR
PRIMERO DE MAYO,ADULTO
SALAMANCA,ADOLESCENTE
MANZANARES,ADULTO
CENTRO,ADULTOMAYOR
LA FLORIDA,ADULTO
ANTONIO V/CIO,ADULTO
CENTRO,ADULTO
CENTRO,ADULTOJOVEN
VILLA JULIA,ADULTOJOVEN
PASTRANA,ANCIANO
EL RETIRO,ADULTOJOVEN
SAN ANTONIO,ADULTOJOVEN
VEREDA LAS MERCEDES,ADULTO
SAN BENITO,ADULTO
PUENES,ADULTO
PUENES,ADULTOJOVEN
MERCEDARIO,ADULTOJOVEN
VALLE DE ATRIZ,ADULTO
AV. LAS AMERICAS,ADULTO
PARQUE BOLIVAR,ADULTO
BARRIO CENABASTOS,ADULTO
BARRIO SAN MIGUEL,OTRA
BARIO LA RIVIERA,ADULTOJOVEN
EL RECREO,ADULTO
SECTOR SUPER INTER PLAZA,ADULTOMAYOR
EL BERLIN,ADULTO
VILLA LILIANA,ADULTO
VDA.LA BELLA,ADULTOMAYOR
CACIQUE,ADULTOMAYOR
CACIQUE,ADULTOMAYOR
LA GRACIELA,ADULTO
PRIMERO DE FEBRERO 1,ANCIANO
CENTRO (A) PEREIRA,OTRA
CENTRO (A) PEREIRA,OTRA
CENTRO (A) PEREIRA,OTRA
LA PAZ CENTRO,ADULTO
EL PARNASO,ADULTOJOVEN
LA FLORESTA,ADULTOJOVEN
PALMIRA,ADULTOJOVEN
SANTA ISABEL,ADULTOJOVEN
BALCONES DEL SUR,ADULTO
SOTOMAYOR,ADULTOJOVEN
EL PRADO,ADULTOJOVEN
LA AURORA,ADULTO
LA VICTORIA,ADULTOJOVEN
CENTRO,ADULTOJOVEN
ALVAREZ,ADULTO
QUINTAS DEL CAMPESTRE,ADULTOJOVEN
LAGOS I,ADULTO
JUNIN,ADULTOJOVEN
12 DE OCTUBRE,ADULTO
SECTOR MOTEL EL CRUCERO,ADULTO
PORVENIR,ADULTOMAYOR
LUCITANIA,ADULTOJOVEN
BALTAZAR,ADULTO
JARDIN SANTANDER,ADULTO
BELARCAZAR,ADULTO
COMUNEROS,ADULTO
VILLA DEL SOL,ADOLESCENTE
TERRAZAS DEL TEJAR,ADULTOMAYOR
CENTRO,ADULTOJOVEN
MUELLE TURISTICO,ADULTOJOVEN
CALIMA E4,ADULTOJOVEN
CANEY E17,ADULTO
PARCELACIONES PANCE E22,ADULTO
SAN PASCUAL E3,ANCIANO
SAN FERNANDO VIEJO E19,ADULTOMAYOR
LOS LIDERES E21,ADULTO
ALFONSO LOPEZ II E7,ADULTO
LA GRAN COLOMBIA E11,ADULTO
EL POBLADO II E13,ADULTO
JOSE M. MARROQUIN II E14,ADULTOJOVEN
SECTOR PUENTE DEL COMERCIO E6,ADULTOJOVEN
SECTOR PUENTE DEL COMERCIO E6,ADULTO
LOS CAMBULOS E19,ADULTO
UNICENTRO CALI E17,ADULTOJOVEN
LAS AMERICAS E8,ADULTO
OBRERO E9,ADULTOJOVEN
PARCELACIONES PANCE E22,ADULTO
SANTA RITA E2,ADULTOJOVEN
ATANASIO GIRARDOT E8,ADULTOJOVEN
CALIMA E4,ADULTO
ALFONSO LOPEZ III E7,ADULTO
CGTO MONTEBELLO E1,ADULTOMAYOR
SECTOR ALTOS NORMANDIA - BATACLAN E2,ADULTO
LOS ANDES E5,ADULTO
CENTRO,ADULTO
IV CENTENARIO,ADULTOJOVEN
BIZERTA,ADULTO
LA CONCORDIA,ADULTO
TOMAS URIBE,ADULTO
CIUDADELA DEL NORTE,ADULTO
LA SELVA,ADULTO
EL TRAPICHE,ADULTOJOVEN
BALADARES,ADULTOJOVEN
CIUDAD NIQUIA,ADULTO
ALTOS DE NIQUIA,ADULTO
BELLAVISTA,ADULTO
PARQUE PRINCIPAL,ADULTO
LOMA DEL ESCOBERO,ADULTOJOVEN
VDA. LAS CUCHILLAS,ADOLESCENTE
PARQUE PRINCIPAL,ADULTOJOVEN
SANTA MARIA # 1,ADULTO
SANTA MARIA # 3,ADULTO
LA CANDELARIA C-10,ADULTOJOVEN
GUAYAQUIL C-10,ADULTO
CENTRO ADMINISTRATIVO C-10,ADULTO
SAN JOAQUIN C-11,ADULTO
SAN GERMAN C-7,ADULTOJOVEN
SANTA LUCIA C-12,ADULTOJOVEN
PRADO C-10,ADULTOMAYOR
ESTACION VILLA C-10,ADULTOMAYOR
SURAMERICANA C-11,ADULTOJOVEN
LA CANDELARIA C-10,OTRA
PRADO C-10,ADULTOJOVEN
EL POBLADO C-14,ADULTO
CAMPO VALDES 2 C-3,ADULTO
CONQUISTADORES C-11,ADULTOJOVEN
LAURELES C-11,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOMAYOR
ASTORGA C-14,ADULTOJOVEN
MANILA C-14,ADULTOJOVEN
CRISTO REY C-15,ADULTO
SEVILLA  C-4,ANCIANO
LA ALPUJARRA C-10,ADULTOJOVEN
CAMPO AMOR C-15,ADULTO
LA ALPUJARRA C-10,ADULTOJOVEN
CANTOR,ADULTOMAYOR
EL ESPINAL,ADULTOJOVEN
6 DE OCTUBRE,ADULTOMAYOR
SAN ISIDRO,ADULTOJOVEN
EL ROSARIO,ADULTOJOVEN
POR FIN,ADULTO
BOSTON,ADULTO
MIRAMAR,ADULTO
LA ROSITA,ADULTO
LA PRINCESA,ADULTO
PASEO DE BOLIVAR,ADULTOJOVEN
SAN JOSE,ADULTOJOVEN
CENTRO,ADULTOJOVEN
BARRIO PARAISO,ANCIANO
BARRIO CANAPRO,ADULTOMAYOR
BARRIOS LOS OLIVOS,ADULTOJOVEN
LA ENEA,ADULTOJOVEN
EL BOSQUE,ADULTOJOVEN
CENTRO,ADULTOJOVEN
CENTRO,ADULTOMAYOR
CENTRO,ADULTOMAYOR
CENTRO,ADULTOMAYOR
CENTRO,ADULTOMAYOR
LA RAMBLA,ADULTOJOVEN
LA RAMBLA,ADULTOJOVEN
CENTRO,ADULTO
BELLO HORIZONTE,ADULTOJOVEN
VILLA ROCIO,ADULTOJOVEN
SITIO O VDA LOS FAROLES,ADULTOJOVEN
SANTA LIBRADA,ADULTOJOVEN
CENTRO,ADULTOJOVEN
LA CRUZ,ADULTOJOVEN
LA CRUZ,ADULTOJOVEN
LA FLORIDA,OTRA
SAN CLEMENTE,ADULTOJOVEN
SAN CLEMENTE,ADULTOJOVEN
EL CENTRO,ADULTOJOVEN
CASASUAN,ADULTO
PATIO BONITO I E-8,ADULTOMAYOR
PATIO BONITO I E-8,ADULTOMAYOR
LUNA PARK I SECTOR E-15,ADULTO
NICOLAS DE FEDERMAN E-13,ADULTOJOVEN
SAN CRISTOBAL E-1,ADULTOMAYOR
LA GAITANA E-11,ADULTOJOVEN
RESTREPO E-15,ADULTOJOVEN
VILLA ALSACIA E-8,ADULTOJOVEN
CHAPINERO NORTE E-2,ADULTOJOVEN
EL PINAR E-11,ADULTOJOVEN
URB. SANTANDER E-15,ADULTOJOVEN
URB. PALENQUE E-8,ANCIANO
CENTENARIO E-9,ADULTO
VILLA LUZ E-10,ADULTO
SANTANDER E-9,ADOLESCENTE
VEINTE DE JULIO E-4,ADULTOJOVEN
QUINTA CAMACHO E-2,ADULTO
CHAPINERO CENTRAL E-2,ADULTO
CHAPINERO ALTO E-2,ADULTO
EL SALITRE LUIS MARIA FERNANDEZ E-10,ADULTOMAYOR
CHAPINERO ALTO E-2,ADULTOMAYOR
QUIROGA IHS ETAPA E-18,ADULTOJOVEN
7 DE AGOSTO E-12,ADULTOJOVEN
CIUDAD KENNEDY CENTRAL E-8,ADULTOJOVEN
VENECIA E-6,ADULTOJOVEN
AURES II E-11,ADULTOJOVEN
NUEVO MUZO II SECTOR I ETAPA E-6,ADULTOJOVEN
SANTANDER,ADULTO
SAN MARTIN,ADULTOJOVEN
ABAJO,ADULTOJOVEN
ABAJO,ADULTOJOVEN
ABAJO,ADULTOJOVEN
EL CAFETAL,ADULTO
EL CAFETAL,ADULTO
EL CAFETAL,ADULTO
LAS MARGARITAS,ADULTOJOVEN
MANZANARES,ADULTOMAYOR
VILLA NUBIA,ADULTO
MANSIONES DEL NORTE,ADOLESCENTE
CANDIDO LEGUIZAMO,ADOLESCENTE
LA ORQUIDEA,ADULTOJOVEN
VEREDA GUACACALLO,ADOLESCENTE
VEREDA MATEO RICO,ADULTOMAYOR
SAN CARLOS,ADULTOMAYOR
RODADERO TRADICIONAL,ADOLESCENTE
CENTRO HISTORICO,ADULTOJOVEN
MARIA EUGENIA,ADULTOJOVEN
OASIS,ANCIANO
BASTIDAS,ADULTOJOVEN
LA ESPERANZA IV ETAPA,ADULTO
EL RETIRO,ADULTOJOVEN
7 DE AGOSTO,ADULTOJOVEN
VILLA BOLIVAR,ADULTOJOVEN
LA COLINA,ADULTO
URBANIZACION SAN LUIS,ADULTOJOVEN
CENTRO,ANCIANO
LA AURORA,ADULTO
LA CAROLINA,ADULTOJOVEN
FIGUEROA,ADULTOJOVEN
BARRIO LA CABRERA,OTRA
BARRIO LATINO,ADULTOMAYOR
BARRIO NUEVO HORIZONTE,ADULTOMAYOR
BARRIO CEIBA,ADULTOMAYOR
BARRIO SAN LUIS,ADULTO
EL MODELO,ADULTOJOVEN
EL MODELO,ADULTOJOVEN
VDA.LA BELLA,ADULTOJOVEN
LA BADEA,ADULTOJOVEN
CENTRO (A) PEREIRA,ADULTOJOVEN
LA ISLA DE CUBA,ADULTOJOVEN
CENTRO (A) PEREIRA,ADULTOJOVEN
PRIMERO DE FEBRERO 1,ADULTOMAYOR
PRIMERO DE FEBRERO 1,ADULTOMAYOR
PRIMERO DE FEBRERO 1,ADULTOMAYOR
AMERICA,ADULTOMAYOR
SECTOR CARDER,OTRA
SECTOR CARDER,OTRA
B. CENTRO,ADULTOMAYOR
B. CENTRO,ADULTOMAYOR
BARRIO SOUND BAY,ADULTO
EL PARNASO,ADULTO
INV. 22 DE MARZO,ADULTOJOVEN
PROVENZA,ADULTOMAYOR
CIUDADELA REAL DE MINAS,ADULTOMAYOR
LAGOS I,ANCIANO
LA PRIMAVERA,ADULTOJOVEN
EL CARMEN V,ADULTOMAYOR
SANTA ANA,ADOLESCENTE
SAN FRANCISCO P/TA,ADULTO
CENTRO P/TA,ADULTOJOVEN
VILLAS DE NAVARRA,ADULTOMAYOR
LA BUCARAMANGA,ADULTOJOVEN
JARDIN SANTANDER,ADULTOMAYOR
EL CARMEN (E.SUR),ADULTO
CALARCA,ADULTOJOVEN
GAITAN PARTE BAJA,ADULTOMAYOR
NUEVO HORIZONTE,ADULTOJOVEN
LAS VEGAS,ADULTO
EL JORGE,ADULTOMAYOR
VISTA HERMOSA E1,ADULTOJOVEN
LAS CEIBAS E7,ADULTO
CIUDAD CORDOBA E15,ADULTO
LAS ORQUIDEAS E14,ADULTO
GUAYAQUIL E9,ANCIANO
MANUELA BELTRAN E14,ADOLESCENTE
EL BOSQUE E2,ADULTOMAYOR
NAPOLES E18,ADULTO
URBANIZACION LA MERCED E2,OTRA
UNID. A GALINDO PLAZA TOROS E19,ADULTOJOVEN
MOJICA E15,ADULTO
BERLIN,OTRA
CGTO ROZO,ADULTOMAYOR
CENTRAL,ADULTOJOVEN
CIUDAD NIQUIA,ADULTOJOVEN
LA GABRIELA,ADULTOJOVEN
VILLA MARIA,ADULTO
PARQUE PRINCIPAL,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOJOVEN
LA CASTELLANA C-11,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOMAYOR
JARDIN BOTANICO  C-4,ADULTOJOVEN
LA CANDELARIA C-10,ADULTO
EL POBLADO C-14,ADULTOJOVEN
ESTADIO C-11,ADULTO
LA CANDELARIA C-10,ADULTOMAYOR
MANRIQUE 1  C-4,ADULTOJOVEN
MANRIQUE 2  C-3,ADULTOJOVEN
PEDREGAL C-6,ADULTOJOVEN
BUENOS AIRES  C-9,ADULTOJOVEN
MANRIQUE 2  C-3,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOJOVEN
PICACHO C-6,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOMAYOR
LOS ANGELES C-10,ADULTOJOVEN
GUAYABAL C-15,ADULTOJOVEN
BOSTON C-10,ADULTOMAYOR
LA ESPERANZA C-6,ADULTOJOVEN
MANUEL RESTREPO,ADULTO
BRISAS DEL LLANO,ADULTOJOVEN
LA PAZ,ADULTOJOVEN
LA CANDELARIA I,ADULTOJOVEN
COSTA HERMOSA,ADULTOJOVEN
DANIEL LEMAITRE,ADULTOJOVEN
BOSQUE INDUSTRIAL,ADULTOJOVEN
VDA. PALERMO,ADULTO
CHAMBACU,ADULTOJOVEN
VDA. BALSA Y RESGUARDO,ADULTO
BARRIO LA FUENTE,ADOLESCENTE
BARRIO SAN JOSE,ADULTOJOVEN
RESTREPO,ADULTO
ABBAS TURBAY,ADULTOJOVEN
EL LAGUITO,ADULTOJOVEN
CASERIO TABLONCITO,ADULTOJOVEN
CASERIO TABLONCITO,ADULTOJOVEN
VDA LA PAILA SAUCES,ADULTO
VDA LA PAILA SAUCES,ADULTO
EL ROSARIO,ADULTO
ALAMOS II,ADULTOJOVEN
EL RECREO,ADULTO
LA PRADERA,ADULTOMAYOR
VEREDA EL CHARCON,ANCIANO
CARVAJAL E-8,ADULTOJOVEN
LAS MARGARITAS E-7,ADULTOJOVEN
PABLO SEXTO E-7,ADULTO
PASTRANITA I  E-8,ADULTO
VILLA MARIA I E-11,ADOLESCENTE
GALAN E-16,ADULTOJOVEN
URB. GRANJAS DE SAN PABLO E-18,ADULTO
TEUSAQUILLO E-13,ANCIANO
SANTA MARIA DEL LAGO E-10,ADULTOJOVEN
TINTALA E-8,ADULTOJOVEN
EL TINTAL E-8,ADULTOJOVEN
VILLA ANDREA E-8,ADULTO
TEUSAQUILLO E-13,ADULTOMAYOR
VILLA MAYOR E-15,ADULTOJOVEN
LAS FERIAS E-10,ADULTO
TEUSAQUILLO E-13,ADULTO
URB. PATIO BONITO II SECTOR E-8,ADULTOJOVEN
VILLA CLAUDIA E-8,ADULTOJOVEN
FONTANAR DEL RIO E-11,ADULTO
VILLA ALSACIA SECTOR A E-9,ADULTO
RESTREPO E-15,ADULTO
LA FAENA E-10,ADOLESCENTE
ALGARRA,ADULTOJOVEN
LOMA FRESCA,ADULTOJOVEN
MATAJUNA,ADULTO
MATAJUNA,ADULTO
LOMA FRESCA,ADULTO
BARRIO MODELO,ADULTOJOVEN
JOSE MARIA CARBONEL,ADULTO
ALVARO LEIVA,ADULTO
LAS ACACIAS,ADULTOJOVEN
LA LOMA,ADULTO
PREDIOS POZOS COLORADOS,ADULTO
SANTA CLARA,ADULTO
BELLO HORIZONTE,ADULTO
VILLA DEL LLANO,ADULTO
MARACOS,ADULTOMAYOR
INSPECCION LA CUNCIA,ANCIANO
MANANTIAL,ADULTOJOVEN
ARIGUANI,ADULTOJOVEN
ARIGUANI,ADULTOJOVEN
7 DE AGOSTO,ADULTO
VISCAYA,ADULTO
SANTANDER,ADULTO
AVENIDA COLOMBIA NORMANDIA,ADULTOJOVEN
EL PROGRESO,ADULTOJOVEN
SANTA MONICA,ADULTO
VEREDA DAZA MORAZURCO,ADULTOJOVEN
BARRIO CONTENTO,ADULTO
BARRIO EL LLANO,ADULTOJOVEN
BARRIO EL LLANO,ADULTOJOVEN
BARRIO LATINO,ADULTOMAYOR
BARRIO EL LAGO,ADULTOMAYOR
BARRIO SAN JOSE,ADULTOJOVEN
CORBONES,ADULTOMAYOR
CASA BLANCA,ANCIANO
CASA BLANCA,ANCIANO
CASA BLANCA,ANCIANO
SECTOR CENTRO COMERCIAL UNICENTRO,ADULTOJOVEN
FLORIDA ALTA O NORTE,ANCIANO
ZONA CENTRO,ANCIANO
PLAYA RICA,ADULTO
CENTRO CUBA V-1,ANCIANO
SECTOR INVICO,ADOLESCENTE
SALAZAR ROBLEDO,ADULTO
BARRIO TABLITAS,ADULTOJOVEN
BARRIO NATANIA,ADULTO
REGADERO NORTE,ADULTOMAYOR
EL PORVENIR,ADULTOJOVEN
MEJORAS PUBLICAS,ADULTOMAYOR
BUENOS AIRES,ADULTOJOVEN
CONUCOS,ADULTOJOVEN
SAN ALONSO,ADULTOJOVEN
BOLIVAR,ADULTO
URB. SAN JORGE,ADULTO
PORTAL CAMPESTRE,OTRA
SAN ANTONIO,ADULTOJOVEN
CERRITO LA PALMA,ADULTO
VRDA. EL COLEGIO,ANCIANO
EL VERGEL,ADULTOJOVEN
JORDAN VIII ETAPA,ANCIANO
PRADO I,ADOLESCENTE
CIUDADELA CONFENALCO,ADULTOMAYOR
YULDAIMA,ADULTOJOVEN
KENEDY,ADOLESCENTE
PRADO I,ADOLESCENTE
SANTA MONICA RESIDENCIAL E2,ADULTOMAYOR
SUCRE E9,ADULTOJOVEN
ULPIANO LLOREDA E13,ADULTOJOVEN
JOSE M. MARROQUIN II E14,ADULTO
LOS CAMBULOS E19,ADULTOJOVEN
ASTURIAS E12,ADULTO
EL CORTIJO E20,ADULTO
SECTOR ALTO LOS CHORROS E18,ADULTOJOVEN
EL PONDAJE E13,ADULTOJOVEN
URBANIZACION CALIMIO E6,ADULTOJOVEN
JOSE M. MARROQUIN II E14,ADULTOJOVEN
MELENDEZ E18,ADULTOJOVEN
VDA. EL MIRADOR,ADULTO
VIA CANDELARIA CALI (23-1 23-2),ADULTO
LA ALBANIA (23-S-1-1),ADULTO
EL CENTRO,ADULTOJOVEN
CEREZOS DE LA ITALIA,ADULTO
CGTO ROZO,ADULTOJOVEN
ZAMORANO,ADULTOMAYOR
VIA SEVILLA-CAICEDONIA,ADULTO
ZONA CENTRO,ADULTOJOVEN
LA CABANHA,ADULTOMAYOR
EL CAMPING,ADULTOMAYOR
MIRADOR AZUL,ADOLESCENTE
SANTANA,ADULTOMAYOR
LAS FLORES,ADULTO
SAN MARCOS,ADULTOJOVEN
LA CEIBA,ADULTO
CENTRO,OTRA
LOS NARANJOS,ADULTOJOVEN
DITAIRES,ADOLESCENTE
TRIANA,ADULTOMAYOR
FATIMA C-16,OTRA
LA CANDELARIA C-10,ADULTOJOVEN
LIMONAR 2  S.A.P.,ADULTOJOVEN
LOPEZ DE MESA C-7,ADULTOJOVEN
LA CANDELARIA C-10,ADULTO
LA CANDELARIA C-10,ADULTO
EL POBLADO C-14,ADULTO
LA CANDELARIA C-10,ADULTOJOVEN
LA CANDELARIA C-10,ADOLESCENTE
LA CANDELARIA C-10,ADULTOJOVEN
VILLANUEVA C-10,ADULTOMAYOR
LA CANDELARIA C-10,ADULTOMAYOR
GRANIZAL C-1,ADULTO
GUAYABAL C-15,ADULTOJOVEN
ROSALES C-16,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOJOVEN
LA AGUACATALA C-14,ADULTOMAYOR
LA CANDELARIA C-10,ADULTOMAYOR
PRADO C-10,ADULTOJOVEN
