BARRIO,MOVILVICTIMA
VILLA JULIA,A PIE
LLANO LINDO,A PIE
JORDAN,A PIE
ESTERO,MOTOCICLETA
CAMINO REAL,A PIE
MACUNAIMA,A PIE
COMUNEROS,-
ESTERO,A PIE
SANTANDER,A PIE
CENTRO,A PIE
GOLGOTA,A PIE
OBRERO,A PIE
20 DE JULIO,A PIE
LORENZO,A PIE
LORENZO,A PIE
MORASURCO,A PIE
SAN JUAN BOSCO,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
AV. CHAMPAGNAT,A PIE
CENTRO,A PIE
NIZA III,A PIE
ESTADIO LIBERTAD,A PIE
LORENZO,A PIE
PLAZA DEL CARNAVAL,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
EL MORRO,A PIE
SAN JUAN,A PIE
BARRIO LOS PINOS,A PIE
BARRIO LA PLAYA,A PIE
BARRIO SAN JOSE,A PIE
BARRIO LA LIBERTAD,A PIE
BARRIO SIMON BOLIVAR,MOTOCICLETA
BARRIO CENTRO,A PIE
PABLO VI,A PIE
CENTRO,A PIE
CIUDADELA UNIVERSITARIA,A PIE
PERPETUO SOCORRO,A PIE
SAN FERNANDO,A PIE
MIRAFLORES BAJO,A PIE
ZONA CENTRO,A PIE
PLAZOLETA LA VILLA,A PIE
LOS NARANJOS,A PIE
VILLAVICENCIO,A PIE
SECTOR AV 30 AGO ENTRE CL 37 Y 41,A PIE
SECTOR COMERCIAL,A PIE
SANTA ISABEL,A PIE
LA ESPERANZA,A PIE
JARDINES DE COAVICONSA,A PIE
NUEVO SOTOMAYOR,A PIE
SAN RAFAEL,A PIE
SAN FRANCISCO,A PIE
KENNEDY,A PIE
LA PAZ E2,A PIE
BUCARAMANGA,MOTOCICLETA
LAGOS I,A PIE
HACIENDA SAN JUAN,A PIE
CONVIVIR,A PIE
CENTRO P/TA,A PIE
EL PROGRESO,A PIE
ESPANHA,A PIE
HACIENDA PIEDRAPINTADA,A PIE
EL CARMEN,A PIE
ESTACION,A PIE
CADIZ,A PIE
TOLIMA GRANDE,A PIE
JORDAN MUTIFAMILIARES,A PIE
SANTA RITA,A PIE
CENTRO,A PIE
VERSALLES E2,A PIE
CIUDAD CAPRI E17,A PIE
LOS LAGOS E13,A PIE
PRADOS DEL NORTE E2,A PIE
CGTO LA VORAGINE E22,A PIE
PRADOS DEL NORTE E2,A PIE
LOS LAGOS E13,A PIE
VALLE GRANDE E21,A PIE
VILLA DEL LAGO E13,A PIE
