BARRIO,MOVILVICTIMA
VILLA LUZ E-10,TRANSPORTE PUBLICO
LA FRAGUA E-15,TRANSPORTE PUBLICO
VERBENAL E-1,A PIE
SAN BERNARDINO E-7,A PIE
BOSA CENTRO E-7,A PIE
URB. LAS LOMAS E-18,A PIE
VEINTE DE JULIO E-4,A PIE
URB. CARIMAGUA I SECTOR E-8,A PIE
SAN JOSE DE BAVARIA E-11,A PIE
GRAN BRITALIA E-8,TRANSPORTE PUBLICO
URB. SAN PATRICIO E-1,A PIE
EL TUNAL II E-6,A PIE
EL NOGAL E-2,A PIE
OLAYA E-18,A PIE
SANTA LUCIA E-18,A PIE
SAN FERNANDO E-12,TRANSPORTE PUBLICO
PIAMONTE E-7,A PIE
CHAPINERO CENTRAL E-2,A PIE
CHICO NORTE III SECTOR E-2,TRANSPORTE PUBLICO
COLOMBIA E-12,A PIE
MORAVIA E-9,A PIE
EL RECREO E-7,A PIE
PATIO BONITO I E-8,TRANSPORTE PUBLICO
BOSA E-7,A PIE
SANTA ROSITA E-10,A PIE
ATAHUALPA E-9,A PIE
PATIO BONITO I E-8,A PIE
CIUDAD KENNEDY OCC E-8,A PIE
QUINTA PAREDES E-13,TRANSPORTE PUBLICO
SAN DIEGO E-3,TRANSPORTE PUBLICO
MODELO E-12,A PIE
LAGO GAITAN E-2,A PIE
SAN JORGE E-18,A PIE
URB. LOS COMUNEROS E-16,A PIE
BACHUE E-10,A PIE
LA PONDEROSA E-16,A PIE
SANTA ISABEL E-14,A PIE
CENTRO,A PIE
GAITAN,A PIE
GAITAN,A PIE
EL CARMEN,A PIE
EL CARMEN,A PIE
EL PROGRESO,MOTOCICLETA
PIEDRA PINTADA,A PIE
ALAMOS,A PIE
LOS ANDAQUIES,A PIE
LAS  MERCEDES,MOTOCICLETA
VEREDA TABACAL,A PIE
CENTRO,A PIE
CENTRO,A PIE
BOLIVARIANA,A PIE
VILLA ITALIA,A PIE
BELLA VISTA,A PIE
VILLAS DE GRANADA,A PIE
VEREDA EL AMOR,A PIE
VEREDA EL AMOR,A PIE
VILLA JULIA,A PIE
CALAMAR,A PIE
KIRPA,MOTOCICLETA
VILLA JULIA,A PIE
SANTA HELENA I,A PIE
SAN ANTONIO,A PIE
CENTRO,A PIE
SANTA BARBARA,A PIE
SANTIAGO,A PIE
LA FLORESTA,A PIE
SAN ALBANO,A PIE
PUCALPA III,A PIE
BARRIO CUNDINAMARCA,A PIE
BARRIO GERONIMO URIBE,A PIE
BARRIO LA PLAYA,A PIE
BARRIO EL LLANO,VEHICULO
BARRIO CENTRO,A PIE
BARRIO CENTRO,A PIE
NAVARRO WOLF,A PIE
SECTOR LA VEINTE,A PIE
CANHAS GORDAS,A PIE
INDEPENDIENTES,A PIE
PINARES DE SAN MARTIN,A PIE
SECTOR PARQUE LA LIBERTAD,A PIE
CENTRO (A) PEREIRA,A PIE
SAN JORGE,A PIE
COLOMBIA,A PIE
CGTO. EL CENTRO,MOTOCICLETA
BOLIVAR,A PIE
CABECERA DEL LLANO,A PIE
LA JOYA,A PIE
ALFONSO LOPEZ,A PIE
BUENOS AIRES,A PIE
C.R. VERSALLES REAL,A PIE
LA CUMBRE,MOTOCICLETA
BUCARICA,A PIE
LA CUMBRE,A PIE
INV. NUEVA JUVENTUD,A PIE
SECTOR TRONCAL,A PIE
GUINEA,A PIE
PUERTO LOPEZ,A PIE
VENECIA,A PIE
GAITAN,A PIE
LA ARBOLEDA,A PIE
SIMON BOLIVAR,A PIE
MAGDALENA,A PIE
CENTRO,A PIE
ARKALENA,A PIE
VRDA. JUNTAS,A PIE
VILLA DEL SOL,A PIE
F8,A PIE
VILLA DEL PRADO - EL GUABITO E5,TRANSPORTE PUBLICO
EL PRADO E11,VEHICULO
EL REFUGIO E19,A PIE
CALIMA E4,A PIE
DESEPAZ INVICALI E21,A PIE
EL TREBOL E8,A PIE
CANHAVERALEJO - SEGUROS P. E19,A PIE
SAN PEDRO E3,VEHICULO
CIUDAD CORDOBA E15,TRANSPORTE PUBLICO
URB. CIUDAD JARDIN E22,A PIE
MARIANO RAMOS E16,TRANSPORTE PUBLICO
SAN PEDRO E3,A PIE
SAN FERNANDO NUEVO E19,A PIE
EL LIDO E19,VEHICULO
SIETE DE AGOSTO E7,A PIE
VALLADO E15,A PIE
LA CAMPINHA E2,A PIE
URB. COLSEGUROS E19,VEHICULO
SAN ANTONIO,A PIE
LORETO,A PIE
URIBE E25,A PIE
OCHO DE DICIEMBRE,A PIE
ZAMORA,A PIE
PLAYA RICA,A PIE
EL CAMELLO,VEHICULO
MILLAN Y VALLEJUELOS,A PIE
EL PORTAL,VEHICULO
KENNEDY C-6,A PIE
CALLE NUEVA C-10,A PIE
LA CANDELARIA C-10,A PIE
ESTADIO C-11,A PIE
SAN DIEGO C-10,A PIE
BELEN C-16,VEHICULO
BELEN C-16,VEHICULO
LA FLORIDA C-14,A PIE
LAURELES C-11,A PIE
LA CANDELARIA C-10,A PIE
SAN DIEGO C-10,MOTOCICLETA
CARIBE C-5,A PIE
EL BOSQUE,A PIE
SECTOR TRIANGULO,A PIE
ARRAYANES,A PIE
ONDAS DE OTUN,A PIE
JUAN XXIII,A PIE
VILLA DEL PRADO,A PIE
GUADALUPE SALCEDO,A PIE
CENTRO,A PIE
PRADOS DEL NORTE,A PIE
LA ESMERALDA,A PIE
ALFONSO CAICEDO,A PIE
LA UNION,A PIE
CENTRO,A PIE
LA NEVADA,A PIE
SILENCIO,A PIE
NINHO JESUS,A PIE
NINHO JESUS,A PIE
EL PARAISO,A PIE
TURINGIA E-11,TRANSPORTE PUBLICO
MARTIRES E-14,A PIE
RESTREPO E-15,A PIE
FONTIBON CENTRO E-9,A PIE
VILLA DE LA TORRE E-8,A PIE
VILLA DE LA TORRE E-8,A PIE
CHAPINERO ALTO E-2,A PIE
PARQUE NACIONAL E-3,A PIE
SAN FASSON E-14,A PIE
POLICARPA SALAVARRIETA E-15,A PIE
LA GAITANA E-11,A PIE
VOTO NACIONAL E-14,TRANSPORTE PUBLICO
PRADO SUR E-11,A PIE
RICAURTE E-14,A PIE
ALQUERIA LA FRAGUA E-8,MOTOCICLETA
LA ESMERALDA E-13,TRANSPORTE PUBLICO
LA CABRERA E-2,A PIE
CHICO I E-2,A PIE
RESTREPO E-15,A PIE
URB. LAGUNETA E-6,A PIE
CONTADOR E-1,A PIE
SAN DIEGO E-3,A PIE
LAS COLINAS E-18,A PIE
PATIO BONITO I E-8,A PIE
VILLA JAVIER E-4,A PIE
PRADO VERANIEGO E-11,TRANSPORTE PUBLICO
CAPELLANIA E-9,A PIE
SANTA HELENITA E-10,A PIE
TURINGA SUBA E-11,A PIE
ALQUERIA LA FRAGUA E-8,A PIE
ONCE DE NOVIEMBRE E-12,A PIE
BOSA CENTRO E-7,A PIE
SAN LUIS E-13,A PIE
SAN CRISTOBAL NORTE E-1,A PIE
TEUSAQUILLO E-13,A PIE
LOS VIRREYES II E-1,A PIE
GUSTAVO RESTREPO E-18,A PIE
SANTILLANA,MOTOCICLETA
EL MOLINO,A PIE
SAN MARTIN DE LOBA,A PIE
CORREGIMIENTO DE ZAMBRANO,A PIE
PROVIVIENDA,MOTOCICLETA
CENTRO,VEHICULO
CANDIDO LEGUIZAMO,A PIE
CALAMARI,A PIE
LOS MARTIRES,MOTOCICLETA
SAN MATEO,A PIE
SILVIA ROSA,A PIE
BUENOS AIRES,A PIE
LA ROSITA,A PIE
SAN ANTONIO,A PIE
SAN BENITO,A PIE
BARZAL ALTO,A PIE
MONTECARLO,A PIE
BALATA,A PIE
CATALUNHA,A PIE
SAN JOSE,MOTOCICLETA
CENTRO,A PIE
VENECIA,A PIE
SANTA BARBARA,A PIE
PALERMO,A PIE
LA CAROLINA,A PIE
AQUINE II,MOTOCICLETA
CENTRO,A PIE
LA CAROLINA,A PIE
SAN ALBANO,A PIE
CENTRO,A PIE
SAN JUAN BOSCO,A PIE
LA CIUDADELA,A PIE
BARRIO SEVILLA,A PIE
BARRIO CENTRO,TRANSPORTE PUBLICO
BARRIO CALLEJON,A PIE
BARRIO SAN LUIS,A PIE
CENTRO,A PIE
SECTOR VIADUCTO,A PIE
VALHER,A PIE
B. LA HERMOSA,A PIE
LA ESPERANZA,A PIE
PROVENZA,A PIE
INV. PUENTE NARINHO,MOTOCICLETA
GARCIA ROVIRA,A PIE
CENTRO,A PIE
CABECERA DEL LLANO,A PIE
SAN JOAQUIN E17,A PIE
MORRORICO,TRANSPORTE PUBLICO
URB. COLSEGUROS NORTE,A PIE
VILLABEL,MOTOCICLETA
BELLAVISTA,TRANSPORTE PUBLICO
LOS ROSALES,A PIE
LOS ROSALES,A PIE
CHIMITA,TRANSPORTE PUBLICO
ALBANIA P/TA,A PIE
VRDA  DOCTRINA NARANJOS,A PIE
MOCHILA,A PIE
CENTRO,A PIE
CENTRO,MOTOCICLETA
CENTRO,VEHICULO
ENTRE RIOS,A PIE
CENTRO,A PIE
RESTREPO,A PIE
VIA AEROPUERTO,TRANSPORTE PUBLICO
EL CARMEN,A PIE
PALERMO,A PIE
JAZMIN,A PIE
BELARCAZAR,A PIE
VRDA. LA CAJITA,A PIE
SALOMIA E4,TRANSPORTE PUBLICO
VALLADO E15,A PIE
SAN JUAN BOSCO E3,A PIE
SAN PEDRO E3,A PIE
SAN VICENTE E2,VEHICULO
VERSALLES E2,A PIE
SAN NICOLAS E3,A PIE
VILLA DEL PRADO - EL GUABITO E5,A PIE
SANTA MONICA RESIDENCIAL E2,A PIE
VALLADO E15,A PIE
SUCRE E9,MOTOCICLETA
BENJAMIN HERRERA E8,MOTOCICLETA
SAN PEDRO E3,A PIE
BENJAMIN HERRERA E8,A PIE
BENJAMIN HERRERA E8,A PIE
BOSQUES DEL LIMONAR E17,A PIE
OLIMPICO E10,A PIE
SECTOR PUENTE DEL COMERCIO E6,A PIE
LA FLORA E2,A PIE
LA FLORA E2,A PIE
VILLA DEL SOL,A PIE
MORAVIA  C-4,A PIE
SECTOR INDUSTRIAL ACOPI  (25-2),A PIE
LA CABANHA,A PIE
LA CAMILA,A PIE
SALENTO,MOTOCICLETA
CENTRAL,A PIE
ALCALA,A PIE
SAN FERNANDO,A PIE
ZONA CENTRO,A PIE
ESTACION VILLA C-10,A PIE
MORAVIA  C-4,A PIE
CASTILLA C-5,MOTOCICLETA
ROBLEDO C-7,A PIE
EL RINCON C-16,A PIE
PATIO BONITO C-14,TRANSPORTE PUBLICO
BARRIO COLON C-10,A PIE
LA CANDELARIA C-10,A PIE
PRADO C-10,A PIE
LA CANDELARIA C-10,A PIE
EL POBLADO C-14,A PIE
CALLE NUEVA C-10,TRANSPORTE PUBLICO
NARANJAL C-11,MOTOCICLETA
BOLIVARIANA C-11,A PIE
LA CANDELARIA C-10,TRANSPORTE PUBLICO
LA CANDELARIA C-10,A PIE
EL POBLADO C-14,A PIE
BUENOS AIRES,A PIE
CHIQUINQUIRA,A PIE
CENTRO,A PIE
AMBERES,A PIE
AMBERES,A PIE
BARRIO CENTRAL,A PIE
BARRIO LIBERTADOR,A PIE
CENTRO,A PIE
NOGALES,A PIE
TOVAR ZAMBRANO,A PIE
LOS CONSTRUCTORES,A PIE
EL TRIUNFO,A PIE
JUAN XXIII BAJO,A PIE
AEROCIVIL,A PIE
SAN JOSE,A PIE
SANTA HELENA,A PIE
ALAMOS II,A PIE
LA NEVADA,A PIE
LOS MAYALES,A PIE
ALFONSO LOPEZ,A PIE
POLICARPA,MOTOCICLETA
ALTOS DEL REDIL E-1,TRANSPORTE PUBLICO
CHAPINERO CENTRAL E-2,A PIE
RICAURTE E-14,A PIE
SAN RAFAEL INDUSTRIAL E-16,A PIE
EL RINCON E-11,A PIE
SAN CRISTOBAL E-4,A PIE
AURES II E-11,A PIE
BRASILIA I SECTOR E-7,A PIE
LOS MOLINOS DEL VIENTO E-1,A PIE
SAN JOSE SUR E-18,A PIE
LA PAZ E-12,VEHICULO
ESTADOS UNIDOS   E-8,A PIE
LA PRIMAVERA E-7,A PIE
SANTA MARIA DEL LAGO E-10,A PIE
SANTA HELENA E-11,A PIE
SANTA HELENITA E-10,A PIE
CENTENARIO E-9,BICICLETA
LA PONDEROSA E-16,A PIE
MARLY E-2,TRANSPORTE PUBLICO
TEUSAQUILLO E-13,A PIE
GRAN BRITALIA E-8,TRANSPORTE PUBLICO
LA ESTACION E-7,A PIE
ANTIGUO COUNTRY E-2,TRANSPORTE PUBLICO
RESTREPO E-15,TRANSPORTE PUBLICO
URB. LOS EJIDOS E-16,A PIE
MODELIA E-9,A PIE
SANTA FE E-14,A PIE
GALERIAS E-13,TRANSPORTE PUBLICO
LA FISCALA E-5,A PIE
MARLY E-2,A PIE
MODELO E-12,A PIE
EL PORVENIR E-5,A PIE
URB. NUEVA AUTOPISTA E-1,TRANSPORTE PUBLICO
EL BOSQUE SAN ANTONIO E-1,TRANSPORTE PUBLICO
NORMANDIA E-10,A PIE
CHAPINERO CENTRAL E-2,A PIE
EL DORADO E-3,A PIE
PREDIO CORINTO E-11,A PIE
CENTRO FONTIBON E-9,A PIE
SAN ANTONIO E-1,A PIE
URB. SAN EUSEBIO E-16,A PIE
CENTRO ADMINISTRATIVO E-17,A PIE
POLO CLUB E-12,A PIE
FLORIDA BLANCA E-10,A PIE
LAS NIEVES E-3,A PIE
LA LAGUNA E-9,A PIE
LA GRANJA E-10,A PIE
SAN CRISTOBAL E-1,A PIE
EL RINCON E-11,A PIE
TEUSAQUILLO E-13,A PIE
EL CENTENARIO E-18,A PIE
URB. TOBERIN E-1,A PIE
NORMANDIA E-10,A PIE
PRADO PINZON E-11,A PIE
MARTIRES E-14,VEHICULO
SAN FELIPE E-12,A PIE
EL PALMAR E-10,A PIE
LA CABRERA E-2,A PIE
AEROPUERTO EL DORADO,A PIE
JOSE ANTONIO GALAN E-7,A PIE
TEUSAQUILLO E-13,A PIE
GRAN BRITALIA E-8,A PIE
LA LIBERIA E-1,TRANSPORTE PUBLICO
LA FRAGUA E-15,A PIE
CENTRO,A PIE
CENTRO,A PIE
JOSE PRUDENCIO PADILLA,A PIE
VILLA JARDIN,A PIE
ENTRERIOS,A PIE
CAMILO TORRES,A PIE
URB. BELLAVISTA,A PIE
EL LIMONAR,TRANSPORTE PUBLICO
DARIO ECHANDIA,A PIE
PRADO ALTO,A PIE
VENECIA,A PIE
LAS FERIAS,A PIE
PRADO ALTO,A PIE
SAN MATEO,A PIE
SAN MATEO,A PIE
MAMATOCO,A PIE
NACHO VIVES,A PIE
BAVARIA COUNTRY,A PIE
CENTRO,A PIE
CENTRO,A PIE
TRIUNFO,A PIE
BELLO HORIZONTE,A PIE
LA CEIBA,TRANSPORTE PUBLICO
ROSA BLANCA,A PIE
VILLA JULIA,TRANSPORTE PUBLICO
SANTA FE,A PIE
GAVIOTAS,A PIE
ESTERO,A PIE
TOTORAL,A PIE
CENTRO,A PIE
CENTRO,A PIE
AV. SANTANDER,A PIE
AV. SANTANDER,A PIE
SANTA BARBARA,A PIE
PALERMO,A PIE
BARRIO PANAMERICANO,A PIE
BARRIO LOS ACACIOS,A PIE
CIUDADELA VILLA DEL PRADO,A PIE
CINCUENTENARIO,A PIE
TERMINAL DE TRANSPORTES,A PIE
SAMARIA I,A PIE
PROVIDENCIA,VEHICULO
LA UNIVERSIDAD,A PIE
CABECERA DEL LLANO,A PIE
CENTRO,A PIE
EL TEJAR,A PIE
LA FLORA,A PIE
CABECERA DEL LLANO,A PIE
ALAMEDA DE CANHAVERAL,A PIE
LA RIOJA,A PIE
LA CANTERA,A PIE
QUINTA GRANADA,A PIE
VRDA. LA TIGRERA,A PIE
CENTRO,A PIE
IBAGUE 2000,A PIE
LA UNION,A PIE
LA UNION,A PIE
CENTRO,A PIE
CENTRO,A PIE
LA PRADERA,A PIE
CENTRO,A PIE
PUEBLO NUEVO,A PIE
CANHAVERAL,A PIE
CANHAVERAL,A PIE
VALLE DEL CAUCA,A PIE
URB. RIO LILI E22,TRANSPORTE PUBLICO
LOURDES E18,A PIE
SAN PEDRO E3,A PIE
LA HACIENDA E17,A PIE
TERRON COLORADO E1,A PIE
EL RETIRO E15,MOTOCICLETA
SAN CRISTOBAL E10,A PIE
SAAVEDRA GALINDO E8,A PIE
EL RETIRO E15,A PIE
LOURDES E18,VEHICULO
SALOMIA E4,A PIE
LILI E17,A PIE
SAN PEDRO E3,A PIE
CIUDADELA FLORALIA E6,A PIE
EL CORTIJO E20,A PIE
NUEVA GRANADA E19,TRANSPORTE PUBLICO
EL HOYO E3,TRANSPORTE PUBLICO
SAN VICENTE E2,A PIE
LA MERCED E3,A PIE
EL INGENIO E17,A PIE
VIA CAVASA,A PIE
SANTA RITA,A PIE
NIQUIA BIFAMILIAR,A PIE
CIUDAD NIQUIA,MOTOCICLETA
EL REMANZO,VEHICULO
LA SEBASTIANA,A PIE
LAS VEGAS,A PIE
LAS VEGAS,VEHICULO
CARIBE C-5,A PIE
CERRO NUTIBARA C-16,TRANSPORTE PUBLICO
SAN JAVIER 2 C-13,A PIE
EL RINCON C-16,A PIE
SAN LUCAS C-14,A PIE
LA CANDELARIA C-10,A PIE
CARIBE C-5,A PIE
VILLANUEVA C-10,A PIE
LA CANDELARIA C-10,A PIE
LAS ACACIAS C-11,MOTOCICLETA
LA CANDELARIA C-10,A PIE
TENCHE C-15,A PIE
EL POBLADO C-14,A PIE
LA PILARICA C-7,A PIE
LA FLORESTA C-12,VEHICULO
EL POBLADO C-14,A PIE
LA CANDELARIA C-10,VEHICULO
LA CANDELARIA C-10,BICICLETA
LA CANDELARIA C-10,A PIE
ALTAVISTA C-16,A PIE
CARLOS E. RESTREPO C-11,VEHICULO
CARLOS E. RESTREPO C-11,VEHICULO
PEDREGAL C-6,A PIE
NARANJAL C-11,A PIE
JUAN XXIII - LA QUIEBRA C-13,A PIE
LA CANDELARIA C-10,A PIE
EL SANTUARIO,TRANSPORTE PUBLICO
CENTRO,A PIE
SAUSALITO,A PIE
SAUSALITO,A PIE
BARRIO CENTRO,A PIE
BRR. VILLA ROUSSE,A PIE
LOS MANGOS,A PIE
BARRIO GALERIAS,A PIE
BARRIO GALERIAS,A PIE
BARRIO GALERIAS,A PIE
BARRIO VERSALLES,VEHICULO
CENTRO,A PIE
EL ROSAL,A PIE
EL CENTRO,A PIE
EL CENTRO,A PIE
VERSALLES,A PIE
BELLO HORIZONTE,A PIE
EL BOSQUE,A PIE
CIUDAD JARDIN,VEHICULO
LLANO LARGO,A PIE
CENTRO,TRANSPORTE PUBLICO
BELEN,A PIE
VILLA CONCHA,A PIE
EL CENTENARIO E-18,A PIE
CANDELARIA III-IV E-19,A PIE
LOS HAYUELOS E-9,A PIE
SAGRADO CORAZON E-3,A PIE
RICAURTE E-14,A PIE
BOITA E-8,A PIE
SAN ANTONIO E-15,A PIE
SANTA TERESITA E-13,A PIE
POTRERILLOS DE SUBA E-11,A PIE
7 DE AGOSTO E-12,VEHICULO
EL RINCON E-11,A PIE
LAS DELICIAS   E-8,A PIE
VERACRUZ E-3,A PIE
URB. VILLA SONIA E-16,A PIE
CHAPINERO CENTRAL E-2,A PIE
PATIO BONITO I E-8,BICICLETA
CIUDAD KENNEDY CENTRAL E-8,A PIE
EL CAMPIN E-13,TRANSPORTE PUBLICO
RIO NEGRO NORTE E-12,A PIE
SANTA INES E-3,A PIE
NORMANDIA E-10,A PIE
CHAPINERO CENTRAL E-2,A PIE
SANTA HELENITA E-10,TRANSPORTE PUBLICO
SANTA MARIA DEL LAGO E-10,A PIE
CHAPINERO NORTE E-2,TRANSPORTE PUBLICO
LA TOSCANA E-11,A PIE
LA LIBERTAD E-7,TRANSPORTE PUBLICO
LOURDES E-2,A PIE
BUENA VISTA E-1,A PIE
CARVAJAL E-8,TRANSPORTE PUBLICO
POLICARPA SALAVARRIETA E-1,TRANSPORTE PUBLICO
FONTIBON CENTRO E-9,A PIE
LAS AGUAS E-17,A PIE
FONTIBON CENTRO E-9,A PIE
LOS CEDRITOS E-1,A PIE
SAN JOSE DEL PRADO E-11,A PIE
SAN VICTORINO E-3,A PIE
SAN EUGENIO E-7,A PIE
SUCRE E-2,TRANSPORTE PUBLICO
VILLA DEL ROSARIO E-16,A PIE
EL RESTREPO E-15,A PIE
MINUTO DE DIOS E-10,TRANSPORTE PUBLICO
NUEVO KENNEDY E-8,A PIE
LA ESTANZUELA E-14,A PIE
LA FAVORITA E-14,A PIE
LA CABRERA E-2,A PIE
SOCIEGO E-4,A PIE
CIUDAD SALITRE II E-13,A PIE
MARCO FIDEL SUAREZ E-18,A PIE
CENTRO,A PIE
CENTRO,A PIE
PARAISO,A PIE
VILLA SHARIN,A PIE
CENTRO,A PIE
SAN PEDRO,A PIE
CENTRO,A PIE
CARRENHO,A PIE
CENTRO,A PIE
ALCAZARES,A PIE
TAIRONA 1-2,A PIE
MANCERA,A PIE
CENTRO,A PIE
DONHA LUZ,A PIE
BARZAL ALTO,TRANSPORTE PUBLICO
MONTECARLO,A PIE
CANAAN,A PIE
VEREDA EL CARMEN,A PIE
MARACOS,A PIE
MARACOS,A PIE
CENTRO,A PIE
BOLIVAR,A PIE
MORASURCO,A PIE
NUEVO SOL,A PIE
SAN FELIPE,A PIE
CENTRO,A PIE
CENTRO,A PIE
CALLE NUEVA CREACION,A PIE
SAN LUIS,A PIE
BARRIO QUINTA ORIENTAL,A PIE
BARRIO TRIGAL DEL NORTE,A PIE
BARRIO CHAPINERO,A PIE
CENTRO,A PIE
"MONTEBLANCO  I,II Y III",A PIE
LA ESNEDA,A PIE
CENTRO (A) PEREIRA,A PIE
CENTRO (A) PEREIRA,A PIE
CENTRO (A) PEREIRA,A PIE
PLAZA CIVICA CIUDAD VICTORIA,A PIE
SECTOR PLAZA DE BOLIVAR,A PIE
SECTOR PLAZA DE BOLIVAR,A PIE
SAN FERNANDO,A PIE
PARQUE GUADALUPE ZAPATA,A PIE
CENTRO (A) PEREIRA,A PIE
SECTOR CARCEL LA 40,A PIE
B. EL MANANTIAL I,A PIE
B. CENTRO,A PIE
BARRIO MODELO I,A PIE
ALTOS DEL CAMPESTRE,A PIE
CINCUENTENARIO,A PIE
SAN LUIS,A PIE
LA CONCORDIA,A PIE
LA CONCORDIA,A PIE
ALFONSO LOPEZ,A PIE
CENTRO,A PIE
ANTONIA SANTOS,VEHICULO
CENTRO,TRANSPORTE PUBLICO
CENTRO,A PIE
CASCO ANTIGUO DE FLORIDABLANCA,A PIE
PORTAL SIGLO XXI,A PIE
LA CUMBRE,A PIE
HACIENDA SAN JUAN,A PIE
MOLINOS BAJOS,A PIE
EL PALENQUE,A PIE
SAN CARLOS,A PIE
CENTRO,A PIE
NUEVA CASTILLA,A PIE
RICAURTE PARTE ALTA,A PIE
AMBALA,A PIE
VRDA. EL PALMAR,A PIE
SAN LUIS,VEHICULO
PRADOS DEL NORTE E2,TRANSPORTE PUBLICO
EL JARDIN E11,A PIE
BRISAS DE MAYO E20,A PIE
CAMINO REAL - J BORRERO E19,VEHICULO
EL PENHON E3,A PIE
EL REMANSO E21,A PIE
SAN FERNANDO NUEVO E19,A PIE
LOS CONQUISTADORES E11,A PIE
POTRERO GRANDE E21,A PIE
MOJICA E15,TRANSPORTE PUBLICO
CHIPICHAPE E2,A PIE
TERRON COLORADO E1,A PIE
CIUDAD 2000 E16,A PIE
LA INDEPENDENCIA E11,A PIE
MAYAPAN - LAS VEGAS E17,A PIE
EL REFUGIO E19,A PIE
JULIO RINCON E12,TRANSPORTE PUBLICO
EL LIDO E19,A PIE
LA ESMERALDA E4,A PIE
LA NUEVA BASE E8,A PIE
URB. BUENOS AIRES,VEHICULO
CENTRAL,A PIE
ARROYOHONDO ZONA INDUSTRIAL (25-2),A PIE
SECTOR INDUSTRIAL ACOPI  (25-2),A PIE
VIA YUMBO CALI (25-1 25-2),A PIE
EL TRAPICHE,A PIE
VDA. HATOVIEJO,A PIE
SAN JOSE OBRERO,A PIE
SAN FERNANDO,A PIE
LA PILARICA C-7,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
FLORIDA NUEVA C-11,A PIE
MANRIQUE 1  C-4,A PIE
ROBLEDO C-7,A PIE
PEDREGAL C-6,MOTOCICLETA
LAURELES C-11,A PIE
LA CANDELARIA C-10,A PIE
MANRIQUE 2  C-3,A PIE
SAN JOAQUIN C-11,A PIE
LA CANDELARIA C-10,A PIE
TEJELO C-5,A PIE
SANTA CRUZ  C-2,A PIE
OCHO DE MARZO  C-9,A PIE
VDA. LAS PALMAS STA. E.,VEHICULO
VILLAS DE LA CORDIALIDAD,TRANSPORTE PUBLICO
CALIFORNIA,A PIE
SAN JOSE,A PIE
LA MARIA,A PIE
CENTRO,A PIE
SECTOR CARRATAPLAN,A PIE
PLAZA DE TOROS,A PIE
BARRIO LOS AGUSTINOS,A PIE
LA LINDA,A PIE
CIUDADELA HABITACIONAL SIGLO XXI,A PIE
ABBAS TURBAY,A PIE
CASIQUIARE,A PIE
PROGRESO II,A PIE
PROGRESO II,A PIE
LA CAMPINHA,TRANSPORTE PUBLICO
JOSE MARIA OBANDO,A PIE
EL EMPEDRADO,A PIE
RETIRO BAJO,A PIE
NUEVA ESPERANZA,A PIE
NUEVA ESPERANZA,A PIE
CHIRIQUI,A PIE
LA VICTORIA,A PIE
NUEVA BELEN,BICICLETA
SANTA ELENA,A PIE
CHAPINERO NORTE E-2,A PIE
VILLA MARIA II E-11,A PIE
PATIO BONITO I E-8,A PIE
CHICO I E-2,A PIE
SANTA ROSA E-10,A PIE
LA CALLEJA E-1,A PIE
MOLINOS DEL SUR E-18,A PIE
URB. VILLA ALSACIA E-8,A PIE
LA SERENA E-10,A PIE
GUSTAVO RESTREPO E-18,A PIE
LA VICTORIA E-4,A PIE
SANTA ROSA E-10,A PIE
LAS AGUAS E-3,A PIE
PARQUE EL TUNAL E-6,A PIE
LA CANDELARIA E-17,A PIE
VEINTE DE JULIO E-4,TRANSPORTE PUBLICO
LAS AMERICAS E-8,A PIE
GORGONZOLA E-16,TRANSPORTE PUBLICO
SANTA BARBARA CENTRAL E-1,A PIE
EL RETIRO E-2,A PIE
PUENTE GRANDE E-9,A PIE
SANTA FE E-14,A PIE
EL RETIRO E-2,A PIE
PIAMONTE E-7,A PIE
QUINTA RAMOS E-4,A PIE
ARMENIA E-13,A PIE
LA CALLEJA E-1,A PIE
SAN JORGE E-18,A PIE
TEQUENDAMA   E-8,A PIE
VENECIA E-6,A PIE
CIUDAD SALITRE E-9,A PIE
SAN BERNARDINO E-7,TRANSPORTE PUBLICO
JORGE GAITAN CORTES E-16,A PIE
NORMANDIA E-10,A PIE
CENTRO,A PIE
URB. MAJAYURA I ETAPA,TRANSPORTE PUBLICO
MIRA RIO ETAPA I,A PIE
MIRA RIO ETAPA I,A PIE
ESTADIO DE FUTBOL,A PIE
LOS ALMENDROS,MOTOCICLETA
VILLA COLOMBIA,A PIE
CENTRO,A PIE
PASTRANA,TRANSPORTE PUBLICO
BALCONES DEL LIBERTADOR,A PIE
MARIA EUGENIA,A PIE
SAN ANTONIO,A PIE
7 DE AGOSTO,A PIE
MACARENA,A PIE
MACARENA,A PIE
LA ESPERANZA,TRANSPORTE PUBLICO
AV. CHAMPAGNAT,A PIE
LA AURORA,A PIE
AV. LAS AMERICAS,A PIE
LAS CUADRAS,A PIE
BARRIO LA PLAYA,A PIE
LAS COLINAS,MOTOCICLETA
PARQUE PRINCIPAL,A PIE
BERLIN,A PIE
EL ESTADIO,A PIE
COROCITO,A PIE
COROCITO,A PIE
SECTOR GALERIA CENTRAL,A PIE
BARRIO SARIE BAY,VEHICULO
PROVENZA,A PIE
LA SALLE,A PIE
GRANADA,VEHICULO
URB. CIUDAD BOLIVAR,A PIE
PROVENZA,A PIE
CENTRO,A PIE
