BARRIO,MARCA
BOCHICA E-16,SAMSUNG
RESTREPO E-15,MOTOROLA
SAN CRISTOBAL E-4,LENOVO
TINTALITO E-8,-
CAMPO MADRID,HUAWEI
ALCALA  E-11,-
DIANA TURBAY E-18,SAMSUNG
LAS MARGARITAS E-8,SAMSUNG
"LA SOLEDAD, SAN JOSE NORTE E-10",SAMSUNG
CENTRO,-
CENTRO,APPLE
CENTRO,NOKIA
CENTRO,SAMSUNG
CENTRO,SAMSUNG
SANTA LIBRADA,LG
CENTRO,SAMSUNG
CIUDADELA 29 DE JULIO,HUAWEI
VISTA HERMOSA,SAMSUNG
CIUDADELA 29 DE JULIO,SAMSUNG
BARZAL ALTO,ALCATEL
MARACOS,SAMSUNG
CANAAN,SAMSUNG
CENTENARIO,LENOVO
PANAM,SAMSUNG
PANAM,LG
MOCONDINO,SAMSUNG
EL PILAR,LENOVO
CHAMBU I,MOTOROLA
SENDOYA,HUAWEI
NAVARRETE,SAMSUNG
EL EJIDO,HUAWEI
BARRIO TOLEDO PLATA,SONY
BRISAS DEL MIRADOR,MOTOROLA
BARRIO PRADOS DEL ESTE,APPLE
BARRIO QUINTA ORIENTAL,LG
BARRIO SEVILLA,AVVIO
BARRIO CEIBA,SAMSUNG
BRISAS DEL BARRIO MIRADOR,LANIX
URBANIZACION TRAPICHES,ALCATEL
MIRAFLOREZ,AVVIO
COROCITO,ALCATEL
KENNEDY,LG
SECTOR PARQUE LA LIBERTAD,SONY
SECTOR PARQUE LA LIBERTAD,LG
SECTOR CENTRO,SAMSUNG
EL TRAPICHE,ALCATEL
EL PARNASO,MOTOROLA
SAN FRANCISCO,HUAWEI
LA VICTORIA,LG
SOTOMAYOR,ALCATEL
SOTOMAYOR,SAMSUNG
SAN ALONSO,SAMSUNG
SAN ALONSO,SAMSUNG
CENTRO,HUAWEI
SAN FRANCISCO,LENOVO
LA INMACULADA,HUAWEI
LA RONDA I,HUAWEI
VERSALLES I,AVVIO
CIUDADELA NUEVO GIRON,ALCATEL
PORTAL CAMPESTRE,SAMSUNG
CENTRO,MOTOROLA
LA BASTILLA,HUAWEI
ESTACION,SAMSUNG
JORDAN IX ETAPA,SAMSUNG
TULIO VARON,SAMSUNG
NUEVA TEQUENDAMA E19,HUAWEI
SAN NICOLAS E3,SAMSUNG
EL LIMONAR E17,SAMSUNG
URB. COLSEGUROS E19,MOTOROLA
OMAR TORRIJOS E13,SAMSUNG
ALFONSO LOPEZ I E7,ALCATEL
TERRON COLORADO E1,NOKIA
TIERRA BLANCA E20,SAMSUNG
SAN PEDRO E3,SAMSUNG
SAN PEDRO CLAVER E11,NOKIA
CENTENARIO E2,APPLE
PAMPA LINDA E19,SAMSUNG
SEC LOS MANGOS E19,SAMSUNG
JORGE ELIECER GAITAN E6,MOTOROLA
SANTA ELENA E10,HUAWEI
LLANO VERDE E15,APPLE
EL JARDIN E11,HUAWEI
EL JARDIN E11,ZTE
MARIA AUXILIADORA (23-3),APPLE
BOLIVAR,ALCATEL
SAN VICENTE,ALCATEL
PORTAL DE JORDAN E24,SAMSUNG
JUAN PABLO SEGUNDO,SAMSUNG
SANTA TERESITA,AVVIO
VILLA CLAUDIA,SAMSUNG
VIA PALMASECA - ROZO - CERRITO,SAMSUNG
VIA CENCAR - AEREOPUERTO,LENOVO
EL PALMAR,SAMSUNG
EL PALMAR,HUAWEI
LAS VEGAS,SAMSUNG
ZONA CENTRO,SAMSUNG
SAN CAYETANO,APPLE
LA DALIA,SAMSUNG
LA CANDELARIA C-10,OTRA
CAMPO AMOR C-15,APPLE
CAMPO VALDES 1  C-4,HUAWEI
PATIO BONITO C-14,MOTOROLA
GUAYAQUIL C-10,HUAWEI
CERRO EL VOLADOR C-7,HUAWEI
LA CANDELARIA C-10,APPLE
EL RINCON C-16,HUAWEI
ESTADIO C-11,SAMSUNG
LA CANDELARIA C-10,MOTOROLA
PERPETUO SOCORRO C-10,SAMSUNG
PRADO C-10,APPLE
SEVILLA  C-4,AVVIO
EL CHAGUALO C-10,LANIX
SAN ISIDRO,SAMSUNG
BRUSELAS,-
PARQUE DAVID GUARIN,HUAWEI
URBANIZACION LA MONTANHA,SAMSUNG
BARRIO EL POLO,MOTOROLA
MANZANARES,SAMSUNG
UNIVERSITARIO,-
URIBE URIBE,SAMSUNG
BARRIO LA NIEVES,HUAWEI
BARRIO GALERIAS,-
ALTA SUIZA,SAMSUNG
CENTRO,SAMSUNG
EL PROGRESO,AVVIO
EL PROGRESO,APPLE
PROVIVIENDA,OTRA
LOS ALAMOS,HUAWEI
VARIANTE NORTE,MOTOROLA
VALENCIA,SAMSUNG
CENTRO,APPLE
SAN JOSE,SAMSUNG
SAN JOSE,HUAWEI
CENTRO,SAMSUNG
LOS CORTIJOS,HUAWEI
CASIMIRO MASTRE,SAMSUNG
CASIMIRO MASTRE,HUAWEI
5 DE NOVIEMBRE,APPLE
LOS CACIQUES,MOTOROLA
LAS FLORES,HUAWEI
LOS ANGELES,SAMSUNG
LOS ANGELES,MOTOROLA
PANZENU,-
COLON,SAMSUNG
EL POA E-11,SAMSUNG
LA CALLEJA E-1,MOTOROLA
POLO OCCIDENTAL E-12,SAMSUNG
MARTIRES E-14,-
LAGO GAITAN E-2,-
BOSQUES DE SAN JORGE E-11,-
LAS NIEVES E-3,-
PATIO BONITO I E-8,MOTOROLA
URB. CLARET EL CARMEN E-6,-
URB. LA FRAGUITA E-15,-
LA CASTELLANA E-12,-
ALMACEN 3 ELEFANTES MODELIA E-9,-
PATIO BONITO I E-8,-
SANTA BARBARA CENTRAL E-1,LENOVO
TEUSAQUILLO E-13,ALCATEL
OLARTE E-7,HUAWEI
BILBAO E-11,ZTE
QUIROGA IHS ETAPA E-18,-
BOYACA REAL E-10,MOTOROLA
MEDITERRANEO E-1,HUAWEI
LOS MOLINOS DEL SUR E-18,HUAWEI
EL POA E-11,-
LAS VILLAS I SECTOR E-11,SAMSUNG
UNIDAD RESIDENCIAL AYACUCHO E-8,-
EL POA E-11,-
MARLY E-2,SAMSUNG
SALAZAR GOMEZ E-16,-
LA SOLEDAD E-13,SAMSUNG
BELLAVISTA E-8,-
SUCRE E-2,SONY
CENTRO ADMINISTRATIVO E-17,LG
CHAPINERO CENTRAL E-2,-
NORMANDIA E-10,-
SANTA BARBARA E-1,-
CHAPINERO ALTO E-2,SAMSUNG
LUNA PARK I SECTOR E-15,HUAWEI
GRAN COLOMBIANO E-8,-
MODELIA E-9,OTRA
BONANZA E-10,HUAWEI
URB. PUENTE ARANDA E-16,-
SAN VICTORINO E-14,SAMSUNG
NIZA NORTE E-11,APPLE
EL VERGEL CHICO E-9,HUAWEI
URB. EL BATAN E-11,-
URB. CARLOS ALBAN HOLGUIN E-7,-
BUENOS AIRES,SAMSUNG
LAS VILLAS,HUAWEI
VEREDA JERUSALEN,AVVIO
CENTRO,SAMSUNG
ALTICO,HUAWEI
PORVENIR,SAMSUNG
SOLARTE,SAMSUNG
VILLA DEL RIO I     (C-1),ALCATEL
SACAPITA,HUAWEI
EL PORVENIR,HUAWEI
URB. EL MILAGROSO,ALCATEL
LOS COCOS,APPLE
LA ESPERANZA,SAMSUNG
CENTRO,MOTOROLA
SIMON BOLIVAR,ZTE
LEON XIII,SAMSUNG
CENTRO,SAMSUNG
CGTO. DE OBONUCO,HUAWEI
POTRERILLO,SAMSUNG
AV. ESTUDIANTES,MOTOROLA
AV. SANTANDER,ALCATEL
NAVARRETE,SAMSUNG
TEJAR,SAMSUNG
BARRIO CENTRO,ALCATEL
BARRIO CARLOS PIZARRO,SAMSUNG
BARRIO CENTRO,APPLE
BARRIO BRISAS DEL LLANO,ALCATEL
GUADUALES DE LA VILLA,HUAWEI
"QUINDOS I, II Y III",SAMSUNG
ACACIAS,SAMSUNG
LAS COLINAS,SONY
SAN MARCOS,HUAWEI
SECTOR AVENIDA CIRCUNVALAR,APPLE
BUENOS AIRES,HUAWEI
SECTOR PARQUE LA LIBERTAD,SAMSUNG
CABECERA DEL LLANO,MOTOROLA
CENTRO,MOTOROLA
LA PEDREGOSA,SAMSUNG
CABECERA DEL LLANO,APPLE
CAFE MADRID,-
SAN ALONSO,SAMSUNG
URB. HEROES,SAMSUNG
TERRAZAS,HUAWEI
LA GLORIA,OTRA
BELLAVISTA P/TA,OTRA
GAITAN,ALCATEL
LA POLA,MOTOROLA
JORDAN II ETAPA,SAMSUNG
PIJAO,MOTOROLA
SANTA HELENA,SAMSUNG
JORDAN VII ETAPA,MOTOROLA
KENEDY,HUAWEI
POPULAR,SAMSUNG
GALARZA,SAMSUNG
LOS CAMBULOS,SAMSUNG
INDEPENDENCIA,SAMSUNG
EL LIMONAR E17,APPLE
SAN PEDRO E3,SAMSUNG
CIUDAD TALANGA E21,NOKIA
MANUELA BELTRAN E14,SAMSUNG
SAN FERNANDO NUEVO E19,MOTOROLA
TORRES DE CONFANDI E5,BLU
CALYPSO E13,NOKIA
CALYPSO E13,OTRA
LAS QUINTAS DE DON SIMON E17,SAMSUNG
CHAMPAGNAT E19,HUAWEI
URB. CIUDAD JARDIN E22,APPLE
PRADOS DEL NORTE E2,HUAWEI
ALFONSO B. ARAGON E14,SAMSUNG
LAS ACACIAS E10,APPLE
CENTRO (LETICIA),SAMSUNG
NAVARRA,HUAWEI
LA CABANHA,HUAWEI
LAS ACACIAS C-11,ASUS
EL POBLADO C-14,SAMSUNG
NARANJAL C-11,ALCATEL
LA PINHUELA  C-4,SAMSUNG
SEVILLA  C-4,LG
PARQUE NORTE C-4,MOTOROLA
PATIO BONITO C-14,SAMSUNG
CALLE NUEVA C-10,SAMSUNG
DIEGO ECHAVARRIA C-16,HUAWEI
LOS COLORES C-11,MOTOROLA
BOSTON C-10,LENOVO
BARRIO COLON C-10,ALCATEL
SAN PEDRO  C-4,ALCATEL
VILLANUEVA C-10,SAMSUNG
LOS GUARATAROS,SAMSUNG
OLAYA,MOTOROLA
EL ROSARIO,SAMSUNG
COSTA HERMOSA,MOTOROLA
VILLA DEL CARMEN,SAMSUNG
BOYACA,MOTOROLA
SOLANO,APPLE
BARRIO BELLO HORIZONTE,ALCATEL
URBANIZACION URAZANDY,SAMSUNG
VILLA OROZCO,SAMSUNG
VILLA OROZCO,SAMSUNG
VILLA OROZCO,SAMSUNG
BARRIO LA PALMA,HUAWEI
UNIVERSIDAD DE CALDAS,SAMSUNG
EL RAICERO,HUAWEI
EL PAJONAL,HUAWEI
LICEO,MOTOROLA
SAN RAFAEL,HUAWEI
LA ESMERALDA,SAMSUNG
POTOSI,HUAWEI
ALFONSO LOPEZ,APPLE
OBRERO,SAMSUNG
URB.POPULANDIA,SAMSUNG
ALFONSO LOPEZ,AZUMI
GARUPAL II,SAMSUNG
CENTRO,HUAWEI
CENTRO,APPLE
12 DE OCTUBRE,SAMSUNG
SIMON BOLIVAR,LG
LA PRADERA,SAMSUNG
JOSE ANTONIO GALAN E-7,MOTOROLA
LA PORCIUNCULA E-2,MOTOROLA
FONTIBON CENTRO E-9,SAMSUNG
SAN RAFAEL E-4,-
TORRELADERA CASABLANCA E-11,OTRA
EL RINCON DE SUBA E-11,-
MONTEVIDEO E-9,-
NUEVA GRANADA E-7,-
PARDO RUBIO E-2,-
URB. VILLA SONIA E-16,AVVIO
VILLA DEL PRADO E-11,-
EL CENTENARIO E-18,SAMSUNG
HIPOTECHO OCCIDENTAL E-8,-
LA IGUALDAD E-8,SAMSUNG
RESTREPO E-15,-
ALBRICIAS E-11,SONY
SANTA LIBRADA E-5,-
SAN ANTONIO E-7,-
TOBERIN ORIENTAL E-1,LENOVO
EL VERGEL E-14,-
CENTRO NORTE USAQUEN E-1,HUAWEI
CHAPINERO CENTRAL E-2,-
SANTA SOFIA E-12,MOTOROLA
CHAPINERO CENTRAL E-2,MOTOROLA
SIMON BOLIVAR E-12,OTRA
CONJUNTO RESIDENCIAL LA PRADERA E-1,LG
CHAPINERO CENTRAL E-2,-
UNICENTRO E-1,-
URB. MARSELLA E-8,LG
BOSA CENTRO E-7,LG
CHICO NORTE I E-2,APPLE
CHICO I E-2,HUAWEI
URB. PUENTE ARANDA E-16,APPLE
LAS AGUAS E-3,HUAWEI
SAN MARTIN E-12,SAMSUNG
BOCHICA E-10,OTRA
CIUDAD KENNEDY CENTRAL E-8,LG
BELLA SUIZA E-1,SAMSUNG
BRASILIA I SECTOR E-7,SAMSUNG
EL MUELLE  E-10,-
DANUBIO AZUL E-5,NOKIA
CENTRO,APPLE
NUEVO HORIZONTE,HUAWEI
ALTICO,MOTOROLA
SAN FERNANDO (C-4),HUAWEI
SAN FERNANDO (C-4),NOKIA
MARIA EUGENIA,MOTOROLA
CENTRO,SAMSUNG
CENTRO,HUAWEI
LA ESPERANZA,HUAWEI
POPULAR,SAMSUNG
PANORAMA,SAMSUNG
CHAPAL,SAMSUNG
CENTRO,SAMSUNG
FATIMA,ALCATEL
VILLAFLOR II,MOTOROLA
LA FLORESTA,SAMSUNG
SAN ANDRESITO,LG
CENTRO,HUAWEI
SAN IGNACIO,SAMSUNG
SAN IGNACIO,HUAWEI
AVENIDA BOYACA,MOTOROLA
BARRIO EL LLANO,HUAWEI
BARRIO QUINTA ORIENTAL,MOTOROLA
BARRIO SAN LUIS,HUAWEI
BARRIO LA VICTORIA,SAMSUNG
BARRIO SIMON BOLIVAR,AZUMI
BARRIO CENTRO,LANIX
SECTOR BALNEAREO TAIRONA,SAMSUNG
SECTOR BALNEAREO TAIRONA,SAMSUNG
TRES ESQUINAS,MOTOROLA
CONJ. RES. IBERICA,ALCATEL
GENESIS,SAMSUNG
ARCO IRIS,SAMSUNG
LA UNION,SAMSUNG
LUIS CARLOS GALAN,SAMSUNG
SANTA ISABEL 1,SAMSUNG
MARAYA,SAMSUNG
JARDIN I,MOTOROLA
CENTRO (A) PEREIRA,MOTOROLA
UNIVERSIDAD TECNOLOGICA,MOTOROLA
BOSTON,ALCATEL
MARAYA,SAMSUNG
CENTRO (A) PEREIRA,LG
AGUAS CLARAS,HUAWEI
ASTURIAS,MOTOROLA
PUERTA DEL SOL,HUAWEI
CENTRO,LENOVO
ANTONIA SANTOS,HUAWEI
CABECERA DEL LLANO,LG
BOLIVAR,MOTOROLA
CONUCOS,SAMSUNG
CONUCOS,MOTOROLA
CONUCOS,LG
CONUCOS,NOKIA
CONUCOS,-
CHORRERAS DE DON JUAN,SAMSUNG
BOSQUES DE BAVIERA,MOTOROLA
EL BOSQUE,LG
VDA. EL CARRIZAL,LG
ARENALES CAMPESTRE,SAMSUNG
EL POBLADO,SAMSUNG
EL POBLADO,HUAWEI
COMBEIMA,-
CARMENZA ROCHA,APPLE
TULIO VARON,LENOVO
CRISTOBAL COLON E10,LG
URB. TEQUENDAMA E19,APPLE
SAN PEDRO E3,HUAWEI
DIAMANTE E13,SAMSUNG
POTRERO GRANDE E21,MOTOROLA
PRIMERO DE MAYO E17,SAMSUNG
MARIANO RAMOS E16,SAMSUNG
URB. COLSEGUROS E19,HUAWEI
LLERAS RESTREPO E13,LG
GRANADA E2,APPLE
LAS DELICIAS E4,HUAWEI
COLSEGUROS ANDES E10,SAMSUNG
LOS CAMBULOS E19,SAMSUNG
LOS CAMBULOS E19,HUAWEI
LOS CAMBULOS E19,LG
EL LIDO E19,HUAWEI
EL LIDO E19,HUAWEI
URB. COLSEGUROS E19,SAMSUNG
NUEVA FLORESTA E12,SAMSUNG
VIPASA E2,SAMSUNG
COMPARTIR E21,SAMSUNG
LOS CAMINOS,SAMSUNG
MORRO PLANO,HUAWEI
ZAMORANO,ALCATEL
CRUCES E25,SAMSUNG
LA ASUNCION,AZUMI
LA FLORESTA C-12,SAMSUNG
LA FRONTERA  C-2,APPLE
PEDREGAL C-6,HUAWEI
LA CANDELARIA C-10,SAMSUNG
CARIBE C-5,SAMSUNG
LA CANDELARIA C-10,ALCATEL
BUENOS AIRES  C-9,HUAWEI
BARRIO COLON C-10,SAMSUNG
LA CANDELARIA C-10,ALCATEL
SURAMERICANA C-11,HUAWEI
LA CANDELARIA C-10,SONY
EL CHAGUALO C-10,SAMSUNG
EL POBLADO C-14,APPLE
DIEGO ECHAVARRIA C-16,SAMSUNG
LA CANDELARIA C-10,HUAWEI
BOLIVARIANA C-11,OTRA
FATIMA C-16,ALCATEL
LOS ANGELES C-10,ALCATEL
GUAYAQUIL C-10,MOTOROLA
EL POBLADO C-14,HUAWEI
LA MANSION C-8,APPLE
LA CANDELARIA C-10,SAMSUNG
SANTO DOMINGO  1 C-1,SAMSUNG
BOSTON C-10,MOTOROLA
VDA. PAJARITO S.C.,OTRA
LAS BRISAS C-5,LG
ESTADIO C-11,LG
SAN ISIDRO,-
ALTOS DEL PRADO,HUAWEI
VILLA CAROLINA,HUAWEI
BOSQUE INDUSTRIAL,-
MAMONAL,SAMSUNG
BARRIO BOYACA ALTO,SAMSUNG
BARRIO CENTRO,SAMSUNG
SOLANO,AVVIO
CIUDAD JARDIN,ALCATEL
VEINTE DE JULIO,SAMSUNG
BARRIO MUISCAS,HUAWEI
CENTRO,AVVIO
BARRIO GALERIAS,MOTOROLA
SECTOR LAS VALLAS,LG
SECTOR EL CABLE,MOTOROLA
LA ESTRELLA,APPLE
LAS AVENIDAS,APPLE
LOS ALMENDROS,SAMSUNG
INVASION 15 DE OCTUBRE,SAMSUNG
EL GAVAN,SAMSUNG
BOLIVAR,SAMSUNG
PERIODISTAS,HUAWEI
LOS NARANJOS,HUAWEI
LAS VEGAS,SAMSUNG
TULCAN,HUAWEI
SAN MARTIN,SAMSUNG
EL RECREO,SAMSUNG
LA ESPERANZA,SAMSUNG
1º DE MAYO,HUAWEI
LAS MARGARITAS,SAMSUNG
VEREDA QUEBRADONA,SAMSUNG
LA JULIA,LENOVO
LA PRADERA,HUAWEI
CGTO LA YE,HUAWEI
LIJACA E-1,HUAWEI
SAN PABLO E-7,-
TURINGIA E-11,-
ABRAHAM LINCON E-6,NOKIA
QUINTA PAREDES E-13,-
LAS MARGARITAS E-7,-
RAFAEL ESCAMILLA E-19,ALCATEL
CERRO VERDE E-2,-
CERRO VERDE E-2,-
CERRO VERDE E-2,-
LIJACA E-1,-
PATIO BONITO I E-8,SAMSUNG
TEUSAQUILLO E-13,HUAWEI
LOS GRUPOS E-19,HUAWEI
CASABLANCA I     E-8,-
CERROS DE ORIENTE E-18,-
LAS COLUMNAS E-4,-
MANDALAY I ETAPA E-8,-
SUBA CENTRO E-11,APPLE
CARVAJAL E-10,-
CHAPINERO ALTO E-2,HUAWEI
VILLA ALSACIA SECTOR A E-9,OTRA
LA CABRERA E-2,HUAWEI
EL TINTAL E-8,MOTOROLA
C. COMERCIAL SALITRE PLAZA E-9,-
LA TOSCANA E-11,-
SAN JOSE E-9,ASUS
PATIO BONITO I E-8,-
NIZA NORTE E-11,-
HACIENDA SANTA BARBARA I SECTOR E-1,HUAWEI
SUBA CENTRO E-11,SAMSUNG
SANTA LUCIA E-18,-
CHAPINERO CENTRAL E-2,SAMSUNG
QUIRIGUA I E-10,-
CERRO VERDE E-2,-
CERRO VERDE E-2,-
EL PATIO III SECTOR E-8,SAMSUNG
PARQUE SIMON BOLIVAR E-13,-
OLAYA E-18,SAMSUNG
URB. INDUSTRIAL PENSILVANIA E-16,HUAWEI
CHICO NAVARRA E-1,LENOVO
SAN JOAQUIN E-7,NOKIA
URB. CASA LINDA E-19,ZTE
BANDERAS E-8,HUAWEI
VILLA ELISA E-11,-
POLO CLUB E-12,-
CENTRO,APPLE
VEREDA LA ULAMA,SAMSUNG
VEREDA LA ULAMA,OTRA
ALTO EMAYA,SAMSUNG
VEREDA LLANO GRANDE,SAMSUNG
PESCAITO,HUAWEI
TAGANGA,HUAWEI
ESTERO,SAMSUNG
ESTERO,NOKIA
JORDAN,MOTOROLA
EL RETIRO,SAMSUNG
CENTRO,SAMSUNG
REMANSOS DE ROSA BLANCA,SAMSUNG
REMANSOS DE ROSA BLANCA,HUAWEI
REMANSOS DE ROSA BLANCA,HUAWEI
SAN FELIPE,SAMSUNG
ALTAMIRA,ALCATEL
POTRERILLO,SAMSUNG
POTRERILLO,AVVIO
EL ROSARIO,MOTOROLA
LA AURORA,SAMSUNG
PANDIACO,SAMSUNG
LA CAROLINA,HUAWEI
CENTRO,MOTOROLA
BARRIO CERRO NORTE,ALCATEL
URBANIZACION GARCIA HERREROS,HUAWEI
BARRIO LA VICTORIA,MOTOROLA
BARRIO EL PENHON,HUAWEI
GALAN,SAMSUNG
GALAN,APPLE
EL RECREO,SAMSUNG
ZONA CENTRO,SAMSUNG
SECTOR PLAZA DE BOLIVAR,SAMSUNG
BAVARIA,LENOVO
KENNEDY,SAMSUNG
SECTOR PLAZA DE BOLIVAR,HUAWEI
BARRIO MORRIS LANDING,SAMSUNG
SAN PEDRO CLAVER,LENOVO
BOSTON,SAMSUNG
CABECERA DEL LLANO,SAMSUNG
LA CONCORDIA,LENOVO
MUTIS,SAMSUNG
CENTRO,MOTOROLA
ALARCON,HUAWEI
SAN FRANCISCO,ALCATEL
CABECERA DEL LLANO,APPLE
GARCIA ROVIRA,HUAWEI
CENTRO,SAMSUNG
EL TEJAR,SONY
SAN FRANCISCO,HUAWEI
CANHAVERAL,MOTOROLA
OSPINA PEREZ,SAMSUNG
EL PROGRESO,SAMSUNG
EL PROGRESO,SAMSUNG
CIUDAD SATELITE,MOTOROLA
CIUDAD SATELITE,ALCATEL
LA FRANCIA,SAMSUNG
RICAURTE PARTE BAJA,SAMSUNG
BRETANHA E9,SAMSUNG
CHAMPAGNAT E19,MOTOROLA
EL PRADO E11,SONY
JULIO RINCON E12,SAMSUNG
VILLACOLOMBIA E8,SAMSUNG
LA CAMPINHA E2,SAMSUNG
SUCRE E9,NOKIA
MARIANO RAMOS E16,MOTOROLA
LAS AMERICAS E8,ALCATEL
BELEN E20,SAMSUNG
VERSALLES E2,NOKIA
CGTO LA LEONERA E1,SAMSUNG
LA MERCED E3,SAMSUNG
LOS LAGOS E13,SAMSUNG
BUENOS AIRES E18,SAMSUNG
BUENOS AIRES E18,SONY
SAN PEDRO E3,SAMSUNG
LILI E17,HUAWEI
URB. SAN FERNANDO,SAMSUNG
CGTO ROZO,SAMSUNG
SIETE DE AGOSTO,SAMSUNG
LA CONCORDIA,SONY
LA CONCORDIA,HUAWEI
CEMENTERIO LOS OLIVOS,HUAWEI
VILLA CAMPESTRE,APPLE
CENTRO,SAMSUNG
CIUDADELA DEL NORTE,SAMSUNG
CIUDADELA DEL NORTE,ALCATEL
ALTOS DE NIQUIA,ZTE
CENTRO ADMINISTRATIVO C-10,SAMSUNG
FLORIDA NUEVA C-11,SAMSUNG
LA CANDELARIA C-10,HUAWEI
ESTADIO C-11,SAMSUNG
EL DIAMANTE C-7,ALCATEL
ESTADIO C-11,SAMSUNG
EL CHAGUALO C-10,SONY
GUAYAQUIL C-10,SAMSUNG
EL POBLADO C-14,ASUS
LA AGUACATALA C-14,ZTE
LA CANDELARIA C-10,ALCATEL
OBRERO,MOTOROLA
PARQUE PRINCIPAL,SAMSUNG
EL CARMEN,MOTOROLA
BLAS DE LEZO,SAMSUNG
LAS GAVIOTAS,SAMSUNG
BARRIO SANTA MARTA,ALCATEL
BARRIO SANTA MARTA,NOKIA
BARRIO SANTA MARTA,OTRA
BARRIO EL CARMEN,SAMSUNG
LINARES,LENOVO
ESTACION URIBE,LG
BETANIA,ASUS
LA CANDELARIA,SAMSUNG
LA CANDELARIA,LANIX
LAS AVENIDAS,HUAWEI
SAN FRANCISCO,SAMSUNG
PANDIGUANDO,ALCATEL
VARIANTE NORTE,NOKIA
VEREDA,BLU
AMANECERES DEL VALLE,MOTOROLA
LOS CAMPANOS,ALCATEL
NUEVA ESPERANZA,APPLE
SAN ANTONIO,-
URB.DON ALBERTO,MOTOROLA
LOS ALAMOS,ALCATEL
PATIO BONITO I E-8,-
METROPOLIS E-12,ASUS
TOBERIN ORIENTAL E-1,-
URB. TIERRA LINDA E-11,SAMSUNG
ALAMEDA E-10,HUAWEI
CENTRO ANTONIO NARINHO E-13,-
PORVENIR LA CONCEPCION E-7,AVVIO
BOSQUE POPULAR E-10,-
SANTA FE E-14,-
SANTA ISABEL OCCIDENTAL E-16,OTRA
MEISSEN E-19,LG
SANTA LUCIA SUR E-18,SAMSUNG
TURINGA SUBA E-11,MOTOROLA
VEINTE DE JULIO E-4,-
MARLY E-2,-
CARVAJAL E-8,-
PERPETUO SOCORRO E-8,ASUS
LAS MARGARITAS E-8,SONY
MOLINOS DEL SUR E-18,-
SANTA BARBARA E-1,SAMSUNG
MONTEVIDEO E-9,MOTOROLA
ISLA DEL SOL E-6,SAMSUNG
SAN PEDRO E-11,-
LA SOLEDAD E-13,-
SAN FRANCISCO E-19,ALCATEL
LAS MARIAS,NOKIA
CENTRO,ASUS
CAMPO NUNHEZ,MOTOROLA
MANZANARES,SAMSUNG
JORGE ELIECER GAITAN,SAMSUNG
CENTRO,LENOVO
TAGANGA,NOKIA
LOS MORICHES,HUAWEI
VEREDA APIAY,APPLE
VEREDA APIAY,SAMSUNG
VEREDA APIAY,HUAWEI
VEREDA APIAY,APPLE
SAN FELIPE,HUAWEI
SAN FELIPE,NOKIA
POPULAR,NOKIA
FATIMA,MOTOROLA
ESTADIO LIBERTAD,SAMSUNG
CARACHA,HUAWEI
EL BERLIN,AVVIO
B/LOS ROBLES,AVVIO
CIUDAD DORADA,ALCATEL
VDA.COCORA,SAMSUNG
VEREDA TAMBORES,OTRA
PANORAMA I,HUAWEI
MATECANHA,SAMSUNG
SECTOR PARQUE LA LIBERTAD,APPLE
ALTAVISTA,SAMSUNG
BARRIO CORALES,HUAWEI
FLOWER HILL,SAMSUNG
ALCAZAR,HUAWEI
JERUSALEN,HUAWEI
COMUNEROS,LG
URB. CIUDAD BOLIVAR,MOTOROLA
CABECERA DEL LLANO,SONY
SAN ALONSO,APPLE
CENTRO,ALCATEL
EL ROCIO,HUAWEI
EL ROCIO,HUAWEI
LAGOS II,HUAWEI
PANORAMA,LG
JUNIN,LG
CALLE REAL,SAMSUNG
SAN JOSE,SAMSUNG
PARAISO PUERTA ROJA,OTRA
FLORENCIA,HUAWEI
FUNDADORES,HUAWEI
LA FRANCIA,HUAWEI
VERSALLES,LG
GALERIA DE PUEBLO NUEVO,SAMSUNG
OBRERO,SAMSUNG
SAN JOAQUIN E17,HUAWEI
LA ESPERANZA E11,HUAWEI
CAMINO REAL - LOS FUNDADORES E19,NOKIA
PARCELACIONES PANCE E22,APPLE
LAS ORQUIDEAS E14,SAMSUNG
PARCELACIONES PANCE E22,AVVIO
U.R. SANTIAGO DE CALI E19,LENOVO
MORICHAL DE COMFANDI E15,HUAWEI
URB. CIUDAD JARDIN E22,SAMSUNG
SAN JOAQUIN E17,ZTE
ALAMEDA E9,SAMSUNG
BELISARIO CAICEDO E20,SAMSUNG
CALIMIO DESEPAZ E21,HUAWEI
ZAMORANO,SAMSUNG
JUAN PABLO SEGUNDO,AZUMI
LA INDEPENDENCIA,HUAWEI
LA CONCORDIA,SAMSUNG
CRUCES E25,MOTOROLA
LA PAZ,LENOVO
VILLA FLORA C-7,MOTOROLA
BUENOS AIRES  C-9,HUAWEI
FLORENCIA C-5,SAMSUNG
LA SALLE  C-3,SAMSUNG
LA CANDELARIA C-10,HUAWEI
SAN JOAQUIN C-11,SAMSUNG
LA CANDELARIA C-10,HUAWEI
BARRIO COLOMBIA C-14,MOTOROLA
VILLA CARLOTA C-14,APPLE
LAS GRANJAS,SAMSUNG
MEQUEJO,HUAWEI
LA PLAYA,ALCATEL
EL TRIUNFO,MOTOROLA
LAS DELICIAS 1,HUAWEI
SITIO ALTO DE TRUJILLO,LANIX
URBANIZACION ANTONIA SANTOS,MOTOROLA
BARRIO MUISCAS,SAMSUNG
URBANIZACION ANTONIA SANTOS,LANIX
