BARRIO,MARCA
CENTRO,SAMSUNG
VRDA. DINDALITO,SAMSUNG
EL GRAN LIMONAR E17,HUAWEI
NORMANDIA E2,SAMSUNG
ALFONSO B. ARAGON E14,HUAWEI
MARIANO RAMOS E16,ZTE
EL RETIRO E15,OTRA
SANTA ROSA E3,OTRA
SANTA TERESITA E2,LENOVO
SAN PEDRO E3,APPLE
VALLADO E15,ALCATEL
SIETE DE AGOSTO E7,HUAWEI
JORGE ISAACS E4,APPLE
JORGE ISAACS E4,APPLE
SILOE E20,SAMSUNG
MARROQUIN I E14,NOKIA
CALLEJON TIPLE ARRIBA (23-S-4-1),SAMSUNG
CANDELARIA (23-1 23-2),SAMSUNG
CENTRAL (23-S-2-1),HUAWEI
JORGE ELIECER GAITAN,SAMSUNG
LA PRADERA I E24,APPLE
ZAMORANO,ALCATEL
CENTRAL,NOKIA
CENTRAL,LANIX
VILLA CLAUDIA,AVVIO
VDA. POTRERITO,SAMSUNG
ZONA CENTRO,SAMSUNG
ASOVIVIENDA,SAMSUNG
PALMIRA,MOTOROLA
VILLANUEVA,APPLE
TERRA NOVA,SAMSUNG
VDA. LA MARIA,NOKIA
SAN PIO,MOTOROLA
VILLA PAULA,LENOVO
CENTRO,MOTOROLA
LA CANDELARIA C-10,SAMSUNG
VILLANUEVA C-10,MOTOROLA
LA CANDELARIA C-10,HUAWEI
ZONA CENTRO,SAMSUNG
GERONA  C-9,LG
LA MILAGROSA  C-9,HUAWEI
HECTOR ABAD GOMEZ C-5,SAMSUNG
CRISTO REY C-15,SAMSUNG
BARRIO COLOMBIA C-14,SAMSUNG
LA CANDELARIA C-10,SAMSUNG
LA CANDELARIA C-10,AVVIO
LAURELES C-11,HUAWEI
LOS ANGELES C-10,SAMSUNG
EL POBLADO C-14,SAMSUNG
BOYACA C-5,LG
LA CANDELARIA C-10,ALCATEL
CARIBE C-5,HUAWEI
ESTACION VILLA C-10,SAMSUNG
ESTACION VILLA C-10,SAMSUNG
AMANECERES,SAMSUNG
CAMPO ALEGRE,SAMSUNG
LLANOGRANDE,SAMSUNG
RINCON DE SAN ANTONIO,SAMSUNG
RIO ABAJO,SAMSUNG
CERAMICA,SAMSUNG
SAN MIGUEL,SAMSUNG
SAN MIGUEL,MOTOROLA
CARRIZAL,NOKIA
VILLAS DE LA CORDIALIDAD,SAMSUNG
VILLAS DE LA CORDIALIDAD,OTRA
BOSTON,SAMSUNG
EL SANTUARIO,SAMSUNG
REBOLO,LG
PASADENA,SAMSUNG
BOSTON,SAMSUNG
SAN JOSE,SAMSUNG
CENTRO,HUAWEI
BARRIO SANTA BARBARA,SAMSUNG
CENTRO,HUAWEI
BARRIO LOS AGUSTINOS,SAMSUNG
BARRIO CHIPRE,SAMSUNG
CIUDADELA HABITACIONAL SIGLO XXI,APPLE
LA LIBERTAD,SONY
ALGARROBO,SAMSUNG
ALGARROBO,SAMSUNG
ALGARROBO,AVVIO
ALGARROBO,AZUMI
ALGARROBO,OTRA
CENTRO,OTRA
LA FRAGUA,SAMSUNG
LA FRAGUA,ALCATEL
POSTOBON,HUAWEI
SOLIDARIDAD,SAMSUNG
ALAMEDA,HUAWEI
VILLA DOCENTE,SAMSUNG
CHAMPAGNHA,SAMSUNG
RETIRO BAJO,BLU
EL CENTRO,LANIX
VEREDA BESITO VOLADO,MOTOROLA
VIA MONTERIA -PLANETA RICA,SAMSUNG
URB. LA COLINA CAMPESTRE I SECTOR E-11,SAMSUNG
CHAPINERO NORTE E-2,-
CHAPINERO NORTE E-2,-
CHAPINERO NORTE E-2,-
ALQUERIA LA FRAGUA E-8,-
NICOLAS DE FEDERMAN E-13,SAMSUNG
GUSTAVO RESTREPO E-18,HUAWEI
VENECIA E-6,-
CHICO NORTE II SECTOR E-1,-
SAN ANTONIO E-15,-
EL RINCON E-11,-
LOS CEDRITOS E-1,SAMSUNG
VILLA MAYOR E-15,-
CENTRO,SAMSUNG
31 DE OCTUBRE,SAMSUNG
31 DE OCTUBRE,SAMSUNG
EL CENTRO,MOTOROLA
QUIRINAL,HUAWEI
LAS  MERCEDES,SAMSUNG
CENTRO,LG
VEREDA MATEO RICO,SAMSUNG
CENTRO HISTORICO,MOTOROLA
CENTRO HISTORICO,NOKIA
CENTRO,ALCATEL
MONTECARLO,HUAWEI
BRISAS DEL GUATIQUIA,ALCATEL
CENTRO,-
LA ESPERANZA,SAMSUNG
VILLA MELIDA,HUAWEI
CANAAN,ALCATEL
LA ESMERALDA,OTRA
CENTRO,SAMSUNG
CENTRO,APPLE
PIAMONTE,ALCATEL
CENTRO,SAMSUNG
CENTRO,HUAWEI
MONTECARLO,SAMSUNG
GAVIOTAS,OTRA
CENTRO,AVVIO
VEREDA APIAY,SAMSUNG
20 DE JULIO,HUAWEI
CENTRO,LENOVO
SAN FELIPE,SAMSUNG
CENTRO,APPLE
20 DE JULIO,HUAWEI
20 DE JULIO,-
CENTRO,MOTOROLA
OBRERO,SAMSUNG
SANTANDER,SAMSUNG
CENTRO,HUAWEI
EMILIO BOTERO,SAMSUNG
SAN ANDRES,MOTOROLA
CENTRO,APPLE
CENTRO,HUAWEI
PANORAMICO I ETAPA,SAMSUNG
CENTRO,APPLE
BARRIO CALLEJON,SAMSUNG
BARRIO BELLAVISTA,SAMSUNG
SUBESTACION SAN JUAN DE VILLALOBOS,SAMSUNG
EL CENTRO,SAMSUNG
NUEVA ARMENIA,SAMSUNG
ACACIAS,SAMSUNG
BOSQUES DE PINARES,ALCATEL
CENTRO,ALCATEL
BUENOS AIRES,BLU
SAGUANES,SAMSUNG
SAN DIEGO,ALCATEL
BAYRON GAVIRIA,HUAWEI
TURIN,LENOVO
VDA. EL MANZANO,ZTE
SANTA TERESITA,-
SECTOR PARQUE EL LAGO,HUAWEI
ALFONSO LOPEZ,MOTOROLA
B. SAN FRANCISCO,SAMSUNG
GALAN GOMEZ,ALCATEL
NARINHO,MOTOROLA
NARINHO,LENOVO
CENTRO,SAMSUNG
CLAVERIANO,APPLE
RONDON,SAMSUNG
ASOBETANIA,ASUS
VILLA ANGELICA,LENOVO
KENEDY,SAMSUNG
CENTRO,HUAWEI
JARDIN II ETAPA,SAMSUNG
JORDAN MUTIFAMILIARES,HUAWEI
ONZAGA,SAMSUNG
LA MANSION,ALCATEL
KENEDY,SAMSUNG
MACARENA ALTA,HUAWEI
EL JORDAN,SAMSUNG
LOS LAGOS E13,LENOVO
MORICHAL DE COMFANDI E15,MOTOROLA
SAN LUIS E6,LENOVO
CRISTOBAL COLON E10,MOTOROLA
PARCELACIONES PANCE E22,SAMSUNG
ALAMEDA E9,SAMSUNG
PARCELACIONES PANCE E22,HUAWEI
ALFONSO BARBERENA E12,HUAWEI
EL INGENIO E17,APPLE
ALFONSO B. ARAGON E14,SAMSUNG
SAN FERNANDO VIEJO E19,HUAWEI
EL SENA E5,MOTOROLA
PARCELACIONES PANCE E22,HUAWEI
PRIMERO DE MAYO E17,NOKIA
PANAMERICANO (23-2),OTRA
VIA CENCAR - AEREOPUERTO,SAMSUNG
FRANCISCANOS,MOTOROLA
LAS DELICIAS,NOKIA
VIA YUMBO DAPA (25-8),NOKIA
VIA YUMBO DAPA (25-8),NOKIA
BELALCAZAR E25,SAMSUNG
SIMON BOLIVAR,BLU
CENTRO (LETICIA),SAMSUNG
PARQUE PRINCIPAL,AVVIO
LA MADERA,SAMSUNG
SANTA MARIA # 3,HUAWEI
LA CIUDADELA,SAMSUNG
LA CIUDADELA,NOKIA
CAMPO VALDES 1  C-4,SAMSUNG
LA CANDELARIA C-10,MOTOROLA
ARANJUEZ  C-4,MOTOROLA
BARRIO COLOMBIA C-14,SAMSUNG
CERRO EL VOLADOR C-7,SAMSUNG
ENCISO C-8,LG
PROGRESO 2 C-6,SAMSUNG
VILLANUEVA C-10,SONY
PRADO C-10,SAMSUNG
SEVILLA  C-4,SONY
EL DIAMANTE C-7,LG
LA PINHUELA  C-4,SAMSUNG
EL TESORO C-14,APPLE
CONQUISTADORES C-11,SAMSUNG
LAURELES C-11,HUAWEI
PRADO C-10,SAMSUNG
LA CASTELLANA C-11,SAMSUNG
LA CANDELARIA C-10,SAMSUNG
MANILA C-14,SAMSUNG
NARANJAL C-11,MOTOROLA
PRADO C-10,SAMSUNG
SEVILLA  C-4,SAMSUNG
LA CANDELARIA C-10,SAMSUNG
BOMBONA 1 C-10,MOTOROLA
SEVILLA  C-4,SAMSUNG
REMANSOS,HUAWEI
TABLAZO,MOTOROLA
TABLAZO,LG
LAS CABANHAS,HUAWEI
EL ROSARIO,NOKIA
LA VICTORIA,SAMSUNG
CENTRO,SAMSUNG
7 DE ABRIL,SAMSUNG
CENTRO,BLU
VDA. RESGUARDO,MOTOROLA
PLAZA DE TOROS,SAMSUNG
ONDAS DE OTUN,SAMSUNG
FUNDADORES,ALCATEL
ARBOLEDA,ZTE
CENTRO,SAMSUNG
SECTOR EL CABLE,SAMSUNG
EL PORVENIR,OTRA
LA VEGA,HUAWEI
RICAURTE,SAMSUNG
TORASSO,HUAWEI
TORASSO,HUAWEI
CENTRO,SAMSUNG
OLAYA HERRERA,HUAWEI
EL CARMEN,LG
FERIA GANADERA,APPLE
ZONA MINERA,ALCATEL
JULIO FIGUEROA VILLA,AZUMI
VEREDA SANTA ANA,SAMSUNG
LAS AGUAS E-17,SAMSUNG
URB. PALENQUE E-8,-
TEUSAQUILLO E-13,-
VILLA NELLY E-8,-
GALERIAS E-13,APPLE
LA MACARENA E-3,SAMSUNG
PASADENA ROYAL E-11,-
LA CASTELLANA E-12,-
LA CASTELLANA E-12,HUAWEI
CIUDAD JARDIN SUR E-15,-
BILBAO E-11,-
ESTADOS UNIDOS   E-8,-
IBERIA E-11,-
CHICO NORTE I E-2,-
SUBA CENTRO E-11,-
GUSTAVO RESTREPO E-18,SAMSUNG
EL PLAYON - LA PLAYITA III E-18,-
ENTRERIOS E-12,HUAWEI
QUIRIGUA I E-10,SONY
"LA SOLEDAD, SAN JOSE NORTE E-10",-
BOSQUES DE SAN JOSE E-18,AVVIO
VILLA CLEMENCIA E-7,HUAWEI
EL RECREO E-7,-
LAS MARGARITAS E-7,-
CENTRO,-
CENTRO,LENOVO
EL CARMEN,SAMSUNG
EL CARMEN,LENOVO
LA VICTORIA,ZTE
RAFAEL AZUERO MANCHOLA,HUAWEI
LUIS CARLOS GALAN ETAPA I,OTRA
ENRIQUE OLAYA HERRERA,SAMSUNG
VILLA MELIDA,SAMSUNG
RELIQUIA,HUAWEI
BARZAL BAJO,AVVIO
DONHA LUZ,LG
REMANSO,SAMSUNG
VILLA JULIA,ALCATEL
LLANO LINDO,HUAWEI
JORDAN,SAMSUNG
ESTERO,HUAWEI
CAMINO REAL,SAMSUNG
MACUNAIMA,SAMSUNG
COMUNEROS,HUAWEI
ESTERO,SAMSUNG
SANTANDER,SAMSUNG
CENTRO,SAMSUNG
GOLGOTA,SAMSUNG
OBRERO,SAMSUNG
20 DE JULIO,SAMSUNG
LORENZO,SAMSUNG
LORENZO,ZTE
MORASURCO,APPLE
SAN JUAN BOSCO,SAMSUNG
CENTRO,SAMSUNG
CENTRO,LENOVO
CENTRO,HUAWEI
AV. CHAMPAGNAT,SAMSUNG
CENTRO,HUAWEI
NIZA III,LENOVO
ESTADIO LIBERTAD,APPLE
LORENZO,SAMSUNG
PLAZA DEL CARNAVAL,SAMSUNG
CENTRO,LG
CENTRO,SAMSUNG
CENTRO,SAMSUNG
EL MORRO,SAMSUNG
SAN JUAN,SAMSUNG
BARRIO LOS PINOS,NOKIA
BARRIO LA PLAYA,SAMSUNG
BARRIO SAN JOSE,SAMSUNG
BARRIO LA LIBERTAD,SAMSUNG
BARRIO SIMON BOLIVAR,MOTOROLA
BARRIO CENTRO,HUAWEI
PABLO VI,SAMSUNG
CENTRO,SAMSUNG
CIUDADELA UNIVERSITARIA,SAMSUNG
PERPETUO SOCORRO,SONY
SAN FERNANDO,HUAWEI
MIRAFLORES BAJO,OTRA
ZONA CENTRO,MOTOROLA
PLAZOLETA LA VILLA,ALCATEL
LOS NARANJOS,APPLE
VILLAVICENCIO,SAMSUNG
