FECHA,DEPARTAMENTO
ENERO,QUINDIO
ENERO,QUINDIO
ENERO,QUINDIO
ENERO,QUINDIO
ENERO,QUINDIO
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,AMAZONAS
ENERO,AMAZONAS
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ARAUCA
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,BOYACA
ENERO,BOYACA
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CAQUETA
ENERO,CAQUETA
ENERO,CAQUETA
ENERO,CAQUETA
ENERO,CAQUETA
ENERO,CAUCA
ENERO,CESAR
ENERO,CESAR
ENERO,CESAR
ENERO,CHOCO
ENERO,CHOCO
ENERO,CORDOBA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,GUAJIRA
ENERO,GUAJIRA
ENERO,GUAJIRA
ENERO,GUAJIRA
ENERO,HUILA
ENERO,HUILA
ENERO,HUILA
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NORTE DE SANTANDER
ENERO,NORTE DE SANTANDER
ENERO,NORTE DE SANTANDER
ENERO,NORTE DE SANTANDER
ENERO,NORTE DE SANTANDER
ENERO,NORTE DE SANTANDER
ENERO,PUTUMAYO
ENERO,PUTUMAYO
ENERO,PUTUMAYO
ENERO,PUTUMAYO
ENERO,QUINDIO
ENERO,QUINDIO
ENERO,QUINDIO
ENERO,QUINDIO
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,VALLE
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SUCRE
ENERO,SUCRE
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VICHADA
ENERO,AMAZONAS
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,BOYACA
ENERO,BOYACA
ENERO,BOYACA
ENERO,BOYACA
ENERO,BOYACA
ENERO,BOYACA
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CAQUETA
ENERO,CAQUETA
ENERO,CAQUETA
ENERO,CAQUETA
ENERO,CASANARE
ENERO,CASANARE
ENERO,CASANARE
ENERO,CASANARE
ENERO,CAUCA
ENERO,CESAR
ENERO,CESAR
ENERO,CESAR
ENERO,CORDOBA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
