MUNICIPIO,EDAD
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADULTOJOVEN
FLORIDABLANCA,ADULTOMAYOR
FLORIDABLANCA,ADULTOMAYOR
ALVARADO,ADULTOMAYOR
CAJAMARCA,ADULTO
ESPINAL,ADULTOMAYOR
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTO
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOJOVEN
CALI (CT),ANCIANO
CALI (CT),ADULTO
CALI (CT),ADULTO
CALI (CT),ADULTOMAYOR
CALI (CT),ADULTO
CANDELARIA,ADULTO
CANDELARIA,ADULTO
CANDELARIA,ADULTO
GUADALAJARA DE BUGA,ADULTOJOVEN
JAMUNDI,ADULTOMAYOR
PALMIRA,ADULTOJOVEN
PALMIRA,ADULTOMAYOR
PALMIRA,ADULTO
SEVILLA,ADULTOMAYOR
BARBOSA,ADULTO
BELLO,ADULTOMAYOR
CAUCASIA,ADULTO
CISNEROS,ADULTOJOVEN
COPACABANA,ADULTO
ITAGUI,ANCIANO
ITAGUI,ADULTOMAYOR
ITAGUI,ADULTOJOVEN
ITAGUI,ADULTO
MARINILLA,ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
CALARCA,ANCIANO
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ANCIANO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ADULTO
RETIRO,ADULTO
RIONEGRO,ANCIANO
RIONEGRO,ADULTOMAYOR
RIONEGRO,ADULTOMAYOR
RIONEGRO,ADULTO
SABANETA,ADULTO
SANTO DOMINGO,ADULTOMAYOR
SANTO DOMINGO,ADULTOMAYOR
BARRANQUILLA (CT),ADULTOMAYOR
BARRANQUILLA (CT),ADULTOJOVEN
BARRANQUILLA (CT),ADULTOJOVEN
BARRANQUILLA (CT),ADULTOJOVEN
BARRANQUILLA (CT),ADULTOJOVEN
BARRANQUILLA (CT),ADULTO
BARRANQUILLA (CT),ADULTOJOVEN
BARRANQUILLA (CT),ADULTO
DUITAMA,ADULTOJOVEN
SOGAMOSO,ADULTOJOVEN
TUNJA (CT),ADULTOJOVEN
LA DORADA,ADULTO
MANIZALES (CT),ADULTOMAYOR
MANIZALES (CT),ADULTO
FLORENCIA (CT),ADULTOJOVEN
FLORENCIA (CT),ADULTOJOVEN
MANI,ADULTO
MANI,ADULTO
MANI,ADULTO
MANI,ADULTO
MANI,ADULTO
MONTERREY,ADULTO
PAZ DE ARIPORO,ADULTO
PAZ DE ARIPORO,ADULTO
PATIA,ADULTOJOVEN
POPAYAN (CT),ADULTOJOVEN
POPAYAN (CT),ADULTO
POPAYAN (CT),OTRA
POPAYAN (CT),ADULTO
POPAYAN (CT),ADULTO
AYAPEL,ADULTOJOVEN
MONTERIA (CT),ADULTOJOVEN
MONTERIA (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
