MUNICIPIO,HORA
PEREIRA (CT),MANHANA
PEREIRA (CT),NOCHE
PEREIRA (CT),TARDE
BARRANCABERMEJA,NOCHE
BUCARAMANGA (CT),MOVILIZACIONVESPERTINA
BUCARAMANGA (CT),MADRUGADA
BUCARAMANGA (CT),MADRUGADA
BUCARAMANGA (CT),MADRUGADA
BUCARAMANGA (CT),ALMUERZO
BUCARAMANGA (CT),TARDE
BUCARAMANGA (CT),MADRUGADA
FLORIDABLANCA,MANHANA
FLORIDABLANCA,NOCHE
ALVARADO,TARDE
CAJAMARCA,MADRUGADA
ESPINAL,MADRUGADA
CALI (CT),MOVILIZACIONVESPERTINA
CALI (CT),ALMUERZO
CALI (CT),TARDE
CALI (CT),TARDE
CALI (CT),NOCHE
CALI (CT),MOVILIZACIONVESPERTINA
CALI (CT),ALMUERZO
CALI (CT),MADRUGADA
CALI (CT),MADRUGADA
CALI (CT),MADRUGADA
CALI (CT),ALMUERZO
CALI (CT),ALMUERZO
CALI (CT),MANHANA
CALI (CT),MOVILIZACIONVESPERTINA
CANDELARIA,MANHANA
CANDELARIA,NOCHE
CANDELARIA,MADRUGADA
GUADALAJARA DE BUGA,TARDE
JAMUNDI,MOVILIZACIONVESPERTINA
PALMIRA,MANHANA
PALMIRA,NOCHE
PALMIRA,NOCHE
SEVILLA,MADRUGADA
BARBOSA,MADRUGADA
BELLO,MANHANA
CAUCASIA,NOCHE
CISNEROS,MADRUGADA
COPACABANA,NOCHE
ITAGUI,TARDE
ITAGUI,TARDE
ITAGUI,MADRUGADA
ITAGUI,TARDE
MARINILLA,NOCHE
MEDELLIN (CT),MANHANA
MEDELLIN (CT),MANHANA
MEDELLIN (CT),MANHANA
CALARCA,TARDE
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),ALMUERZO
MEDELLIN (CT),TARDE
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),MANHANA
MEDELLIN (CT),MANHANA
MEDELLIN (CT),NOCHE
MEDELLIN (CT),MADRUGADA
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),NOCHE
MEDELLIN (CT),TARDE
MEDELLIN (CT),NOCHE
MEDELLIN (CT),MANHANA
MEDELLIN (CT),TARDE
RETIRO,MANHANA
RIONEGRO,MANHANA
RIONEGRO,TARDE
RIONEGRO,MOVILIZACIONVESPERTINA
RIONEGRO,MADRUGADA
SABANETA,MOVILIZACIONVESPERTINA
SANTO DOMINGO,NOCHE
SANTO DOMINGO,NOCHE
BARRANQUILLA (CT),ALMUERZO
BARRANQUILLA (CT),MANHANA
BARRANQUILLA (CT),MANHANA
BARRANQUILLA (CT),NOCHE
BARRANQUILLA (CT),MANHANA
BARRANQUILLA (CT),MADRUGADA
BARRANQUILLA (CT),MADRUGADA
BARRANQUILLA (CT),NOCHE
DUITAMA,NOCHE
SOGAMOSO,MOVILIZACIONVESPERTINA
TUNJA (CT),TARDE
LA DORADA,ALMUERZO
MANIZALES (CT),MADRUGADA
MANIZALES (CT),NOCHE
FLORENCIA (CT),MANHANA
FLORENCIA (CT),NOCHE
MANI,MADRUGADA
MANI,MADRUGADA
MANI,MADRUGADA
MANI,MADRUGADA
MANI,MADRUGADA
MONTERREY,MADRUGADA
PAZ DE ARIPORO,MOVILIZACIONVESPERTINA
PAZ DE ARIPORO,MOVILIZACIONVESPERTINA
PATIA,NOCHE
POPAYAN (CT),TARDE
POPAYAN (CT),MOVILIZACIONVESPERTINA
POPAYAN (CT),TARDE
POPAYAN (CT),MOVILIZACIONVESPERTINA
POPAYAN (CT),MOVILIZACIONVESPERTINA
AYAPEL,MADRUGADA
MONTERIA (CT),MANHANA
MONTERIA (CT),MADRUGADA
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),TARDE
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),TARDE
BOGOTA D.C. (CT),ALMUERZO
BOGOTA D.C. (CT),TARDE
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),TARDE
BOGOTA D.C. (CT),TARDE
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),MANHANA
MAICAO,TARDE
RIOHACHA (CT),MANHANA
RIOHACHA (CT),MANHANA
VILLANUEVA,MADRUGADA
NEIVA (CT),MANHANA
NEIVA (CT),NOCHE
PITALITO,MOVILIZACIONVESPERTINA
TIMANA,NOCHE
SANTA MARTA (CT),TARDE
SANTA MARTA (CT),NOCHE
VILLAVICENCIO (CT),MOVILIZACIONVESPERTINA
VILLAVICENCIO (CT),MANHANA
VILLAVICENCIO (CT),MOVILIZACIONVESPERTINA
VILLAVICENCIO (CT),TARDE
VILLAVICENCIO (CT),MOVILIZACIONVESPERTINA
VILLAVICENCIO (CT),ALMUERZO
VILLAVICENCIO (CT),MADRUGADA
VILLAVICENCIO (CT),TARDE
VILLAVICENCIO (CT),NOCHE
VILLAVICENCIO (CT),NOCHE
VILLAVICENCIO (CT),NOCHE
VILLAVICENCIO (CT),MADRUGADA
VILLAVICENCIO (CT),MANHANA
VILLAVICENCIO (CT),NOCHE
VILLAVICENCIO (CT),MANHANA
VILLAVICENCIO (CT),MADRUGADA
VILLAVICENCIO (CT),NOCHE
IPIALES,MOVILIZACIONVESPERTINA
IPIALES,ALMUERZO
IPIALES,ALMUERZO
IPIALES,TARDE
IPIALES,MANHANA
IPIALES,TARDE
IPIALES,MOVILIZACIONVESPERTINA
IPIALES,ALMUERZO
IPIALES,MANHANA
PASTO (CT),ALMUERZO
PASTO (CT),MANHANA
PASTO (CT),MANHANA
PASTO (CT),TARDE
PASTO (CT),TARDE
PASTO (CT),MADRUGADA
PASTO (CT),TARDE
CUCUTA (CT),MANHANA
CUCUTA (CT),MOVILIZACIONVESPERTINA
MOCOA (CT),TARDE
PUERTO ASIS,MANHANA
ARMENIA (CT),MOVILIZACIONVESPERTINA
ARMENIA (CT),MANHANA
ARMENIA (CT),MANHANA
ARMENIA (CT),MANHANA
ARMENIA (CT),MADRUGADA
CALARCA,ALMUERZO
DOSQUEBRADAS,MANHANA
LA VIRGINIA,TARDE
PEREIRA (CT),TARDE
PEREIRA (CT),MANHANA
PEREIRA (CT),NOCHE
PEREIRA (CT),MANHANA
PEREIRA (CT),TARDE
SANTA ROSA DE CABAL,ALMUERZO
BARRANCABERMEJA,TARDE
BUCARAMANGA (CT),TARDE
BUCARAMANGA (CT),TARDE
BUCARAMANGA (CT),MANHANA
BUCARAMANGA (CT),MADRUGADA
ESPINAL,MOVILIZACIONVESPERTINA
ESPINAL,TARDE
GUAMO,MOVILIZACIONVESPERTINA
IBAGUE (CT),MOVILIZACIONVESPERTINA
IBAGUE (CT),MOVILIZACIONVESPERTINA
IBAGUE (CT),MANHANA
IBAGUE (CT),NOCHE
IBAGUE (CT),NOCHE
IBAGUE (CT),MADRUGADA
IBAGUE (CT),NOCHE
IBAGUE (CT),NOCHE
LERIDA,MOVILIZACIONVESPERTINA
CALI (CT),ALMUERZO
CALI (CT),MOVILIZACIONVESPERTINA
CALI (CT),MANHANA
CALI (CT),MOVILIZACIONVESPERTINA
CALI (CT),MOVILIZACIONVESPERTINA
CALI (CT),TARDE
CALI (CT),TARDE
CALI (CT),MADRUGADA
CALI (CT),NOCHE
CALI (CT),NOCHE
CALI (CT),NOCHE
CALI (CT),MANHANA
CALI (CT),NOCHE
CALI (CT),NOCHE
CANDELARIA,MOVILIZACIONVESPERTINA
PALMIRA,ALMUERZO
TULUA,ALMUERZO
TULUA,TARDE
YUMBO,MANHANA
YUMBO,MANHANA
YUMBO,MADRUGADA
LETICIA (CT),NOCHE
LETICIA (CT),NOCHE
ABEJORRAL,ALMUERZO
BELLO,MOVILIZACIONVESPERTINA
ITAGUI,MADRUGADA
MARINILLA,TARDE
MARINILLA,TARDE
MEDELLIN (CT),MANHANA
MEDELLIN (CT),NOCHE
MEDELLIN (CT),TARDE
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),TARDE
MEDELLIN (CT),TARDE
MEDELLIN (CT),TARDE
MEDELLIN (CT),TARDE
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),TARDE
MEDELLIN (CT),NOCHE
MEDELLIN (CT),TARDE
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),ALMUERZO
MEDELLIN (CT),NOCHE
MEDELLIN (CT),NOCHE
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),NOCHE
MEDELLIN (CT),NOCHE
MEDELLIN (CT),TARDE
MEDELLIN (CT),TARDE
MEDELLIN (CT),ALMUERZO
MEDELLIN (CT),MADRUGADA
MEDELLIN (CT),MOVILIZACIONVESPERTINA
RIONEGRO,MANHANA
RIONEGRO,TARDE
RIONEGRO,TARDE
ARAUCA (CT),NOCHE
BARRANQUILLA (CT),NOCHE
BARRANQUILLA (CT),MANHANA
BARRANQUILLA (CT),TARDE
BARRANQUILLA (CT),MADRUGADA
SOGAMOSO,ALMUERZO
TIBASOSA,MOVILIZACIONVESPERTINA
MANIZALES (CT),MOVILIZACIONVESPERTINA
MANIZALES (CT),MOVILIZACIONVESPERTINA
MANIZALES (CT),MADRUGADA
MANIZALES (CT),MANHANA
MANIZALES (CT),MOVILIZACIONVESPERTINA
MANIZALES (CT),ALMUERZO
FLORENCIA (CT),MOVILIZACIONVESPERTINA
FLORENCIA (CT),NOCHE
FLORENCIA (CT),MOVILIZACIONVESPERTINA
FLORENCIA (CT),NOCHE
FLORENCIA (CT),NOCHE
SANTANDER DE QUILICHAO,MADRUGADA
AGUACHICA,TARDE
VALLEDUPAR (CT),MANHANA
VALLEDUPAR (CT),MOVILIZACIONVESPERTINA
QUIBDO (CT),MADRUGADA
QUIBDO (CT),MADRUGADA
TIERRALTA,MANHANA
BOGOTA D.C. (CT),ALMUERZO
BOGOTA D.C. (CT),ALMUERZO
BOGOTA D.C. (CT),TARDE
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),TARDE
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),NOCHE
BOGOTA D.C. (CT),NOCHE
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),NOCHE
BOGOTA D.C. (CT),NOCHE
BOGOTA D.C. (CT),MANHANA
BOGOTA D.C. (CT),ALMUERZO
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),MANHANA
BOGOTA D.C. (CT),TARDE
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),MADRUGADA
NILO,MADRUGADA
MAICAO,MANHANA
MAICAO,TARDE
MAICAO,TARDE
MAICAO,TARDE
NEIVA (CT),TARDE
NEIVA (CT),NOCHE
NEIVA (CT),ALMUERZO
VILLAVICENCIO (CT),ALMUERZO
VILLAVICENCIO (CT),MANHANA
VILLAVICENCIO (CT),MOVILIZACIONVESPERTINA
VILLAVICENCIO (CT),TARDE
VILLAVICENCIO (CT),ALMUERZO
VILLAVICENCIO (CT),MANHANA
VILLAVICENCIO (CT),TARDE
VILLAVICENCIO (CT),NOCHE
VILLAVICENCIO (CT),TARDE
VILLAVICENCIO (CT),TARDE
VILLAVICENCIO (CT),MADRUGADA
VILLAVICENCIO (CT),MADRUGADA
VILLAVICENCIO (CT),NOCHE
IPIALES,ALMUERZO
IPIALES,ALMUERZO
IPIALES,TARDE
IPIALES,MOVILIZACIONVESPERTINA
IPIALES,MADRUGADA
PASTO (CT),TARDE
PASTO (CT),TARDE
PASTO (CT),MANHANA
PASTO (CT),MANHANA
PASTO (CT),ALMUERZO
PASTO (CT),ALMUERZO
PASTO (CT),ALMUERZO
PASTO (CT),ALMUERZO
PASTO (CT),ALMUERZO
PASTO (CT),MOVILIZACIONMATUTINA
PASTO (CT),MADRUGADA
PASTO (CT),MADRUGADA
PASTO (CT),MOVILIZACIONVESPERTINA
PASTO (CT),MOVILIZACIONVESPERTINA
PASTO (CT),ALMUERZO
PASTO (CT),ALMUERZO
SAN ANDRES DE TUMACO,NOCHE
TUQUERRES,NOCHE
CUCUTA (CT),TARDE
CUCUTA (CT),MANHANA
CUCUTA (CT),NOCHE
CUCUTA (CT),NOCHE
OCANHA,MANHANA
SAN CAYETANO,TARDE
MOCOA (CT),NOCHE
MOCOA (CT),NOCHE
MOCOA (CT),NOCHE
SANTIAGO,MADRUGADA
ARMENIA (CT),TARDE
ARMENIA (CT),ALMUERZO
CALARCA,TARDE
CALARCA,MADRUGADA
DOSQUEBRADAS,NOCHE
PEREIRA (CT),MOVILIZACIONVESPERTINA
