MUNICIPIO,DIA
IPIALES,MARTES
IPIALES,MARTES
IPIALES,MARTES
IPIALES,MARTES
PASTO (CT),MARTES
PASTO (CT),MARTES
PASTO (CT),MARTES
PASTO (CT),MARTES
PASTO (CT),MARTES
PASTO (CT),MARTES
PASTO (CT),MARTES
CUCUTA (CT),MARTES
CUCUTA (CT),MARTES
MOCOA (CT),MARTES
PUERTO ASIS,MARTES
ARMENIA (CT),MARTES
ARMENIA (CT),MARTES
ARMENIA (CT),MARTES
ARMENIA (CT),MARTES
ARMENIA (CT),MARTES
CALARCA,MARTES
DOSQUEBRADAS,MARTES
LA VIRGINIA,MARTES
PEREIRA (CT),MARTES
PEREIRA (CT),MARTES
PEREIRA (CT),MARTES
PEREIRA (CT),MARTES
PEREIRA (CT),MARTES
SANTA ROSA DE CABAL,MARTES
BARRANCABERMEJA,MARTES
BUCARAMANGA (CT),MARTES
BUCARAMANGA (CT),MARTES
BUCARAMANGA (CT),MARTES
BUCARAMANGA (CT),MARTES
ESPINAL,MARTES
ESPINAL,MARTES
GUAMO,MARTES
IBAGUE (CT),MARTES
IBAGUE (CT),MARTES
IBAGUE (CT),MARTES
IBAGUE (CT),MARTES
IBAGUE (CT),MARTES
IBAGUE (CT),MARTES
IBAGUE (CT),MARTES
IBAGUE (CT),MARTES
LERIDA,MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CALI (CT),MARTES
CANDELARIA,MARTES
PALMIRA,MARTES
TULUA,MARTES
TULUA,MARTES
YUMBO,MARTES
YUMBO,MARTES
YUMBO,MARTES
LETICIA (CT),MIERCOLES
LETICIA (CT),MIERCOLES
ABEJORRAL,MIERCOLES
BELLO,MIERCOLES
ITAGUI,MIERCOLES
MARINILLA,MIERCOLES
MARINILLA,MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
MEDELLIN (CT),MIERCOLES
RIONEGRO,MIERCOLES
RIONEGRO,MIERCOLES
RIONEGRO,MIERCOLES
ARAUCA (CT),MIERCOLES
BARRANQUILLA (CT),MIERCOLES
BARRANQUILLA (CT),MIERCOLES
BARRANQUILLA (CT),MIERCOLES
BARRANQUILLA (CT),MIERCOLES
SOGAMOSO,MIERCOLES
TIBASOSA,MIERCOLES
MANIZALES (CT),MIERCOLES
MANIZALES (CT),MIERCOLES
MANIZALES (CT),MIERCOLES
MANIZALES (CT),MIERCOLES
MANIZALES (CT),MIERCOLES
MANIZALES (CT),MIERCOLES
FLORENCIA (CT),MIERCOLES
FLORENCIA (CT),MIERCOLES
FLORENCIA (CT),MIERCOLES
FLORENCIA (CT),MIERCOLES
FLORENCIA (CT),MIERCOLES
SANTANDER DE QUILICHAO,MIERCOLES
AGUACHICA,MIERCOLES
VALLEDUPAR (CT),MIERCOLES
VALLEDUPAR (CT),MIERCOLES
QUIBDO (CT),MIERCOLES
QUIBDO (CT),MIERCOLES
TIERRALTA,MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
