HORA,BARRIO
NOCHE,CHIQUINQUIRA
TARDE,EL CENTRO
MANHANA,CONDOMINIO EL IMPERIO
MANHANA,VER.PARADERO
NOCHE,LA FLORIDA
MOVILIZACIONVESPERTINA,CORDOBA
MOVILIZACIONVESPERTINA,VILLA CAFE
MANHANA,CENTRO
MANHANA,VILLA MARINA
NOCHE,ARADO PARTE ALTA
NOCHE,VILLA MARIA
MOVILIZACIONVESPERTINA,INTERLAKEN
MOVILIZACIONVESPERTINA,TORRES DE CONFANDI E5
MANHANA,BRETANHA E9
MANHANA,EL POBLADO II E13
MANHANA,VALLADO E15
TARDE,PARCELACIONES PANCE E22
TARDE,MANUELA BELTRAN E14
NOCHE,SIMON BOLIVAR E8
NOCHE,EL INGENIO E17
TARDE,U.R. SANTIAGO DE CALI E19
TARDE,LAS AMERICAS E8
NOCHE,SAN FERNANDO NUEVO E19
MANHANA,ALTO DEL CASTILLO
MADRUGADA,SAN VICENTE
MADRUGADA,SAN VICENTE
MADRUGADA,LA CONCORDIA
MOVILIZACIONVESPERTINA,CIUDADELA DEL NORTE
MANHANA,GRAN AVENIDA
MOVILIZACIONVESPERTINA,LOS NARANJOS
TARDE,ZONA INDUSTRIAL #1
MOVILIZACIONVESPERTINA,EL POBLADO C-14
MOVILIZACIONVESPERTINA,LA CANDELARIA C-10
TARDE,LA CANDELARIA C-10
NOCHE,GUAYAQUIL C-10
MOVILIZACIONVESPERTINA,ESTADIO C-11
MADRUGADA,EL CUCARACHO C-7
MADRUGADA,CALAZANS C-12
MADRUGADA,CARLOS E. RESTREPO C-11
TARDE,LA CANDELARIA C-10
MADRUGADA,EL POBLADO C-14
NOCHE,CARRIZAL
NOCHE,EL RECREO
NOCHE,20 DE JULIO
MANHANA,LAS ESTRELLAS
MOVILIZACIONVESPERTINA,SAN VICENTE
MADRUGADA,CORDIALIDAD
TARDE,SECTOR LAS DELICIAS
MANHANA,LOS ALISOS
TARDE,VDA. SANTA HELENA
MANHANA,SANTA ANA
MOVILIZACIONVESPERTINA,CENTRO
TARDE,ABBAS TURBAY
MADRUGADA,LA PRIMAVERA
MADRUGADA,CAMANI
MADRUGADA,PRADERA DOS
NOCHE,VILLA DEL NORTE
MOVILIZACIONVESPERTINA,VDA MANDIVA
MADRUGADA,MARIA EUGENIA ALTO
MOVILIZACIONVESPERTINA,EL PORVENIR
MANHANA,URB.DON ALBERTO
NOCHE,DIVINO NINHO
NOCHE,NUEVO MILENIO
MANHANA,CHAMBACU
MANHANA,ALAMEDAS DEL SINU
ALMUERZO,LOS LAURELES
ALMUERZO,CGTO LOS CARRETOS
MOVILIZACIONVESPERTINA,CASABLANCA I     E-8
MOVILIZACIONVESPERTINA,GALERIAS E-13
MOVILIZACIONVESPERTINA,HIPOTECHO OCCIDENTAL E-8
MOVILIZACIONVESPERTINA,ABRAHAM LINCON E-6
MOVILIZACIONVESPERTINA,EL CODITO E-1
ALMUERZO,LOS LACHES E-3
MANHANA,VOTO NACIONAL E-14
TARDE,QUINTA PAREDES E-13
ALMUERZO,SURBANA E-7
MANHANA,PARDO RUBIO E-2
MANHANA,BOSA CARBONELL I E-7
ALMUERZO,CIUDAD KENNEDY CENTRAL E-8
ALMUERZO,SAN VICTORINO E-3
MANHANA,HIPOTECHO OCCIDENTAL E-8
TARDE,LAS AMERICAS E-13
MADRUGADA,EL PINAR E-11
MADRUGADA,MANDALAY I ETAPA E-8
NOCHE,MODELIA E-9
MOVILIZACIONMATUTINA,PATIO BONITO I E-8
MOVILIZACIONVESPERTINA,CHICO NAVARRA E-1
MOVILIZACIONVESPERTINA,EL TUNAL II E-6
ALMUERZO,CENTRO ADMINISTRATIVO E-17
ALMUERZO,NUEVA DELLY E-4
NOCHE,URB. ZONA INDUSTRIAL E-16
MADRUGADA,7 DE AGOSTO E-12
MADRUGADA,LAURELES LA ESTACION E-7
MADRUGADA,ONASIS E-8
TARDE,BOSA E-7
TARDE,BELLAVISTA E-8
TARDE,LA PORCIUNCULA E-2
TARDE,LA PORCIUNCULA E-2
ALMUERZO,GRAN BRITALIA E-8
ALMUERZO,SAN FELIPE E-12
ALMUERZO,SUCRE E-2
MOVILIZACIONVESPERTINA,PARQUE NACIONAL E-3
MOVILIZACIONVESPERTINA,NICOLAS DE FEDERMAN E-13
NOCHE,LA AUTOPISTA E-16
MADRUGADA,TINTALITO E-8
ALMUERZO,RICAURTE E-14
MOVILIZACIONVESPERTINA,ARMENIA E-13
MADRUGADA,BACHUE E-10
MADRUGADA,VILLA LUZ E-10
NOCHE,LA SOLEDAD E-13
NOCHE,TEQUENDAMA   E-8
NOCHE,CONTADOR E-1
TARDE,URB. ELTEJAR E-16
ALMUERZO,LA FLORESTA E-11
MOVILIZACIONVESPERTINA,PARDO RUBIO E-2
MANHANA,SERAFINA E-4
ALMUERZO,GALERIAS E-13
TARDE,LA PRADERA NORTE E-16
NOCHE,DIVINO ROSTRO E-19
NOCHE,JUAN PABLO I
MADRUGADA,SAN MATEO
MOVILIZACIONVESPERTINA,VER.CENTRO
MADRUGADA,COQUIVACOA
MOVILIZACIONVESPERTINA,URB. MANANTIAL
NOCHE,SAN JUDAS
MOVILIZACIONVESPERTINA,CENTRO
MOVILIZACIONVESPERTINA,VEREDA MONSERRATE
MADRUGADA,LA ORQUIDEA
MANHANA,LOS DUJOS
ALMUERZO,TENERIA
MOVILIZACIONVESPERTINA,PUENES
TARDE,SAN FELIPE
TARDE,SAN FELIPE
MANHANA,CUATRO DE JUNIO
MOVILIZACIONVESPERTINA,AV. LAS AMERICAS
MANHANA,PARQUE BOLIVAR
TARDE,ARNULFO GUERRERO
MOVILIZACIONMATUTINA,VILLA FLOR I
MADRUGADA,CENTRO
MOVILIZACIONVESPERTINA,VENECIA
MANHANA,VIA QUE CONDUCE A TUMACO
MANHANA,BARRIO NUEVO HORIZONTE
ALMUERZO,BARRIO CAMILO TORRES
NOCHE,VILLA LILIANA
MANHANA,LA PAZ CENTRO
MOVILIZACIONVESPERTINA,ESTACION VILLEGAS
MANHANA,SECTOR BATALLON SAN MATEO
MANHANA,CENTRO (A) PEREIRA
TARDE,B. PINARES
MADRUGADA,SECTOR HANSA
MADRUGADA,BARRIO ALMENDRO
MANHANA,LAS MALVINAS
NOCHE,CARDALES
MOVILIZACIONVESPERTINA,CIUDADELA REAL DE MINAS
MOVILIZACIONVESPERTINA,ALARCON
TARDE,DIVINO NINHO (COLORADOS)
MADRUGADA,CENTRO
ALMUERZO,ANTONIA SANTOS
ALMUERZO,ANTONIA SANTOS
TARDE,GARCIA ROVIRA
TARDE,SAN FRANCISCO
NOCHE,BELLAVISTA ALTA
MOVILIZACIONVESPERTINA,PUERTO MADERO
MANHANA,CGTO SAN ANTONIO
TARDE,VARIANTE
MANHANA,PRIMERO DE MAYO
TARDE,SIMON BOLIVAR
NOCHE,VILLA CAFE
NOCHE,SANTA ANA
TARDE,RICAURTE PARTE ALTA
MOVILIZACIONVESPERTINA,MANUELA BELTRAN E14
MOVILIZACIONVESPERTINA,EL INGENIO E17
MANHANA,VALLE GRANDE E21
TARDE,NUEVA TEQUENDAMA E19
TARDE,SAN PEDRO E3
MANHANA,CALIMA E4
ALMUERZO,MARROQUIN I E14
MANHANA,MANUELA BELTRAN E14
NOCHE,VILLA DEL SUR E11
MANHANA,CALIMA E4
MANHANA,VALLE GRANDE E21
NOCHE,PANAMERICANO E10
TARDE,ANTONIO NARINHO E16
TARDE,EL JARDIN E11
TARDE,EL JARDIN E11
NOCHE,CALYPSO E13
MADRUGADA,VILLA DEL PRADO - EL GUABITO E5
MADRUGADA,REPUBLICA ISRAEL E16
MANHANA,CGTO MONTEBELLO E1
MOVILIZACIONVESPERTINA,CALYPSO E13
MOVILIZACIONVESPERTINA,U.R. SANTIAGO DE CALI E19
MANHANA,VIA CALI CANDELARIA (23-S-6-1)
NOCHE,LA ALDEA (23-S-2-2)
MADRUGADA,CALLEJON SAN JORGE (23-S-2-1)
TARDE,URB. BOSQUES DEL EDEN
MADRUGADA,EL BERLIN
MADRUGADA,COSTA RICA
TARDE,LA MISERICORDIA
MANHANA,LAS VEGAS
TARDE,CENTRO
MOVILIZACIONVESPERTINA,LA CANDELARIA C-10
MANHANA,PATIO BONITO C-14
MOVILIZACIONVESPERTINA,LA CANDELARIA C-10
MOVILIZACIONVESPERTINA,MANILA C-14
TARDE,CASTILLA C-5
TARDE,LA CANDELARIA C-10
NOCHE,LA PILARICA C-7
NOCHE,SAN DIEGO C-10
NOCHE,ESTACION VILLA C-10
MADRUGADA,CARIBE C-5
MADRUGADA,VILLANUEVA C-10
MADRUGADA,SAN DIEGO C-10
MANHANA,CENTRO
TARDE,LA ALBORAYA
TARDE,CHIQUINQUIRA
MADRUGADA,LA MANGA
NOCHE,BARRANQUILLITA
NOCHE,MANZANARES
MANHANA,EL ROSARIO
MOVILIZACIONVESPERTINA,LOS ALPES
MOVILIZACIONVESPERTINA,NUEVA COLOMBIA
MOVILIZACIONVESPERTINA,BELLA VISTA
MANHANA,CENTRO
MOVILIZACIONVESPERTINA,CENTRO
MANHANA,EL OASIS
ALMUERZO,LA NEVADA
NOCHE,12 DE OCTUBRE
MADRUGADA,DANGON
ALMUERZO,VILLA JAIDITH
NOCHE,BUENOS AIRES
NOCHE,FURATENA
MADRUGADA,LA GLORIA
ALMUERZO,LA SAMARIA
MANHANA,LA GRANJA
TARDE,VILLA REAL
ALMUERZO,CIUDAD SALITRE E-9
MANHANA,CIUDAD JARDIN SUR E-15
MANHANA,EL PORVENIR E-10
MOVILIZACIONVESPERTINA,RICAURTE E-14
MOVILIZACIONVESPERTINA,VILLA MAYOR E-18
TARDE,MARLY E-2
MOVILIZACIONVESPERTINA,VILLA JAVIER E-4
MANHANA,PUENTE GRANDE E-9
NOCHE,SAN JACINTO E-4
NOCHE,URB. ORTEZAL E-16
MANHANA,OLAYA E-18
MANHANA,SAN LUIS 20 DE JULIO E-4
MADRUGADA,BACHUE E-10
NOCHE,RAFAEL NUNEZ E-13
TARDE,CENTRO CIAL PLAZA AMERICAS E-8
MOVILIZACIONMATUTINA,URB. VERSALLES E-12
MOVILIZACIONVESPERTINA,SAGRADO CORAZON E-3
MADRUGADA,LOS HAYUELOS E-9
MADRUGADA,PALERMO E-13
MADRUGADA,VEINTE DE JULIO E-4
NOCHE,GRAN AMERICA E-13
MADRUGADA,CHICO NORTE I E-2
NOCHE,EL RECUERDO E-13
MADRUGADA,LA AURORA I SECTOR E-5
MOVILIZACIONVESPERTINA,EL TUNAL II E-6
NOCHE,BARRIOS UNIDOS E-12
MANHANA,EL PROGRESO E-14
TARDE,RICAURTE E-14
TARDE,SAN JOSE OBRERO E-10
NOCHE,CLARET E-18
NOCHE,POLO CLUB E-12
MANHANA,SANTA BARBARA E-1
NOCHE,BRAVO PAEZ E-18
MADRUGADA,LOS HAYUELOS E-9
MADRUGADA,OLAYA E-18
TARDE,LA PONDEROSA E-16
MOVILIZACIONVESPERTINA,CHAPINERO ALTO E-2
ALMUERZO,LA ESTRADA E-10
TARDE,SAN FERNANDO
MOVILIZACIONVESPERTINA,GOMEZ DAZA
MANHANA,CENTRO
MANHANA,CENTRO
MADRUGADA,LA LOMA
TARDE,LAS  MERCEDES
MADRUGADA,LOS MARTIRES
MADRUGADA,LOS MARTIRES
MOVILIZACIONVESPERTINA,LOS CAMBULOS
TARDE,CENTRO       (C-1)
NOCHE,RODADERO SUR
NOCHE,CENTRO
TARDE,VILLA JULIA
NOCHE,BARZAL ALTO
MOVILIZACIONVESPERTINA,CENTRO
MOVILIZACIONVESPERTINA,AIRE LIBRE
TARDE,SANTIAGO
MOVILIZACIONVESPERTINA,AV. CHAMPAGNAT
MADRUGADA,MARILUZ
TARDE,VILLAFLOR II
NOCHE,SENDOYA
NOCHE,AVENIDA LA PLAYA
NOCHE,AVENIDA LA PLAYA
MANHANA,BARRIO DONHA NIDIA
MADRUGADA,BARRIO PORTACHUELO
MADRUGADA,BARRIO CALLEJON
MOVILIZACIONVESPERTINA,EL CENTRO
MANHANA,SECTOR ESTACION FERROCARRIL
TARDE,ZONA CENTRO
MANHANA,FUNDADORES
TARDE,EL JAPON
MADRUGADA,CAMPESTRE D
MADRUGADA,EL JAPON
MOVILIZACIONVESPERTINA,LOS LIBERTADORES
MOVILIZACIONVESPERTINA,EL PIZAMO
MOVILIZACIONVESPERTINA,COVIVA
ALMUERZO,TRES UNIDOS
MOVILIZACIONVESPERTINA,PROVENZA
MOVILIZACIONVESPERTINA,NUEVO SOTOMAYOR
MOVILIZACIONVESPERTINA,NUEVO SOTOMAYOR
TARDE,BOLIVAR
ALMUERZO,ALARCON
TARDE,CENTRO
TARDE,ALTOS DE ARENALES
ALMUERZO,CALLE EL CAMPO
NOCHE,1O. DE MAYO
MANHANA,CENTRO
MOVILIZACIONVESPERTINA,EL CARMEN
MANHANA,SANTA HELENA
NOCHE,EL PEDREGAL (URB.)
NOCHE,RICAURTE PARTE ALTA
ALMUERZO,JORDAN VII ETAPA
MOVILIZACIONVESPERTINA,CALYPSO E13
MOVILIZACIONVESPERTINA,PARCELACIONES PANCE E22
TARDE,SAN LUIS E6
MOVILIZACIONVESPERTINA,DIAMANTE E13
MOVILIZACIONVESPERTINA,SANTA ROSA E3
ALMUERZO,CIUDAD CORDOBA E15
TARDE,ALFONSO LOPEZ I E7
MANHANA,MOJICA E15
NOCHE,CHIMINANGOS I E5
MOVILIZACIONMATUTINA,EUCARISTICO E19
TARDE,EL POBLADO II E13
TARDE,EL POBLADO II E13
NOCHE,POPULAR E4
MADRUGADA,ANTONIO NARINHO E16
MANHANA,CANHAVERAL - BELLA SUIZA E19
MANHANA,CANHAVERAL - BELLA SUIZA E19
MANHANA,EUCARISTICO E19
ALMUERZO,JUAN DE AMPUDIA E24
MOVILIZACIONVESPERTINA,SANTA BARBARA
NOCHE,LAS AMERICAS
MANHANA,EL CENTRO
MANHANA,URIBE E25
MOVILIZACIONVESPERTINA,ARROYOHONDO ZONA INDUSTRIAL (25-2)
MANHANA,CENTRO (LETICIA)
ALMUERZO,EL MIRADOR
MOVILIZACIONVESPERTINA,JARDINES
TARDE,PRIMAVERA
MOVILIZACIONVESPERTINA,MANILA C-14
MOVILIZACIONVESPERTINA,CENTRO ADMINISTRATIVO C-10
ALMUERZO,CONQUISTADORES C-11
MANHANA,LA FLORIDA C-14
MANHANA,SAN JAVIER 1 C-13
TARDE,LOS COLORES C-11
MADRUGADA,JESUS NAZARENO C-10
MOVILIZACIONMATUTINA,SAN BENITO C-10
NOCHE,SAN DIEGO C-10
MADRUGADA,PATIO BONITO C-14
MADRUGADA,CAMPO AMOR C-15
MADRUGADA,ESTACION VILLA C-10
MADRUGADA,PATIO BONITO C-14
MOVILIZACIONVESPERTINA,CERRO NUTIBARA C-16
MADRUGADA,LOS ALPES C-16
MOVILIZACIONVESPERTINA,SAN DIEGO C-10
MADRUGADA,GUAYAQUIL C-10
NOCHE,EL VELODROMO C-11
TARDE,MANUEL RESTREPO
MADRUGADA,VILLA SAN JUAN
MOVILIZACIONVESPERTINA,LA ALBORAYA
MOVILIZACIONVESPERTINA,VILLA CAROLINA
MANHANA,LA CONCEPCION
MANHANA,LAS PALMAS
TARDE,MONTES
NOCHE,BUENOS AIRES
MOVILIZACIONVESPERTINA,SILENCIO
MADRUGADA,CHIQUINQUIRA
MOVILIZACIONVESPERTINA,LAS FLOREZ
TARDE,LA CONSOLATA
TARDE,VDA. SUCRE ORIENTAL
MOVILIZACIONVESPERTINA,BARRIO CENTRO
NOCHE,CENTRO
NOCHE,CENTRO
ALMUERZO,BARRIO MALDONADO
MANHANA,SENDEROS DE LA VILLA
NOCHE,CENTRO
MOVILIZACIONVESPERTINA,EL CENTRO
NOCHE,HOBO
MANHANA,CENTRO
ALMUERZO,VILLA DEL NORTE
ALMUERZO,EL ROSARIO
NOCHE,COR. LA LOMA
MANHANA,EL CARMEN
MANHANA,AMERICAS
MANHANA,EL PARAISO
MADRUGADA,COLINA REAL
MOVILIZACIONVESPERTINA,NARINHO
MOVILIZACIONVESPERTINA,VENECIA E-6
MANHANA,RINCON DE BRITALIA E-11
MANHANA,DINDALITO E-8
NOCHE,GALAN E-16
TARDE,CENTRO ADMINISTRATIVO E-17
MANHANA,QUINTA CAMACHO E-2
MOVILIZACIONVESPERTINA,EL POA E-11
MOVILIZACIONVESPERTINA,SUCRE E-2
ALMUERZO,TOBERIN ORIENTAL E-1
ALMUERZO,VILLA DEL PRADO E-11
MOVILIZACIONVESPERTINA,LAS FLORES E-11
NOCHE,INGLES E-18
MANHANA,7 DE AGOSTO E-12
ALMUERZO,SAN CARLOS PREDIO SAN JOSE E-6
MANHANA,CENTRO E-3
TARDE,BILBAO E-11
MADRUGADA,CHICO NAVARRA E-1
NOCHE,CENTRO E-3
TARDE,ATENAS E-4
TARDE,VOTO NACIONAL E-14
ALMUERZO,PARQUE NACIONAL E-3
TARDE,CENTRO NORTE USAQUEN E-1
NOCHE,FATIMA E-6
MADRUGADA,CASTILLA LA NUEVA E-8
MADRUGADA,LAS MARGARITAS E-8
NOCHE,SALAZAR GOMEZ E-16
MADRUGADA,LA GRANJA E-10
MADRUGADA,EL MIRADOR SUR I Y II E-18
MANHANA,SAN VICTORINO E-3
NOCHE,EL AMPARO E-8
TARDE,MARLY E-2
MOVILIZACIONVESPERTINA,UNICENTRO E-1
ALMUERZO,VERACRUZ E-3
ALMUERZO,PALERMO E-13
MOVILIZACIONVESPERTINA,URB. MADELENA I Y II SECTOR E-19
MOVILIZACIONVESPERTINA,CHAPINERO ALTO E-2
NOCHE,MUZU E-6
ALMUERZO,EL LIBERTADOR E-18
TARDE,BOITA E-8
MADRUGADA,SALITRE E-11
MADRUGADA,PATIO BONITO I E-8
MANHANA,EL TUNAL II E-6
NOCHE,SAN LUIS E-13
NOCHE,SAN ISIDRO II SECTOR E-4
TARDE,EL TINTAL E-8
MANHANA,GRAN BRITALIA E-8
MANHANA,PRADO VERANIEGO E-11
NOCHE,ALVARO BERNAL SEGURA E-19
TARDE,BALMORAL
NOCHE,GOMEZ DAZA
MOVILIZACIONVESPERTINA,GUAPUNA
MANHANA,15 DE MAYO
MADRUGADA,CENTRO
ALMUERZO,VILLA GALAN
MOVILIZACIONVESPERTINA,LA RIOJA
NOCHE,AEROPUERTO
TARDE,SUCRE
MOVILIZACIONVESPERTINA,LOMA FRESCA  (C-1)
MANHANA,MAMATOCO
TARDE,CENTRO
MADRUGADA,BULEVAR DEL RIO
MADRUGADA,SANTA CRUZ
MADRUGADA,TAGANGA
MADRUGADA,CENTRO
ALMUERZO,ANTONIO PINILLA
MOVILIZACIONVESPERTINA,20 DE JULIO
NOCHE,VILLA DEL MAR
TARDE,EL BUQUE
TARDE,LAS CUADRAS
MOVILIZACIONVESPERTINA,EL ROSARIO
ALMUERZO,AV. LAS AMERICAS
MADRUGADA,LA CASTELLANA
MANHANA,VEREDA CHANARRO ALTO
ALMUERZO,BARRIO MARABEL
ALMUERZO,LA UNION
MADRUGADA,VERANERAS
MOVILIZACIONVESPERTINA,GUADUALES DE LA VILLA
MADRUGADA,SECTOR PARQUE VALENCIA
ALMUERZO,MARAYA
MOVILIZACIONVESPERTINA,LIBERTADORES
ALMUERZO,LA INDEPENDENCIA
MOVILIZACIONVESPERTINA,SECTOR PARQUE LA LIBERTAD
TARDE,LA PAZ CENTRO
ALMUERZO,PLAZA CIVICA CIUDAD VICTORIA
MOVILIZACIONVESPERTINA,COLOMBIA
NOCHE,CAMPO GALAN
TARDE,LAS GRANJAS
TARDE,ALTOS DEL CAMPESTRE
MOVILIZACIONVESPERTINA,MANUELA BELTRAN I
MANHANA,ANTONIA SANTOS
MANHANA,TEJAR NORTE (SECTOR II )
MADRUGADA,LOS ANGELES
MADRUGADA,CHAPINERO
MOVILIZACIONVESPERTINA,MANUELA BELTRAN I
MANHANA,CABECERA DEL LLANO
MADRUGADA,TERMINAL DE TRANSPORTES
MOVILIZACIONVESPERTINA,MORRORICO
MOVILIZACIONVESPERTINA,MORRORICO
MOVILIZACIONVESPERTINA,BELLAVISTA
MADRUGADA,VDA. HELECHALES
TARDE,LA ESMERALDA
MOVILIZACIONVESPERTINA,LAS MERCEDES
NOCHE,CERRITO COLORADO
MOVILIZACIONVESPERTINA,CENTRO
NOCHE,EL SALADO
MOVILIZACIONVESPERTINA,VILLA DEL SOL
ALMUERZO,CALARCA
MANHANA,EL PUERTO
MOVILIZACIONVESPERTINA,CHAPINERO E8
MOVILIZACIONVESPERTINA,JULIO RINCON E12
MOVILIZACIONVESPERTINA,ALTO NAPOLES E18
MANHANA,UNID. BUENO MADRID E4
TARDE,LAS DELICIAS E4
MOVILIZACIONVESPERTINA,EL CALVARIO E3
MANHANA,POPULAR E4
NOCHE,JOSE M. MARROQUIN II E14
TARDE,VALLADO E15
TARDE,VALLADO E15
MANHANA,EL LIMONAR E17
MANHANA,SAN FERNANDO VIEJO E19
MANHANA,SANTA FE E8
NOCHE,ANTONIO NARINHO E16
MOVILIZACIONVESPERTINA,LOS ALCAZARES E6
MOVILIZACIONVESPERTINA,MENGA E2
MOVILIZACIONVESPERTINA,FLORA INDUSTRIAL E4
MOVILIZACIONVESPERTINA,MENGA E2
MANHANA,VALLADO E15
MADRUGADA,URB. COLSEGUROS E19
MADRUGADA,OLIMPICO E10
MADRUGADA,LA FLORESTA E8
MANHANA,MARIANO RAMOS E16
MOVILIZACIONVESPERTINA,CANHAVERALEJO - SEGUROS P. E19
MOVILIZACIONVESPERTINA,NUEVO FARFAN
MOVILIZACIONVESPERTINA,VILLAS DEL HATO
MANHANA,BARRIO CAYCEDO C-9
TARDE,CAMPO AMOR C-15
MANHANA,LOS NARANJOS C-14
ALMUERZO,LOS COLORES C-11
TARDE,BARRIO CAYCEDO C-9
MOVILIZACIONVESPERTINA,LA CANDELARIA C-10
TARDE,GUAYABAL C-15
NOCHE,BELEN C-16
NOCHE,CARIBE C-5
NOCHE,GIRARDOT C-5
NOCHE,LAURELES C-11
MANHANA,BOSTON C-10
MANHANA,LA AMERICA C-12
TARDE,CALAZANS C-12
MANHANA,BARRIO COLOMBIA C-14
ALMUERZO,ESTACION VILLA C-10
NOCHE,NUEVA VILLA DE ABURRA C-16
MADRUGADA,LOS COLORES C-11
ALMUERZO,CUATRO ESQUINAS
MOVILIZACIONVESPERTINA,REBOLO
ALMUERZO,LA CAMPINHA
MOVILIZACIONVESPERTINA,CARRIZAL
MANHANA,BOSTON
NOCHE,ANITA ( E - 3 )
MADRUGADA,PRIMERO CHIQUINQUIRA
MOVILIZACIONMATUTINA,SECTOR HIGUERAS
NOCHE,LIBERTADOR
TARDE,LOS ALISOS
TARDE,LOS ALISOS
MADRUGADA,BARRIO 15 DE MAYO
TARDE,CENTRO
MOVILIZACIONVESPERTINA,BENGALA
TARDE,FUNDADORES
NOCHE,CERVANTES
TARDE,PALOGRANDE
NOCHE,LA ESTRELLA
TARDE,PANDIGUANDO
MOVILIZACIONVESPERTINA,LA SOMBRILLA
MOVILIZACIONVESPERTINA,INV.BRISAS DE LA POPA
MANHANA,CANHAGUATE
MANHANA,CENTRO
MANHANA,LOS ALAMOS
MOVILIZACIONVESPERTINA,SAN JUDAS
MADRUGADA,PORTAL DE ALMERIA
ALMUERZO,SANTO DOMINGO
MOVILIZACIONVESPERTINA,LIJACA E-1
MOVILIZACIONVESPERTINA,SAN PABLO E-7
MOVILIZACIONVESPERTINA,CHICO I E-2
MOVILIZACIONVESPERTINA,LA LIBERTAD E-7
ALMUERZO,FINCA SAN LUIS E-1
ALMUERZO,SAUCEDAL E-8
MANHANA,ALCALA  E-11
MANHANA,EDUARDO SANTOS E-14
MOVILIZACIONVESPERTINA,ANTIGUO COUNTRY E-2
MOVILIZACIONVESPERTINA,TUNALITO E-6
NOCHE,EL AMPARO E-8
TARDE,RIO NEGRO NORTE E-12
TARDE,VENECIA E-6
MANHANA,EL PINAR E-11
MOVILIZACIONVESPERTINA,CHAPINERO CENTRAL E-2
MOVILIZACIONVESPERTINA,SAN BLAS E-4
ALMUERZO,EL TUNAL II E-6
ALMUERZO,LA VICTORIA E-4
ALMUERZO,SAN CRISTOBAL E-1
ALMUERZO,SANTA ISABEL E-14
MOVILIZACIONVESPERTINA,AYACUCHO E-4
NOCHE,LUCERO BAJO E-19
NOCHE,VILLA DE LA LOMA E-8
ALMUERZO,PABLO VI E-13
TARDE,LOMBARDIA II E-11
TARDE,TUNJUELITO E-6
MOVILIZACIONVESPERTINA,TEUSAQUILLO E-13
ALMUERZO,GALAN E-16
ALMUERZO,METROPOLIS OCCIDENTAL E-10
NOCHE,URB. MIRANDELA E-11
MADRUGADA,URB. ZONA INDUSTRIAL E-16
NOCHE,BARRANCAS E-1
MADRUGADA,CHAPINERO CENTRAL E-2
MADRUGADA,PALERMO E-13
MADRUGADA,CORABASTOS E-8
MADRUGADA,EL CARMEN E-9
MANHANA,BERLIN E-11
MANHANA,PERDOMO E-19
TARDE,NAVARRA E-1
MOVILIZACIONVESPERTINA,BRASILIA I SECTOR E-7
NOCHE,NIZA SUBA E-11
NOCHE,VEINTE DE JULIO E-4
NOCHE,VERACRUZ E-3
MANHANA,ALBALONGA E-11
MANHANA,AURES I-II E-11
MANHANA,COLOMBIA E-12
MANHANA,CIUDAD JARDIN E-11
MANHANA,CIUDADELA COLSUBSIDIO E-10
MADRUGADA,SAN PEDRO E-11
MADRUGADA,VILLA AMALIA E-10
ALMUERZO,ONASIS E-8
MOVILIZACIONVESPERTINA,CHAPINERO ALTO E-2
NOCHE,RAMAJAL E-4
NOCHE,BILBAO E-11
ALMUERZO,CHAPINERO CENTRAL E-2
MOVILIZACIONVESPERTINA,PALERMO E-13
NOCHE,CENTRO
MOVILIZACIONVESPERTINA,PARAISO
MANHANA,BUENOS AIRES
MADRUGADA,MONTEBELLO
MANHANA,BARRIO MODELO
NOCHE,DIEGO DE OSPINA
MADRUGADA,SANTA INES
MANHANA,VEREDA EL CARMEN
NOCHE,VEREDA LAS MERCEDES
MOVILIZACIONVESPERTINA,CENTRO HISTORICO
MANHANA,SAN JOSE
NOCHE,LA PAZ
MADRUGADA,CENTRO
TARDE,LA ESPERANZA
MANHANA,PORFIA
TARDE,CAMBULOS
NOCHE,VILLA SUAREZ
NOCHE,CENTRO
MOVILIZACIONVESPERTINA,ACAPULCO
TARDE,CENTRO
MANHANA,CENTRO
TARDE,AV. LAS AMERICAS
TARDE,SANTA BARBARA
MOVILIZACIONMATUTINA,MARIDIAZ
NOCHE,RINCON DE LA AURORA
MADRUGADA,LAS CUADRAS
NOCHE,CENTRO
MANHANA,PALERMO
MANHANA,BOMBONA
MANHANA,FATIMA
MANHANA,BARRIO CUCUTA 75
TARDE,BARRIO SAN LUIS
MADRUGADA,LA MARIANA
TARDE,SECTOR PARQUE LA LIBERTAD
MADRUGADA,INTERNACIONAL
MANHANA,CENTRO
MANHANA,ANTONIA SANTOS
MANHANA,PUERTA DEL SOL
MADRUGADA,CABECERA DEL LLANO
ALMUERZO,BUENOS AIRES
MANHANA,CANHAVERAL
MANHANA,EL DORADO
MADRUGADA,BUCARICA
MOVILIZACIONVESPERTINA,CONVIVIR
MOVILIZACIONVESPERTINA,HACIENDA LA MESETA
MANHANA,LAS DELICIAS
TARDE,BARILOCHE
TARDE,SANTA CECILIA
MOVILIZACIONVESPERTINA,HIPODROMO
TARDE,CENTRO
MOVILIZACIONVESPERTINA,URB. MILITAR E19
MOVILIZACIONVESPERTINA,VILLACOLOMBIA E8
MANHANA,LOS SAUCES E11
MANHANA,LAS AMERICAS E8
ALMUERZO,JOSE M. MARROQUIN II E14
TARDE,EL JARDIN E11
MOVILIZACIONVESPERTINA,CIUDAD CAPRI E17
