HORA,BARRIO
MANHANA,CENTRO
MANHANA,AV. CHAMPAGNAT
MADRUGADA,BARRIO PRADOS DEL ESTE
NOCHE,BARRIO EL BOSQUE
NOCHE,SECTOR CAM
ALMUERZO,VERACRUZ
NOCHE,SECTOR COLISEO DEL CAFE
ALMUERZO,MIRAFLORES BAJO
NOCHE,CIUDADELA EL ENSUENHO
NOCHE,CIUDADELA EL ENSUENHO
MADRUGADA,B. CENTRO
MADRUGADA,B. CENTRO
MADRUGADA,B. CENTRO
MOVILIZACIONVESPERTINA,SECTOR LA POPA
ALMUERZO,LA AURORA
ALMUERZO,LA AURORA
MOVILIZACIONVESPERTINA,PLAZA CIVICA CIUDAD VICTORIA
MANHANA,SECTOR PLAZA DE BOLIVAR
NOCHE,SECTOR AVENIDA DEL RIO
TARDE,LAS GARZAS
NOCHE,LA ESPERANZA
MOVILIZACIONVESPERTINA,GARCIA ROVIRA
MADRUGADA,CABECERA DEL LLANO
MADRUGADA,REGADERO NORTE
MADRUGADA,TRANSICION V
ALMUERZO,DIAMANTE II
TARDE,VILLA ROSA
MADRUGADA,PIO XII
MANHANA,EL BOSQUE
NOCHE,PANORAMA
TARDE,VIA PIEDRAS
MADRUGADA,CENTRO
MADRUGADA,VRDA. DINDALITO
MOVILIZACIONVESPERTINA,EL GRAN LIMONAR E17
ALMUERZO,NORMANDIA E2
TARDE,ALFONSO B. ARAGON E14
TARDE,MARIANO RAMOS E16
NOCHE,EL RETIRO E15
MOVILIZACIONVESPERTINA,SANTA ROSA E3
ALMUERZO,SANTA TERESITA E2
MADRUGADA,SAN PEDRO E3
MADRUGADA,VALLADO E15
MADRUGADA,SIETE DE AGOSTO E7
ALMUERZO,JORGE ISAACS E4
ALMUERZO,JORGE ISAACS E4
MANHANA,SILOE E20
MOVILIZACIONVESPERTINA,MARROQUIN I E14
MANHANA,CALLEJON TIPLE ARRIBA (23-S-4-1)
NOCHE,CANDELARIA (23-1 23-2)
MADRUGADA,CENTRAL (23-S-2-1)
TARDE,JORGE ELIECER GAITAN
MOVILIZACIONVESPERTINA,LA PRADERA I E24
MANHANA,ZAMORANO
NOCHE,CENTRAL
NOCHE,CENTRAL
MADRUGADA,VILLA CLAUDIA
MADRUGADA,VDA. POTRERITO
MANHANA,ZONA CENTRO
NOCHE,ASOVIVIENDA
MADRUGADA,PALMIRA
NOCHE,VILLANUEVA
TARDE,TERRA NOVA
TARDE,VDA. LA MARIA
MADRUGADA,SAN PIO
TARDE,VILLA PAULA
NOCHE,CENTRO
MANHANA,LA CANDELARIA C-10
MANHANA,VILLANUEVA C-10
MANHANA,LA CANDELARIA C-10
TARDE,ZONA CENTRO
MOVILIZACIONVESPERTINA,GERONA  C-9
MOVILIZACIONVESPERTINA,LA MILAGROSA  C-9
ALMUERZO,HECTOR ABAD GOMEZ C-5
TARDE,CRISTO REY C-15
MOVILIZACIONVESPERTINA,BARRIO COLOMBIA C-14
MANHANA,LA CANDELARIA C-10
MANHANA,LA CANDELARIA C-10
NOCHE,LAURELES C-11
MADRUGADA,LOS ANGELES C-10
MOVILIZACIONVESPERTINA,EL POBLADO C-14
NOCHE,BOYACA C-5
TARDE,LA CANDELARIA C-10
NOCHE,CARIBE C-5
MANHANA,ESTACION VILLA C-10
TARDE,ESTACION VILLA C-10
MANHANA,AMANECERES
MANHANA,CAMPO ALEGRE
TARDE,LLANOGRANDE
MOVILIZACIONVESPERTINA,RINCON DE SAN ANTONIO
MADRUGADA,RIO ABAJO
MOVILIZACIONVESPERTINA,CERAMICA
NOCHE,SAN MIGUEL
NOCHE,SAN MIGUEL
ALMUERZO,CARRIZAL
MANHANA,VILLAS DE LA CORDIALIDAD
MANHANA,VILLAS DE LA CORDIALIDAD
NOCHE,BOSTON
MANHANA,EL SANTUARIO
MADRUGADA,REBOLO
MADRUGADA,PASADENA
NOCHE,BOSTON
NOCHE,SAN JOSE
MOVILIZACIONVESPERTINA,CENTRO
TARDE,BARRIO SANTA BARBARA
ALMUERZO,CENTRO
MADRUGADA,BARRIO LOS AGUSTINOS
NOCHE,BARRIO CHIPRE
MANHANA,CIUDADELA HABITACIONAL SIGLO XXI
NOCHE,LA LIBERTAD
MADRUGADA,ALGARROBO
MADRUGADA,ALGARROBO
MADRUGADA,ALGARROBO
MADRUGADA,ALGARROBO
MADRUGADA,ALGARROBO
MADRUGADA,CENTRO
MOVILIZACIONVESPERTINA,LA FRAGUA
MOVILIZACIONVESPERTINA,LA FRAGUA
NOCHE,POSTOBON
TARDE,SOLIDARIDAD
MOVILIZACIONVESPERTINA,ALAMEDA
TARDE,VILLA DOCENTE
MOVILIZACIONVESPERTINA,CHAMPAGNHA
MOVILIZACIONVESPERTINA,RETIRO BAJO
MADRUGADA,EL CENTRO
MANHANA,VEREDA BESITO VOLADO
MADRUGADA,VIA MONTERIA -PLANETA RICA
MOVILIZACIONVESPERTINA,URB. LA COLINA CAMPESTRE I SECTOR E-11
MOVILIZACIONVESPERTINA,CHAPINERO NORTE E-2
TARDE,CHAPINERO NORTE E-2
MOVILIZACIONVESPERTINA,CHAPINERO NORTE E-2
TARDE,ALQUERIA LA FRAGUA E-8
ALMUERZO,NICOLAS DE FEDERMAN E-13
TARDE,GUSTAVO RESTREPO E-18
MADRUGADA,VENECIA E-6
TARDE,CHICO NORTE II SECTOR E-1
TARDE,SAN ANTONIO E-15
MADRUGADA,EL RINCON E-11
MOVILIZACIONVESPERTINA,LOS CEDRITOS E-1
MANHANA,VILLA MAYOR E-15
TARDE,CENTRO
MANHANA,31 DE OCTUBRE
MANHANA,31 DE OCTUBRE
MADRUGADA,EL CENTRO
MANHANA,QUIRINAL
NOCHE,LAS  MERCEDES
MOVILIZACIONVESPERTINA,CENTRO
NOCHE,VEREDA MATEO RICO
TARDE,CENTRO HISTORICO
NOCHE,CENTRO HISTORICO
MOVILIZACIONVESPERTINA,CENTRO
MANHANA,MONTECARLO
MOVILIZACIONVESPERTINA,BRISAS DEL GUATIQUIA
TARDE,CENTRO
MOVILIZACIONVESPERTINA,LA ESPERANZA
ALMUERZO,VILLA MELIDA
MADRUGADA,CANAAN
TARDE,LA ESMERALDA
NOCHE,CENTRO
NOCHE,CENTRO
NOCHE,PIAMONTE
MADRUGADA,CENTRO
MANHANA,CENTRO
NOCHE,MONTECARLO
MANHANA,GAVIOTAS
MADRUGADA,CENTRO
NOCHE,VEREDA APIAY
MOVILIZACIONVESPERTINA,20 DE JULIO
ALMUERZO,CENTRO
ALMUERZO,SAN FELIPE
TARDE,CENTRO
MANHANA,20 DE JULIO
TARDE,20 DE JULIO
MOVILIZACIONVESPERTINA,CENTRO
ALMUERZO,OBRERO
MANHANA,SANTANDER
ALMUERZO,CENTRO
MANHANA,EMILIO BOTERO
MANHANA,SAN ANDRES
TARDE,CENTRO
TARDE,CENTRO
MADRUGADA,PANORAMICO I ETAPA
TARDE,CENTRO
MANHANA,BARRIO CALLEJON
MOVILIZACIONVESPERTINA,BARRIO BELLAVISTA
TARDE,SUBESTACION SAN JUAN DE VILLALOBOS
MANHANA,EL CENTRO
MOVILIZACIONVESPERTINA,NUEVA ARMENIA
MANHANA,ACACIAS
MANHANA,BOSQUES DE PINARES
MANHANA,CENTRO
MADRUGADA,BUENOS AIRES
ALMUERZO,SAGUANES
MANHANA,SAN DIEGO
TARDE,BAYRON GAVIRIA
TARDE,TURIN
MANHANA,VDA. EL MANZANO
NOCHE,SANTA TERESITA
MANHANA,SECTOR PARQUE EL LAGO
TARDE,ALFONSO LOPEZ
ALMUERZO,B. SAN FRANCISCO
TARDE,GALAN GOMEZ
TARDE,NARINHO
TARDE,NARINHO
MANHANA,CENTRO
MADRUGADA,CLAVERIANO
MOVILIZACIONVESPERTINA,RONDON
TARDE,ASOBETANIA
MOVILIZACIONVESPERTINA,VILLA ANGELICA
MOVILIZACIONVESPERTINA,KENEDY
MOVILIZACIONVESPERTINA,CENTRO
MANHANA,JARDIN II ETAPA
NOCHE,JORDAN MUTIFAMILIARES
NOCHE,ONZAGA
MADRUGADA,LA MANSION
NOCHE,KENEDY
NOCHE,MACARENA ALTA
MOVILIZACIONVESPERTINA,EL JORDAN
ALMUERZO,LOS LAGOS E13
MOVILIZACIONVESPERTINA,MORICHAL DE COMFANDI E15
MANHANA,SAN LUIS E6
MOVILIZACIONVESPERTINA,CRISTOBAL COLON E10
MOVILIZACIONVESPERTINA,PARCELACIONES PANCE E22
TARDE,ALAMEDA E9
TARDE,PARCELACIONES PANCE E22
MADRUGADA,ALFONSO BARBERENA E12
NOCHE,EL INGENIO E17
NOCHE,ALFONSO B. ARAGON E14
NOCHE,SAN FERNANDO VIEJO E19
MANHANA,EL SENA E5
NOCHE,PARCELACIONES PANCE E22
NOCHE,PRIMERO DE MAYO E17
MOVILIZACIONVESPERTINA,PANAMERICANO (23-2)
ALMUERZO,VIA CENCAR - AEREOPUERTO
ALMUERZO,FRANCISCANOS
TARDE,LAS DELICIAS
MANHANA,VIA YUMBO DAPA (25-8)
MANHANA,VIA YUMBO DAPA (25-8)
MADRUGADA,BELALCAZAR E25
NOCHE,SIMON BOLIVAR
NOCHE,CENTRO (LETICIA)
ALMUERZO,PARQUE PRINCIPAL
MOVILIZACIONVESPERTINA,LA MADERA
MADRUGADA,SANTA MARIA # 3
TARDE,LA CIUDADELA
TARDE,LA CIUDADELA
MANHANA,CAMPO VALDES 1  C-4
NOCHE,LA CANDELARIA C-10
TARDE,ARANJUEZ  C-4
MOVILIZACIONVESPERTINA,BARRIO COLOMBIA C-14
TARDE,CERRO EL VOLADOR C-7
TARDE,ENCISO C-8
TARDE,PROGRESO 2 C-6
TARDE,VILLANUEVA C-10
MOVILIZACIONVESPERTINA,PRADO C-10
MOVILIZACIONVESPERTINA,SEVILLA  C-4
TARDE,EL DIAMANTE C-7
NOCHE,LA PINHUELA  C-4
TARDE,EL TESORO C-14
MOVILIZACIONVESPERTINA,CONQUISTADORES C-11
ALMUERZO,LAURELES C-11
NOCHE,PRADO C-10
NOCHE,LA CASTELLANA C-11
MOVILIZACIONVESPERTINA,LA CANDELARIA C-10
NOCHE,MANILA C-14
NOCHE,NARANJAL C-11
TARDE,PRADO C-10
TARDE,SEVILLA  C-4
ALMUERZO,LA CANDELARIA C-10
MADRUGADA,BOMBONA 1 C-10
MOVILIZACIONVESPERTINA,SEVILLA  C-4
MANHANA,REMANSOS
TARDE,TABLAZO
TARDE,TABLAZO
NOCHE,LAS CABANHAS
NOCHE,EL ROSARIO
MANHANA,LA VICTORIA
TARDE,CENTRO
MADRUGADA,7 DE ABRIL
ALMUERZO,CENTRO
MOVILIZACIONVESPERTINA,VDA. RESGUARDO
MOVILIZACIONVESPERTINA,PLAZA DE TOROS
MOVILIZACIONVESPERTINA,ONDAS DE OTUN
MADRUGADA,FUNDADORES
MANHANA,ARBOLEDA
MOVILIZACIONVESPERTINA,CENTRO
ALMUERZO,SECTOR EL CABLE
MOVILIZACIONVESPERTINA,EL PORVENIR
NOCHE,LA VEGA
MOVILIZACIONVESPERTINA,RICAURTE
NOCHE,TORASSO
NOCHE,TORASSO
MADRUGADA,CENTRO
TARDE,OLAYA HERRERA
MANHANA,EL CARMEN
MOVILIZACIONVESPERTINA,FERIA GANADERA
MADRUGADA,ZONA MINERA
MADRUGADA,JULIO FIGUEROA VILLA
MANHANA,VEREDA SANTA ANA
ALMUERZO,LAS AGUAS E-17
ALMUERZO,URB. PALENQUE E-8
TARDE,TEUSAQUILLO E-13
MOVILIZACIONVESPERTINA,VILLA NELLY E-8
TARDE,GALERIAS E-13
MOVILIZACIONVESPERTINA,LA MACARENA E-3
MOVILIZACIONVESPERTINA,PASADENA ROYAL E-11
NOCHE,LA CASTELLANA E-12
NOCHE,LA CASTELLANA E-12
MADRUGADA,CIUDAD JARDIN SUR E-15
MADRUGADA,BILBAO E-11
NOCHE,ESTADOS UNIDOS   E-8
NOCHE,IBERIA E-11
MANHANA,CHICO NORTE I E-2
ALMUERZO,SUBA CENTRO E-11
MADRUGADA,GUSTAVO RESTREPO E-18
MADRUGADA,EL PLAYON - LA PLAYITA III E-18
MOVILIZACIONVESPERTINA,ENTRERIOS E-12
MANHANA,QUIRIGUA I E-10
TARDE,"LA SOLEDAD, SAN JOSE NORTE E-10"
MOVILIZACIONVESPERTINA,BOSQUES DE SAN JOSE E-18
MADRUGADA,VILLA CLEMENCIA E-7
MOVILIZACIONVESPERTINA,EL RECREO E-7
MADRUGADA,LAS MARGARITAS E-7
MADRUGADA,CENTRO
MANHANA,CENTRO
TARDE,EL CARMEN
TARDE,EL CARMEN
TARDE,LA VICTORIA
TARDE,RAFAEL AZUERO MANCHOLA
NOCHE,LUIS CARLOS GALAN ETAPA I
ALMUERZO,ENRIQUE OLAYA HERRERA
ALMUERZO,VILLA MELIDA
MANHANA,RELIQUIA
MOVILIZACIONVESPERTINA,BARZAL BAJO
TARDE,DONHA LUZ
ALMUERZO,REMANSO
MANHANA,VILLA JULIA
TARDE,LLANO LINDO
NOCHE,JORDAN
TARDE,ESTERO
TARDE,CAMINO REAL
MADRUGADA,MACUNAIMA
MADRUGADA,COMUNEROS
NOCHE,ESTERO
ALMUERZO,SANTANDER
ALMUERZO,CENTRO
TARDE,GOLGOTA
MOVILIZACIONVESPERTINA,OBRERO
MADRUGADA,20 DE JULIO
TARDE,LORENZO
TARDE,LORENZO
MANHANA,MORASURCO
MANHANA,SAN JUAN BOSCO
ALMUERZO,CENTRO
ALMUERZO,CENTRO
ALMUERZO,CENTRO
ALMUERZO,AV. CHAMPAGNAT
ALMUERZO,CENTRO
MOVILIZACIONMATUTINA,NIZA III
MADRUGADA,ESTADIO LIBERTAD
MADRUGADA,LORENZO
MOVILIZACIONVESPERTINA,PLAZA DEL CARNAVAL
MOVILIZACIONVESPERTINA,CENTRO
ALMUERZO,CENTRO
ALMUERZO,CENTRO
NOCHE,EL MORRO
NOCHE,SAN JUAN
TARDE,BARRIO LOS PINOS
MANHANA,BARRIO LA PLAYA
NOCHE,BARRIO SAN JOSE
NOCHE,BARRIO LA LIBERTAD
MANHANA,BARRIO SIMON BOLIVAR
TARDE,BARRIO CENTRO
NOCHE,PABLO VI
NOCHE,CENTRO
NOCHE,CIUDADELA UNIVERSITARIA
MADRUGADA,PERPETUO SOCORRO
TARDE,SAN FERNANDO
ALMUERZO,MIRAFLORES BAJO
TARDE,ZONA CENTRO
MADRUGADA,PLAZOLETA LA VILLA
NOCHE,LOS NARANJOS
MOVILIZACIONVESPERTINA,VILLAVICENCIO
TARDE,SECTOR AV 30 AGO ENTRE CL 37 Y 41
NOCHE,SECTOR COMERCIAL
MADRUGADA,SANTA ISABEL
TARDE,LA ESPERANZA
MOVILIZACIONVESPERTINA,JARDINES DE COAVICONSA
MOVILIZACIONVESPERTINA,NUEVO SOTOMAYOR
MOVILIZACIONVESPERTINA,SAN RAFAEL
MOVILIZACIONVESPERTINA,SAN FRANCISCO
MANHANA,KENNEDY
NOCHE,LA PAZ E2
ALMUERZO,BUCARAMANGA
MOVILIZACIONVESPERTINA,LAGOS I
MOVILIZACIONVESPERTINA,HACIENDA SAN JUAN
TARDE,CONVIVIR
MOVILIZACIONVESPERTINA,CENTRO P/TA
NOCHE,EL PROGRESO
MOVILIZACIONVESPERTINA,ESPANHA
NOCHE,HACIENDA PIEDRAPINTADA
MOVILIZACIONVESPERTINA,EL CARMEN
TARDE,ESTACION
MANHANA,CADIZ
NOCHE,TOLIMA GRANDE
MADRUGADA,JORDAN MUTIFAMILIARES
ALMUERZO,SANTA RITA
MANHANA,CENTRO
ALMUERZO,VERSALLES E2
TARDE,CIUDAD CAPRI E17
TARDE,LOS LAGOS E13
ALMUERZO,PRADOS DEL NORTE E2
ALMUERZO,CGTO LA VORAGINE E22
MOVILIZACIONVESPERTINA,PRADOS DEL NORTE E2
NOCHE,LOS LAGOS E13
MADRUGADA,VALLE GRANDE E21
ALMUERZO,VILLA DEL LAGO E13
NOCHE,ALTAMIRA
TARDE,CENTRAL
NOCHE,LAS FLORES
MOVILIZACIONVESPERTINA,CAMILO CORTEZ
MADRUGADA,MARCELIANO CANYES
ALMUERZO,EL CAUNZAL
MANHANA,MANZANAREZ
MOVILIZACIONVESPERTINA,CIUDADELA DEL NORTE
MANHANA,CIUDADELA DEL NORTE
NOCHE,CIUDADELA DEL NORTE
MADRUGADA,BRISAS DE URABA
MANHANA,LA MINA
MANHANA,SAN JOSE
MANHANA,CENTRO
TARDE,TRIANA
NOCHE,SANTA MARIA # 3
MOVILIZACIONVESPERTINA,EL DORADO
MOVILIZACIONVESPERTINA,SEVILLA  C-4
MANHANA,LAURELES C-11
TARDE,JARDIN BOTANICO  C-4
TARDE,LOS CERROS EL VERGEL  C-9
MOVILIZACIONVESPERTINA,ASTORGA C-14
TARDE,LA FRANCIA  C-2
NOCHE,PRADO C-10
MANHANA,VILLANUEVA C-10
NOCHE,LOS PINOS C-12
ALMUERZO,ESTACION VILLA C-10
NOCHE,CORDOBA C-7
MADRUGADA,VILLANUEVA C-10
MOVILIZACIONVESPERTINA,LA CANDELARIA C-10
MOVILIZACIONVESPERTINA,LA CANDELARIA C-10
MANHANA,EL POBLADO C-14
NOCHE,ROSALES C-16
MANHANA,DON BOSCO
MANHANA,SAN ROQUE
NOCHE,EL RECREO
MOVILIZACIONVESPERTINA,CENTRO
MADRUGADA,SILENCIO
MANHANA,CENTRO
MOVILIZACIONVESPERTINA,REBOLO
MOVILIZACIONVESPERTINA,CIUDADELA 20 DE JULIO
MANHANA,BARRIO BOYACA ALTO
MOVILIZACIONVESPERTINA,SANTANDER
MADRUGADA,BARRIO CENTRO
TARDE,SEVILLA
NOCHE,VILLA UNIVERSITARIA
